nr_crt,titlu_proiect,nume_beneficiar,nume_operatiune,fonduri_ue,buget_national,contributie_beneficiar,cheltuieli_neeligibile,total_valoare_proiect,currency,uri
1,JEREMIE,FEI,Axa Prioritară 1/ 1.2. Accesul IMM la finanţare 1.2.1. Sprijin pentru dezvoltarea fondurilor de garantare,402.020.000,0,0,0,402.020.000,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
2,Cresterea competitivitatii unitatii producatoare de mobila a SC BADENMOB SRL Braila,SC BADENMOB SRL,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",403.578,68.222,202.200,128.060,802.060,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
3,Imbunatatirea performantelor productive ale unitatii producatoare de elemente din beton a SC AZUR CONSTRUCTII SRL Braila,SC AZUR CONSTRUCTII SRL,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",146.653,24.791,73.476,46.535,291.455,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
4,Achizitionarea de utilaje performante in vederea cresterii competitivitatii,SC A.G.GRUPINSTAL SRL,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",626.823,105.960,314.051,201.968,1.248.802,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
5,Cresterea competitivitatii SC MEDDO SRL,SC MEDDO SRL,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",647.588,109.471,324.454,205.487,1.286.999,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
6,CRESTEREA COMPETITIVITATII ECONOMICE A SOCIETATII COMERCIALE DORIPESCO PROD S.R.L. PRIN DEZVOLTAREA CAPACITATII DE PRODUCTIE A AGREGATELOR SI A PRODUSELOR DE BALASTIERA,SC DORIPESCO PROD SRL,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",464.387,78.502,361.926,178.932,1.083.747,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
7,Constructie hala si modernizarea fluxului tehnologic la DISZ TIPO SRL,SC DISZ TIPO SRL,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",482.877,81.627,396.135,182.522,1.143.161,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
8,Eficientizarea activitatii de productie de elemente de dugherie si tamplarie,SC SINAI SRL,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",284.515,48.096,142.547,101.469,576.627,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
9,DEZVOLTAREA CAPACITATII DE PRODUCTIE A SC XTEL COM SRL,SC XTEL COM SRL,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",521.681,88.187,261.372,165.536,1.036.776,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
10,Modernizarea SC LEMECO SA in vederea eficientizarii activitatii de productie,SC LEMECO SA,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",509.682,86.158,255.360,190.846,1.042.046,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
11,Achizitii de masini si utilaje pentru modernizarea si dezvoltarea firmei de constructii SC Sigapress SRL,SC Sigapress SRL,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",539.787,91.248,415.142,763.207,1.809.384,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
12,Extinderea activitatii firmei S.C. SBL TRADING S.R.L.,SC SBL TRADING S.R.L.,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",235.953,39.886,152.179,81.319,509.337,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
13,Modernizarea unitatii de productie la SC OMEGA PRODCOM SA,SC OMEGA PRODCOM SA,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",205.664,34.766,166.978,77.807,485.215,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
14,Cresterea competitivitatii pe piata europeana prin retehnologizare,SC Dorna Eco House Srl,"Axa Prioritară 1/ DMI 1.1.1. Investiţii productive şi pregătirea pentru competiţia de piaţă a întreprinderilor, în special IMM/ A2- Sprijin financiar de până la 920.000 lei pentru investiţii pentru IMM",608.237,102.819,518.816,308.658,1.538.530,LEI,http://localhost:9999/Lista_contractate_POS_CCE_30_aprilie_2010.pdf
