"titlu_proiect","nume_beneficiar","nume_operatiune","fonduri_ue","buget_national","contributie_beneficiar","Cheltuieli neeligibile","total_valoare_proiect"
"JEREMIE","FEI","Axa Prioritar? 1/ 1.2. Accesul IMM la finan?are 1.2.1. Sprijin pentru dezvoltarea fondurilor de garantare",402020000,0,0,0,402020000
"Acces National  Electronic  la Literatura  ?tiin?ifica  de Cercetare","Institutul National de Informare si Documentare","Axa   Prioritara   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative / O 2.2.4:  �nt?rirea capacit??ii administrative",70317600,14402400,0,8618001,93338001
"Parc eolian Sili?tea","SC ROMCONSTRUCT TOP SRL","Axa Prioritar? 4/ DMI 4.2. RES",62480000,8520000,76600120,29508599,177108719
"Institut de Cercetare Dezvoltare Inovare: Produse High-Tech pentru Dezvoltare Durabila","Universitatea Transilvania din Bra?ov","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",46020000,13980000,10999755,13187239,84186994
"Colentina Dezvoltare Pavilion Cercetare","Spitalul Clinic Colentina","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",46015196,13978540,0,11374071,71367807
"Dezvoltarea infrastructurii CD a ICSI prin crearea unui laboraror    de    temperaturi    sc?zute    pentru    aplica?ii energetice ale fluidelor criogenice","Institutul National de Cercetare-Dezvoltare pentru Tehnologii Criogenice si Izotopice Ramnicu V�lcea","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",44215000,5785000,0,11838231,61838231
"DEZVOLTARE CDI -  INSTITUT  DE CERCETARE ?TIIN?IFICA                   SI                   TEHNOLOGICA MULTIDISCIPLINARA","Universitatea Valahia din Targoviste","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",41562100,5437900,0,10971600,57971600
"Institutul de Cercet?ri pentru Energii Regenerabile","Universitatea �Politehnica"" din Timi?oara","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",41049470,12470048,761092,10033420,64314030
"INSTITUTUL      DE      CERCET?RI      HORTICOLE AVANSATE AL TRANSILVANEI","UNIVERSITATEA DE ?TIIN?E AGRICOLE SI MEDICINA VETERINARA CLUJ","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",39793500,5206500,0,10131492,55131492
"INFRASTRUCTURA DE  CERCETARE IN ?TIIN?E APLICATE","Universitatea din Craiova","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",39793500,5206500,0,10800000,55800000
"Centru   de   terapii   genice   si   celulare   in  tratamentul cancerului","SPITALUL CLINIC JUDE?EAN DE URGENTA TIMI?OARA","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",38909200,5090800,0,10389610,54389610
"Dezvoltarea infrastructurii centrului de cercetare pentru studiul calit??ii produselor agroalimentare","Universitatea de ?tiin?e Agronomice si medicina Veterinara Bucure?ti","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",37140600,4859400,0,9580432,51580432
"Platforma de Cercetare in Biologie si Ecologie Sistemica","UNIVERSITATEA DIN BUCURE?TI","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",35372000,4628000,0,9288758,49288758
"Parc Eolian Mireasa 2","S.C. ECO POWER WIND S.RL.","Axa Prioritar? 4/ DMI 4.2. RES",34986351,4770866,17038806,13504194,70300217
