nr_crt,titlu_proiect,nume_beneficiar,nume_operatiune,fonduri_ue,buget_national,contributie_beneficiar,cheltuieli_neeligibile,total_valoare_proiect,currency,uri
1,Învăţământul profesional şi tehnic în domeniul TIC,Centrul National de Dezvoltare a Invatamantului Profesional si Tehnic,Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,3.336.723,977.075,88.037,489.093,4.890.928,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
2,Dezvoltarea sistemului naţional de management şi asigurare a calităţii în învăţământul preuniversitar,Agentia Romana de Asigurare a Calitatii in Invatamantul Preuniversitar,Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,13.982.470,4.094.414,368.916,0,18.445.800,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
3,Instrumente digitale de ameliorare a calitatii evaluarii in invatamantul preuniversitar,"Ministerul Educatiei, Cercetarii si Tineretului",Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,14.004.012,4.100.722,369.484,0,18.474.218,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
4,Profesionişti în managementul educaţional preuniversitar,"Ministerul Educatiei, Cercetarii si Tineretului - Directia Management si Programe Educationale",Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,13.984.400,4.094.980,368.967,0,18.448.347,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
5,"Oferte educaţionale inclusive extracurriculare şi extraşcolare pentru formarea stilului de viaţă sănătos şi a cetăţeniei active pentru copii din comunităţi dezavantajate, cu precădere rurale în învăţământul preuniversitar din România","Ministerul Educaţiei, Cercetării şi Tineretului",Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,14.011.954,4.103.048,369.694,0,18.484.696,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
6,Formare de consilieri şi asistenţi suport pentru implementarea Strategiei de descentralizare a învăţământului preuniversitar,"Ministerul Educatiei, Cercetarii si Tineretului",Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,14.023.555,4.106.445,370.000,0,18.500.000,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
7,Tinerii împotriva violenţei,Ministerul Educatiei Cercetarii si Tineretului,Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,14.023.555,4.106.445,370.000,0,18.500.000,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
8,COMPETENTE CHEIE TIC IN CURRICULUM-UL SCOLAR,Centrul National Pentru Curriculum si Evaluare in Invatamantul Preuniversitar,Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,14.023.555,4.106.445,370.000,0,18.500.000,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
9,Tineri Antreprenori in Scoala - TASK,ASOCIATIA IDEI PENTRU VIITOR,Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,1.051.584,307.930,27.746,0,1.387.260,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
10,Tinerii antreprenori se formeaza in scoala,Asociatia de Tineret Bucura,Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,994.478,291.208,26.239,0,1.311.925,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
11,ALTERNATIVE CĂTRE CUNOAŞTERE,"Grup Şcolar ""Nicolina""",Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,418.769,122.626,11.049,2.667,555.111,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
12,ANTREPRENORIAT SI CETATENIE ACTIVA - Platforma digitală interactivă pentru viitorul elevilor de liceu,COLEGIUL NATIONAL GHEORGHE LAZAR,Axa Prioritară 1/ DMI 1.1. Acces la educaţie şi formare profesională iniţială de calitate,1.398.193,409.425,36.890,0,1.844.508,LEI,http://localhost:9999/Lista_contractate_POS_DRU_30_aprilie_2010.pdf
