"Denominazione del Beneficiario","Titolo del Progetto","Comune","Anno di assegnazione del contributo pubbico","Contributo Pubblico Assegnato (Fesr+Stato+Regione)"
"GRADO ZERO ESPACE SRL","SISSI","Empoli",2009,535307
"TOSCANA BIOMARKERS SRL","MARK","Siena",2009,454894
"PROTERA SRL","MAPI-INT","Sesto Fiorentino",2009,637497
"EXTERNAUTICS SPA","TUMAR","Siena",2009,491750
"IM3D SPA","SAVE","Colle Val d'Elsa",2009,799330
"ECOBIOSERVICES AND 
RESEARCHES SRL","NANO TREAT","Firenze",2009,559800
"SIENAGEN RICERCA SRL","VEGFD","Siena",2009,548000
"PHILOGEN SPA","DEKA PET","Siena",2009,498873
"ARETA INTERNATIONAL SRL","VAXID","Siena",2009,336012
"SETLANCE SRL","SPAC","Siena",2009,440000
