regione,provincia,nome,tipo_istituto,cod_mec,indirizzo,citta,cap,email,indirizzo_web,codice_del_progetto,obiettivo,azione,stato_del_progetto,protocollo,data,ammontare_assegnato,totale_importo_pagato
SICILIA,AG,IC     QUASIMODO,CENTRO TERRITORIALE,AGCT709007,VIA DELL'AUTONOMIA N.1,AGRIGENTO,92100,AGIC82400C@istruzione.it,"",G-1-FSE-2007-395,G-Migliorare i sistemi di apprendimento durante tutto l'arco della vita,1-Interventi formativi flessibili finalizzati al recupero dell'istruzione di base per giovani e adulti,Avviato,5823,20-12-2007,"EUR 57.672,84","EUR 47.142,78"
SICILIA,AG,CD      LAURICELLA,SCUOLE ELEMENTARI,AGEE00100T,VIALE DELLA VITTORIA,AGRIGENTO,92100,AGEE00100T@istruzione.it,"",B-1-FSE-2007-1828,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 11.785,70","EUR 11.785,70"
SICILIA,AG,CD      S. GIOVANNI BOSCO,SCUOLE ELEMENTARI,AGEE00200N,VIA DANTE 258,AGRIGENTO,92100,AGEE00200N@istruzione.it,"",F-1-FSE-2007-1087,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 59.537,42","EUR 49.269,23"
SICILIA,AG,"C.D. ""A. DI GIOVANNI""",SCUOLE ELEMENTARI,AGEE004009,"VIA M. AMARI, 4",AGRIGENTO,92100,AGEE004009@istruzione.it,"",B-1-FSE-2007-1784,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.881,94"
SICILIA,AG,"C.D. ""A. DI GIOVANNI""",SCUOLE ELEMENTARI,AGEE004009,"VIA M. AMARI, 4",AGRIGENTO,92100,AGEE004009@istruzione.it,"",F-1-FSE-2007-1015,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 53.756,42","EUR 47.813,37"
SICILIA,AG,CD      G. VERGA,SCUOLE ELEMENTARI,AGEE039008,"VIA ALESSIO DI GIOVANNI, 37",AGRIGENTO,92100,AGEE039008@istruzione.it,"",B-1-FSE-2007-1788,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.168,63"
SICILIA,AG,CD      G. VERGA,SCUOLE ELEMENTARI,AGEE039008,"VIA ALESSIO DI GIOVANNI, 37",AGRIGENTO,92100,AGEE039008@istruzione.it,"",B-4-FSE-2007-1049,B-Migliorare le competenze del personale della scuola e dei docenti,4-Interventi di formazione sulle metodologie per la didattica individualizzata e sulle strategie per il recupero del disagio,Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.351,30"
SICILIA,AG,CD      G. VERGA,SCUOLE ELEMENTARI,AGEE039008,"VIA ALESSIO DI GIOVANNI, 37",AGRIGENTO,92100,AGEE039008@istruzione.it,"",F-1-FSE-2007-1020,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 53.213,42","EUR 44.706,92"
SICILIA,AG,IC ANNA  FRANK,ISTITUTO COMPRENSIVO,AGIC820005,VIA        MATTEO CIMARRA   5/A,AGRIGENTO,92100,AGIC820005@istruzione.it,"",B-1-FSE-2007-1737,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 4.607,14","EUR 1.290,00"
SICILIA,AG,IC ANNA  FRANK,ISTITUTO COMPRENSIVO,AGIC820005,VIA        MATTEO CIMARRA   5/A,AGRIGENTO,92100,AGIC820005@istruzione.it,"",C-1-FSE-2007-2154,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 9.678,57","EUR 8.551,38"
SICILIA,AG,IC    G.VERGA,ISTITUTO COMPRENSIVO,AGIC83000Q,"VIA VERGA, 1",CANICATTI' E BORGALINO,92024,AGIC83000Q@istruzione.it,"",C-1-FSE-2007-2063,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 21.808,55","EUR 15.918,55"
SICILIA,AG,IC    G.VERGA,ISTITUTO COMPRENSIVO,AGIC83000Q,"VIA VERGA, 1",CANICATTI' E BORGALINO,92024,AGIC83000Q@istruzione.it,"",C-4-FSE-2007-545,C-Migliorare i livelli di conoscenza e competenza dei giovani,4-Interventi individualizzati per promuovere l'eccellenza,Avviato,5823,20-12-2007,"EUR 8.428,56","EUR 8.318,56"
SICILIA,AG,IC    G.VERGA,ISTITUTO COMPRENSIVO,AGIC83000Q,"VIA VERGA, 1",CANICATTI' E BORGALINO,92024,AGIC83000Q@istruzione.it,"",D-1-FSE-2007-1022,"D-Accrescere la diffusione, l'accesso e l'uso della società dell'informazione nella scuola","1-Interventi formativi rivolti ai docenti e al personale della scuola, sulle nuove tecnologie della comunicazione",Avviato,5823,20-12-2007,"EUR 12.821,42","EUR 9.821,41"
