Denominazione del Beneficiario (capofila),Titolo del Progetto,Provincia,Comune,Anno assegnazione del contributo pubbico,Contributo Pubblico Assegnato (Fesr+Stato+Regione),Totale Contributo pubblico pagato alla fine del progetto
GRADO ZERO ESPACE SRL,SISSI,FI,Empoli,2009,535.307,
TOSCANA BIOMARKERS SRL,MARK,SI,Siena,2009,454.894,
PROTERA SRL,MAPI-INT,FI,Sesto Fiorentino,2009,637.497,
EXTERNAUTICS SPA,TUMAR,SI,Siena,2009,491.750,
IM3D SPA,SAVE,SI,Colle Val d'Elsa,2009,799.330,
ECOBIOSERVICES AND RESEARCHES SRL,NANO TREAT,FI,Firenze,2009,559.800,
SIENAGEN RICERCA SRL,VEGFD,SI,Siena,2009,548.000,
PHILOGEN SPA,DEKA PET,SI,Siena,2009,498.873,
ARETA INTERNATIONAL SRL,VAXID,SI,Siena,2009,336.012,
SETLANCE SRL,SPAC,SI,Siena,2009,440.000,
,,,,, ,
