cod,org_int,titolo,asse,anno,stato,ente_gestore,costo,finanziamento,fund_type,currency,uri
121,PI,121 -IMOFOR - SERVIZI INTEGRATI DI ORIENTAMENTO E DI SUPPORTO AI SERVIZI DI POLITICHE ATTIVE DEL LAVORO,I Adattabilit‡,2007,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","100.000,00","100.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
122,PI,122 - IMOFOR- SERVIZI INTEGRATI DI ORIENTAMENTO E DI SUPPORTO AI SERVIZI DI POLITICHE ATTIVE DEL LAVORO,II Occupabilit‡,2007,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","500.000,00","500.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
123,PI,123 - IMOFOR - SERVIZI INTEGRATI DI ORIENTAMENTO E DI SUPPORTO AI SERVIZI DI POLITICHE ATTIVE DEL LAVORO,II Occupabilit‡,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","200.000,00","200.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
124,PI,124 IMOFOR - SERVIZI INTEGRATI DI ORIENTAMENTO E DI SUPPORTO AI SERVIZI DI POLITICHE ATTIVE DEL LAVORO,IV Capitale Umano,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","40.000,00","40.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
140,CE,4 X 4 + 1,II Occupabilit‡,2007,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"324.000,00","324.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
5,PI,5 -IMOFOR - AFFIDAMENTO DI SERVIZI INTEGRATI DI ORIENTAMENTO E DI SUPPORTO AI SERVIZI DI POLITICHE ATTIVE DEL LAVORO,I Adattabilit‡,2007,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","300.000,00","300.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
6,PI,6 -IMOFOR - AFFIDAMENTO DI SERVIZI INTEGRATI DI ORIENTAMENTO E DI SUPPORTO AI SERVIZI DI POLITICHE ATTIVE DEL LAVORO,II Occupabilit‡,2007,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","1.036.759,20","1.036.759,20",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
7,PI,7 -IMOFOR - AFFIDAMENTO DI SERVIZI INTEGRATI DI ORIENTAMENTO E DI SUPPORTO AI SERVIZI DI POLITICHE ATTIVE DEL LAVORO,III Inclusione Sociale,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","140.000,00","140.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
67,GR,AAFPL: CORSO PER ALLEVATORI DI ASINE FINALIZZATO ALLA PRODUZIONE DI LATTE,I Adattabilit‡,2008,Finanziato,COOP COLLINE METALLIFERE,"30.000,00","22.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
51,GR,ACAP-AGGIORNAMENTO PER ACCONCIATORI PROFESSIONISTI,I Adattabilit‡,2008,Finanziato,ENAIP TOSCANA E FORMAZIONE LAVORO SOCIETA' CONSORTILE A R.L.,"24.000,00","24.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
