Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
Regione Umbria,D.D. N. 2880 DEL 09/04/2008 Assunzione nuovi impegni di spesa esercizio 2008 per proroga n. 10 unità Docup a tempo de- terminato di cui alla selezione indetta con DGR 1568/2002.,"297.969,22","246.838,92"
Regione Umbria,"D.D. N. 7318 DEL 25/08/2008 ""Inform Meeting""-Incontro sui piani di comunica- zione dei programmi operativi 2007/2013, Bruxel- les 17 giugno 2008. Impegno e liquidazione a va- lere sul POR FESR 2007/2013 pari a € 327,21 IVA INCLUSA.","327,21","327,21"
Regione Umbria,"D.D. N. 7484 DEL 29/08/2008 Proroga conferimento incarico di collaborazione coordinata e continuativa alla Dott.ssa Silvia Massai per il periodo 03/09/2008 – 02/09/2009 e assunzione parziale dell’impegno di spesa pari a € 9.817,32 per l’anno 2008.","9.817,32","9.813,30"
Regione Umbria,"D.D. N. 9715 DEL 30/10/2008 Conferimento incarico professionale all’Architetto Gabriele Paolinelli Assistenza Tecnica POR FESR 2007-2013. Impegno di spesa di € 20.000,00 sul Cap. 6722, EF 2008.","20.000,00","10.000,00"
Regione Umbria,"D.D. N. 10128 DEL 11/11/2008 Proroga incarico di collaborazione coordinata e continuativa ai sensi della Legge regionale 24 di- cembre 2007, n. 38, art. 7, comma 3, alla Dott.ssa Pamela Ascani per il periodo 11/11/2008 – 31/12/2009 e assunzione dell’impegno di spesa parziale pari a € 3.681,60 per l’anno 2008.","3.681,60","3.681,60"
Regione Umbria,"D.D. N. 58 DEL 12/01/2009 D.D. n. 7484 del 29/08/2008: proroga conferimen- to incarico di collaborazione coordinata e conti- nuativa alla Dott.ssa Silvia Massai. Liquidazione compenso pari ad € 3.914,66 per il periodo 03/11/2008-31/12/2008. Cap. 6722 B.R. E.F. 2009 R.P. 2008. Presa d’atto della sospensione del contratto.","27,00","27,00"
Regione Umbria,D.D. N. 528 DEL 28/01/2009 POR FESR 2007 - 2013. Conferimento incarico collaborazione coordinata e continuativa Dott.ssa Cristina Vescovi anno 2009.,"28.691,30",0
Regione Umbria,"D.D. N. 908 DEL 06/02/2009 Contratto di collaborazione coordinata e continua- tiva con la Dott.ssa Pamela Ascani. Assunzione dell’impegno di spesa pari a € 30.400,00 per l’anno 2009 e liquidazione del compenso pari a € 4.960,81 per il periodo 11 novembre 2008 – 10 gennaio 2009. Integrazione della D.D. n. 10128 del 11/11/2008 e della D.D. n. 10420 del 19/11/2008. PO FESR 2007-13 asse 5 assistenza tecnica.","30.400,00","30.400,00"
Regione Umbria,"D.D. N. 1015 DEL 10/02/2009 Conferimento incarico professionale all’Ingegnere Maurizio Bacci Assistenza Tecnica POR FESR 2007-2013. Impegno di spesa di € 20.000,00 sul Cap. 6722.","20.000,00","10.000,00"
Regione Umbria,"D.D. N. 1016 DEL 10/02/2009 Conferimento incarico professionale al Dott. Nat. Mauro Magrini Assistenza Tecnica POR FESR 2007-2013. Impegno di spesa di € 20.000,00 sul Cap. 6722.","20.000,00","10.000,00"
Regione Umbria,D.D. N. 1028 DEL 10/02/2009 Rete regionale di cablaggio dell’Umbria. Affida- mento incarico di collaborazione coordinata e continuativa al dott. Franco Parlavecchio.,"33.395,67",0
Regione Umbria,"D.D. N. 1275 DEL 16/02/2009 Impegni di spesa anno 2009 per proroga, ex art. 7 comma 3 LR n. 38/07, di n. 9 unità Docup a tem- po determinato di cui alla selezione indetta con DGR 1568/2002.","349.712,00","49.538,24"
Regione Umbria,"D.D. N. 1277 DEL 16/02/2009 Impegno di spesa, sul cap. 6722 del POR - FESR 2007/2013, relativo a personale assunto a tempo determinato previa selezione indetta con DD 638/07.","58.568,00","4.185,07"
Regione Umbria,"D.D. N. 1576 DEL 23/02/2009 Conferimento incarico di collaborazione occasio- nale al Prof. Bernardino Romano Assistenza Tecnica POR FESR 2007-2013. Impegno di spe- sa di € 21.570,00 sul Cap. 6722.","21.570,00",0
Regione Umbria,"D.D. N. 2154 DEL 11/03/2009 POR-FESR 2007-2013 – Cap. 6722. Incontri di approfondimento con la Commissione Europea sugli strumenti di ingegneria finanziaria Jessica e Jeremie e progetti di cooperazione. Impegno e li- quidazione Euro 1.245,00.","1.245,00","1.245,00"
Regione Umbria,"D.D. N. 2298 DEL 13/03/2009 POR FESR 2007-2013. Conferenza ""Regions For Economic Change - Sharing Excellence"", Brux- elles 16-17 febbraio 2009. Impegno e liquidazione € 308,78 - Iva inclusa - Cap. 6722 (Voci 8025- 8038).","308,78","308,78"
