Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
TECNORS SRL,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 44.840,00",""
CIAM SERVIZI SRL,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 284.550,00",""
S.N.I.F.F. ITALIA SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 244.450,00",""
F.LLI LEPRI,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 200.500,00",""
MANRICO SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 197.485,00",""
IPI SRL,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 157.135,00",""
C.M.C. SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 127.450,00",""
PONTI ENGENEERING SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 139.820,00",""
DARWIN ITALY SRL,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 91.700,00",""
DIGIWRITE,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 57.340,00",""
RIGEL IMPIANTI,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 147.425,00",""
BOXY LAB SRL,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 75.845,00",""
EUROMEDIA SRL,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 53.560,00",""
DE CLOET SRL,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 80.150,00",""
MIOCRA SOFTWARE E SERVICE SRL,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 147.315,00",""
ELES SEMICONDUCTOR EQUIPMENT SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 346.025,00",""
EMU GROUP SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 298.655,00",""
NOVAMONT SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 219.680,00",""
COSTA D’ORO SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 384.140,00",""
XANTIA SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 269.870,00",""
NARDI SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 208.495,00",""
OFFICINE PICCINI SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 197.890,00",""
GAROFOLI SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 208.650,00",""
MONDIAL MARMI SPA,L. 598/94 ART 11 RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE – BANDO 2007,"€ 194.705,00",""
