Beneficiario,Attuatore/Fornitore, Denominazione Operazione ," Anno di 
allocazione 
risorse ", Importo Finanziamento Pubblico (Importo impegnato) ,
REGIONE ABRUZZO,ZAAMI GROUP Srl,"Fornitura servizi Comitato di Sorveglianza  PO FSE 
Abruzzo 2007-2013 - 27.06.2008",2008," €660,00 ","€660,00"
REGIONE ABRUZZO,ANPER 3000 di Angela Pergoli,"Fornitura servizi Comitato di Sorveglianza  PO FSE 
Abruzzo 2007-2013 - 27.06.2008",2008," €3.900,00"," €3.720,00"
REGIONE ABRUZZO,LA FLORIDITA Srl,"Fornitura servizi Comitato di Sorveglianza  PO FSE 
Abruzzo 2007-2013 - 27.06.2008",2008," €1.125,50 "," €1.125,50 "
REGIONE ABRUZZO,IL SOLE 24ORE SpA,Azioni di informazione  e pubblicità,2008," €6.000,00 "," €6.000,00 "
REGIONE ABRUZZO,HOTELIER Srl Unipersonale,"Fornitura servizi Comitato di Sorveglianza  PO FSE 
Abruzzo 2007-2013 - 29.06.2009",2009," €3.900,00 "," €3.900,00 "
REGIONE ABRUZZO,TYCHE Srl,"Fornitura servizi Comitato di Sorveglianza  PO FSE 
Abruzzo 2007-2013 - 29.06.2009",2009," €780,00","€780,00"
REGIONE ABRUZZO,TITANIC Srl,"Fornitura servizi Comitato di Sorveglianza  PO FSE 
Abruzzo 2007-2013 - 29.06.2009",2009," €600,00",-
REGIONE ABRUZZO,"Istituto Poligrafico e Zecca 
dello Stato SpA","Spese per pubblicizzazione avviso Gara ""Piano di 
Comunicazione PO FSE Abruzzo 2007-2013 ",2009," €3.319,36"," €3.319,36"
REGIONE ABRUZZO,"Autorità per la Vigilanza sui 
Contratti Pubblici di Lavori 
Servizi e Forniture","Spese contributo attribuzione CIG Gara ""Piano di 
Comunicazione PO FSE Abruzzo 2007-2013 ",2009," €250,00"," €250,00"
REGIONE ABRUZZO,IL SOLE 24ORE SpA,"Spese per pubblicizzazione avviso Gara ""Piano di 
Comunicazione PO FSE Abruzzo 2007-2013 ",2009," €960,00"," €960,00"
REGIONE ABRUZZO,PUBLIKOMPASS SpA ,"Spese per pubblicizzazione avviso Gara ""Piano di 
Comunicazione PO FSE Abruzzo 2007-2013 ",2009," €799,80"," €792,00"
REGIONE ABRUZZO,PIEMME,"Spese per pubblicizzazione avviso Gara ""Piano di 
Comunicazione PO FSE Abruzzo 2007-2013 ",2009," €1.250,00"," €1.250,00"
REGIONE ABRUZZO,LA POLENA Sas,"Incontro Bilaterale AdG PO FSE Abruzzo 
Commissione UE - 27.11.09",2009," €585,00 ",-
REGIONE ABRUZZO,LUIGI D'AMICO PARROZZO,"Attuazione Piano di Comunicazione - Evento 
Informativo annuale - 17.12.09 ",2009," €1.250,00 ",-
REGIONE ABRUZZO,POMILIO BLUMM,"Attuazione Piano di Comunicazione - Evento 
Informativo annuale - 17.12.09 ",2009," €19.044,78 ",-
REGIONE ABRUZZO,"Istituto Poligrafico e Zecca 
dello Stato S.p.A","Spese per pubblicizzazione avviso Gara ""Assistenza 
Tecnica al PO 2007-2013",2008," €1.598,96 "," €1.598,96 "
I.N.F.N. - L.N.G.S.,I.N.F.N. - L.N.G.S.,Piano Operativo 2007/2008 - Protocollo d'Intesa,2008," €2.395.783,00 ",-
REGIONE ABRUZZO,"Istituto Poligrafico e Zecca 
dello Stato S.p.A","Spese per pubblicizzazione avviso Gara ""Assistenza 
Tecnica al PO 2007-2013",2008,"€3.116,96","€3.116,96"
