regione,provincia,nome,tipo_istituto,cod_mec,indirizzo,citta,cap,email,indirizzo_web,codice_del_progetto,obiettivo,azione,stato_del_progetto,protocollo,data,ammontare_assegnato,totale_importo_pagato
PUGLIA,BA,1 CD DE AMICIS,SCUOLE ELEMENTARI,BAEE03600L,PIAZZA DI VAGNO N. 18,ACQUAVIVA DELLE FONTI,70021,BAEE03600L@istruzione.it,"",B-4-FSE-2007-780,B-Migliorare le competenze del personale della scuola e dei docenti,4-Interventi di formazione sulle metodologie per la didattica individualizzata e sulle strategie per il recupero del disagio,Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.591,09"
PUGLIA,BA,1 CD DE AMICIS,SCUOLE ELEMENTARI,BAEE03600L,PIAZZA DI VAGNO N. 18,ACQUAVIVA DELLE FONTI,70021,BAEE03600L@istruzione.it,"",F-1-FSE-2007-778,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 59.106,42","EUR 57.284,66"
PUGLIA,BA,"2 C.D.""F.CAPORIZZI"" - ACQUAVIVA",SCUOLE ELEMENTARI,BAEE03700C,"VIA FRATELLI CAPORIZZI, 36",ACQUAVIVA DELLE FONTI,70021,BAEE03700C@istruzione.it,"",B-1-FSE-2007-1385,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.809,60"
PUGLIA,BA,"2 C.D.""F.CAPORIZZI"" - ACQUAVIVA",SCUOLE ELEMENTARI,BAEE03700C,"VIA FRATELLI CAPORIZZI, 36",ACQUAVIVA DELLE FONTI,70021,BAEE03700C@istruzione.it,"",F-1-FSE-2007-774,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 59.030,64","EUR 56.382,96"
PUGLIA,BA,N. CHIARULLI (IPSIA - ITI),ISTITUTO SUPERIORE,BAIS026004,VIA A. EINSTEIN,ACQUAVIVA DELLE FONTI,70021,BAIS026004@istruzione.it,"",B-9-FSE-2007-507,B-Migliorare le competenze del personale della scuola e dei docenti,9-Sviluppo di competenze sulla gestione amministrativo-contabile e di controllo e sulle procedure di acquisizione di beni e servizi,Avviato,2416,07-03-2008,"EUR 5.892,85","EUR 5.881,34"
PUGLIA,BA,N. CHIARULLI (IPSIA - ITI),ISTITUTO SUPERIORE,BAIS026004,VIA A. EINSTEIN,ACQUAVIVA DELLE FONTI,70021,BAIS026004@istruzione.it,"",C-1-FSE-2007-2422,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,2416,07-03-2008,"EUR 23.089,26","EUR 21.672,31"
PUGLIA,BA,N. CHIARULLI (IPSIA - ITI),ISTITUTO SUPERIORE,BAIS026004,VIA A. EINSTEIN,ACQUAVIVA DELLE FONTI,70021,BAIS026004@istruzione.it,"",C-4-FSE-2007-669,C-Migliorare i livelli di conoscenza e competenza dei giovani,4-Interventi individualizzati per promuovere l'eccellenza,Avviato,2416,07-03-2008,"EUR 4.214,28","EUR 3.213,01"
PUGLIA,BA,N. CHIARULLI (IPSIA - ITI),ISTITUTO SUPERIORE,BAIS026004,VIA A. EINSTEIN,ACQUAVIVA DELLE FONTI,70021,BAIS026004@istruzione.it,"",D-1-FSE-2007-1261,"D-Accrescere la diffusione, l'accesso e l'uso della società dell'informazione nella scuola","1-Interventi formativi rivolti ai docenti e al personale della scuola, sulle nuove tecnologie della comunicazione",Avviato,2416,07-03-2008,"EUR 5.892,85","EUR 5.882,89"
PUGLIA,BA,N. CHIARULLI (IPSIA - ITI),ISTITUTO SUPERIORE,BAIS026004,VIA A. EINSTEIN,ACQUAVIVA DELLE FONTI,70021,BAIS026004@istruzione.it,"",F-2-FSE-2007-328,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",2-Interventi per promuovere il successo scolastico per le scuole del secondo ciclo,Avviato,2416,07-03-2008,"EUR 55.910,28","EUR 54.054,77"
PUGLIA,BA,N. CHIARULLI (IPSIA - ITI),ISTITUTO SUPERIORE,BAIS026004,VIA A. EINSTEIN,ACQUAVIVA DELLE FONTI,70021,BAIS026004@istruzione.it,"",G-1-FSE-2007-430,G-Migliorare i sistemi di apprendimento durante tutto l'arco della vita,1-Interventi formativi flessibili finalizzati al recupero dell'istruzione di base per giovani e adulti,Avviato,2416,07-03-2008,"EUR 8.035,71","EUR 8.033,34"
