BENEFICIARIO,ANNO ASSEGNAZIONE,DENOMINAZIONE INTERVENTO,INMPORTO TOTALE FINANZIATO,QUOTA FESR DELL'IMPORTO FINANZIATO,QUOTA NAZIONALE DELL'IMPORTO FINANZIATO,QUOTA LIQUIDATA DELL'IMPORTO FINANZIATO
REGIONE LIGURIA,2009,PUBBLICAZIONE AVVISI GARE D'APPALTO POR FESR 2007 - 2013 (BANDO ED ESITO ATTIVITA' DI COMUNICAZIONE - BANDO ATTIVITA' DI AUDIT).,"27.000,00","8.559,59","18.440,41","27.000,00"
REGIONE LIGURIA,2009,ATTIVITA' DI SUPPORTO SPECIALISTICO DELLA SOCIETA' LIGURIA RICERCHE S.P.A. ALL'AUTORITA' AMBIENTALE REGIONALE,"70.000,00","22.191,54","47.808,46","42.000,00"
REGIONE LIGURIA,2009,"AFFIDAMENTO DELL'ATTIVITA' DI INFORMAZIONE E COMUNICAZIONE AL R.T.I. CONFOMR SRL, PB COM SPA E AB COMUNICAZIONI.","1.429.488,00","453.179,14","976.308,86","285.897,60"
REGIONE LIGURIA,2009,AFFIDAMENTO ALLA SOCIETA' DATASIEL S.P.A. DELLO SVILUPPO DI UN PROTOCOLLO DI COLLOQUIO TRA SUAP/FILSE E SIRGIL/QSN PER L'ATTIVITA' DI MONITORAGGIO DEL POR FESR 2007-2013.,"36.000,00","11.412,79","24.587,21","36.000,00"
REGIONE LIGURIA,2009,AFFIDAMENTO ALLA SOCIETA' DATASIEL S.P.A. DEL COMPLETAMENTO DEL SISTEMA INFORMATIVO REGIONALE SIRGIL POR-FESR 2007-2013,"71.400,00","22.635,37","48.764,63","55.636,56"
REGIONE LIGURIA,2008,AFFIDAMENTO SOCIETA' METIS PER ATTIVITA' DI SUPPORTO ALL'AUTORITA' DI GESTIONE,"68.215,83","21.625,98","46.589,85","18.838,67"
REGIONE LIGURIA,2008,ATTIVITA' DI SUPPORTO SPECIALISTICO DELLA SOCIETA' LIGURIA RICERCHE S.P.A. ALL'AUTORITA' DI GESTIONE,"4.745.000,00","1.504.269,39","3.240.730,61","2.348.775,00"
REGIONE LIGURIA,2008,AFFIDAMENTO SOCIETA' TEMPOR PER ATTIVITA' DI SUPPORTO ALL'AUTORITA' AUDIT,"40.520,70","12.845,95","27.674,75","6.645,17"
REGIONE LIGURIA,2008,AFFIDAMENTO ALLA SOCIETA' DATASIEL S.P.A. DELL'ADEGUAMENTO DEL SISTEMA INFORMATIVO REGIONALE AL SISTEMA DI MONITORAGGIO DEL POR FESR 2007-2013.,"249.000,00","78.938,48","170.061,52","249.000,00"
REGIONE LIGURIA,2008,ATTIVITA' DI SUPPORTO SPECIALISTICO DELLA SOCIETA' ARRED S.P.A. ALL'AUTORITA' DI GESTIONE PER ATTIVITA' INFORMATIVA E DI ACCOMPAGNAMENTO DEI PROGETTI INTEGRATI ASSI 3 E 4 DEL POR FESR 2007-2013,"207.600,00","65.813,77","141.786,23","207.600,00"
REGIONE LIGURIA,2008,AFFIDAMENTO SOCIETA' TEMPOR PER ATTIVITA' DI SUPPORTO ALL'AUTORITA' DI GESTIONE,"10.785,51","3.419,25","7.366,26","10.785,51"
REGIONE LIGURIA,2008,AFFIDAMENTO SOCIETA' TEMPOR PER ATTIVITA' DI SUPPORTO ALL'AUTORITA' DI CERTIFICAZIONE,"5.082,73","1.611,33","3.471,40","5.082,73"
REGIONE LIGURIA,2008,ATTIVITA' DI SUPPORTO TECNICO ED OPERATIVO DELLA SOCIETA' FILSE ALL'AUTORITA' DI GESTIONE DEL POR FESR 2007-2013,"833.000,00","264.079,33","568.920,67","508.000,00"
REGIONE LIGURIA,2009,SPESE PER COMIT A TO DI SORVEGLIANZA,"20.000,00","6.340,44","13.659,56","1.000,00"
REGIONE LIGURIA,2009,SPESE PER COMMISSIONE DI VALUTAZIONE PIANO DELLA COMUNICAZIONE,"387,35","122,80","264,55","387,35"
REGIONE LIGURIA,2009,AFFIDAMENTO ALLA SOCIETA' DATASIEL S.P.A. DELL''ATTIVITA' DI REALIZZAZIONE DEL SITO DEL POR FESR 2007-2013.,"40.000,00","12.680,88","27.319,12",0
REGIONE LIGURIA,2009,AFFIDAMENTO DELL'A TTIVIT A' DI AUDIT AL R.T .I. SELENE - IZI,"408.000,00","129.344,98","278.655,02",0
REGIONE LIGURIA,2009,PUBBLICAZIONE AVVISO ESITO BANDO GARA D'APPALTO POR FESR 2007 - 2013 (ATTIVITA' DI AUDIT),"7.000,00","2.219,15","4.780,85",0
