beneficiario,titolo_azione,quota_per_singola_azione,fund_type,currency,uri
A&I - SOCIETA' COOPERATIVA SOCIALE ONLUS,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"255.356,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.C.O.F. (ASSOCIAZIONE CULTURALE OLGA FIORINI),Avviso per la realizzazione di percorsi di specializzazione finalizzati all'inserimento lavorativo,"6.800,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.C.O.F. (ASSOCIAZIONE CULTURALE OLGA FIORINI),Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"173.254,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.C.O.F. (ASSOCIAZIONE CULTURALE OLGA FIORINI),Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"5.762,88",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.C.O.F. (ASSOCIAZIONE CULTURALE OLGA FIORINI),Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"9.024,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.F.G.P. ASSOCIAZIONE FORMAZIONE GIOVANNI PIAMARTA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"319.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.F.G.P. ASSOCIAZIONE FORMAZIONE GIOVANNI PIAMARTA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"369.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.F.G.P. ASSOCIAZIONE FORMAZIONE GIOVANNI PIAMARTA,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"23.966,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.F.G.P. ASSOCIAZIONE FORMAZIONE GIOVANNI PIAMARTA,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"97.084,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.T.S.S. ASSOCIAZIONE TOP STYLE SCHOOL,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"22.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
A.T.S.S. ASSOCIAZIONE TOP STYLE SCHOOL,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"99.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AB COMUNICAZIONI Srl,Incarico diretto per garantire i servizi vari in occasione del Comitato di Sorveglianza del POR Ob. 2 - 2007/2013 tenutosi in data 25 giugno 2008,"15.696,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ACADEMY CENTER,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"63.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ACADEMY CENTER,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"81.846,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ACCADEMIA PROFESSIONALE P.B.S.,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"90.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ACCADEMIA PROFESSIONALE P.B.S.,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"70.481,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENFOR LOMBARDIA,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"39.740,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA FORMATIVA DELLA PROVINCIA DI VARESE,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"148.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA FORMATIVA DELLA PROVINCIA DI VARESE,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"38.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA FORMATIVA DELLA PROVINCIA DI VARESE,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"71.028,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA FORMATIVA DELLA PROVINCIA DI VARESE,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"19.423,04",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA FORMATIVA DELLA PROVINCIA DI VARESE,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"10.815,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA FORMATIVA DELLA PROVINCIA DI VARESE,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"134.540,70",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA PER LA FORMAZIONE L'ORIENTAMENTO ED IL LAVORO DELLA PROVINCIA DI MONZA E DELLA BRIANZA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"61.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA PER LA FORMAZIONE L'ORIENTAMENTO ED IL LAVORO DELLA PROVINCIA DI MONZA E DELLA BRIANZA,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"25.215,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA PER LA FORMAZIONE L'ORIENTAMENTO E IL LAVORO SUD MILANO,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"97.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA PER LA FORMAZIONE L'ORIENTAMENTO E IL LAVORO SUD MILANO,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"430.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA PER LA FORMAZIONE L'ORIENTAMENTO E IL LAVORO SUD MILANO,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"333.691,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AGENZIA PER LA FORMAZIONE L'ORIENTAMENTO E IL LAVORO SUD MILANO,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"27.532,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"84.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"99.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO",Avviso per la realizzazione di percorsi di specializzazione finalizzati all'inserimento lavorativo - Ambito Edilizia,"39.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO",Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"214.802,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO",Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"1.867,60",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
