Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
Comune di Perugia,Progetto di completamento delle cartografie geo- tematiche di pericolosità sismica locale,"€ 144.000,00",""
Regione Umbria,Progetto di completamento delle cartografie geo- tematiche di pericolosità sismica locale (conven- zione con Istituto Oceanografico di Trieste),"€ 120.000,00",""
Regione Umbria,Progetto di completamento delle cartografie geo- tematiche di pericolosità sismica locale (incarico a 10 geologi per completamento cartografia sismica),"€ 159.000,00",""
Regione Umbria,Prevenzione rischio idrogeologico: frane. Progetto esecutivo (incarico CNR – IRPI Perugia),"€ 250.000,00",""
Regione Umbria,Prevenzione rischio idrogeologico: frane. Progetto esecutivo (incarico Dica Università degli Studi di Perugia),"€ 140.000,00",""
Regione Umbria,Prevenzione rischio idrogeologico: frane. Progetto esecutivo (acquisto strumentazione),"€ 80.215,38",""
Regione Umbria,Prevenzione rischio idrogeologico: alluvioni e sicci- tà. Progetto esecutivo (acquisto modelli metereolo- gici),"€ 7.200,00",""
Regione Umbria,Prevenzione rischio idrogeologico: alluvioni e sicci- tà. Progetto esecutivo (convenzione CNR-IRPI),"€ 490.000,00",""
Regione Umbria,Prevenzione rischio idrogeologico: alluvioni e sicci- tà. Progetto esecutivo (contratto CAE SpA),"€ 99.120,00",""
Regione Umbria,Progetto microzonazione sismica aree urbane (Convenzione con Dip.to Scienze della terra Uni- versità di Pisa e Dip.to Ingegneria strutturale poli- tecnico di Milano),"€ 48.000,00",""
Regione Umbria,"Valutazioni di vulnerabilità urbana e modello di cer- tificazione di vulnerabilità di edifici strategici e rile- vanti, di infrastrutture e di beni culturali di proprietà pubblica. Progetto esecutivo (convenzione con Dip.to pianificazione Univ. La Sapienza)","€ 200.000,00",""
