ASSE,OBIETTIVO OPERATIVI,ENTE BENEFICIARIO,TITOLO,REGIONI,FINANZIAMENTO,DATA DI APPROVAZIONE,DATA DI CONCLUSIONE
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale,Supporto alle strutture centrali e decentrate del Dipartimento della P.S. per la progettazione e coordinamento di iniziative per la videosorveglianza - 1° fase,-,"668.770,00",30 aprile 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale,Supporto alle strutture centrali e decentrate del Dipartimento della P.S. per la progettazione e coordinamento di iniziative per la videosorveglianza - 2° fase,-,"1.004.650,00",9 dicembre 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale - Ufficio UTAM,Messa a sistema delle videosorveglianze nelle Regioni Convergenza realizzate nel corso della precedente programmazione PON,-,"5.000.000,00",21 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della Pubblica Sicurezza - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale,Software unico di gestione delle videosorveglianze,-,"1.440.000,00",12 febbraio 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale - Ufficio UTAM,Piattaforma applicativa per il monitoraggio in tempo reale delle informazioni provenienti da sorgenti multimediali,-,"522.174,00",18 maggio 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale - Ufficio UTAM,Realizzazione centro elaborazioni per l'ottimimizzazione dei progetti delle precedenti programmazioni e suo ampliamento per accogliere i nuovi progetti di videosorveglianza,-,"49.760.000,00",21 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale - Ufficio UTAM,Analisi di scena dei segnali delle videosorveglianze,-,"12.000.000,00",21 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale Affari Generali - Centro Elettronico Nazionale della Polizia di Stato,Disaster Recovery del Centro Elettronico di Napoli deputato alla gestione dei sistemi telematici per il monitoraggio del territorio nelle Regioni Convergenza (Bari),-,"36.000.000,00",21 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento Amministrazione Penitenziaria,Realizzazione e interconnessione delle sale operative del corpo di Polizia Penitenziaria ed implementazione dei sistemi di localizzazione del mezzi mobili,-,"1.476.434,40",18 maggio 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale - Ufficio UTAM,Nuovi sistemi di videosorveglianza Regione Calabria,Calabria,"41.047.757,20",30 luglio 2008,progetto in corso
