"Asse","Attivita","Operazione","Nome del beneficiario","Anno di assegnazione","Importo pubblico totale assegnato (in €)","Importo effettivamente erogato a conclusione dell'intervento (in €) "
"IV ","i ","Attivitﾈ di adattamento del rapporto di valutazione ex ante del 
POR FESR e di supporto per l�individuazione dei criteri di 
selezione delle operazioni finanziate dal programma. ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2007,"7.200,00 ","7.200,00 "
"IV ","e ","Assistenza tecnico-amministrativa alle attivitﾈ di gestione, 
sorveglianza, valutazione, informazione e controllo del POR 
FESR Competitivitﾈ regionale. Affido di incarico al dr Davide 
Genna.  ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2007,"54.300,00 ","51.558,48 "
"IV ","a ","Affido di incarico alla ""Selene audit srl"", di Torino, per attivitﾈ di 
supporto alla definizione dei sistemi di gestione e controllo del 
POR Valle d'Aosta FESR Competitivitﾈ regionale 2007/2013 e 
del POR Valle d�Aosta FSE Occupazione 2007/2013, ai sensi 
della l.r. 18/1998. ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2007,"92.904,00 ","92.903,20 "
"IV ","i ","Affido di incarico, alla Societﾈ Cles a.r.l., di Roma, ai sensi del 
capo Iﾡ della l.r. 18/1998, per attivitﾈ di valutazione del 
programma FAS 2007/13 e del programma FESR 
Competitivita� regionale 2007/13. ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2008,"17.820,00 ","17.820,00 "
"IV ","e ","Affido di incarico, ai sensi della l.r. 18/1998, al dr Davide 
Genna, di Aosta, per collaborazione tecnico-amministrativa alla 
realizzazione, nell�ambito del POR Valle d�Aosta FESR 
Competitivitﾈ regionale 2007/2013, di attivitﾈ di assistenza 
tecnica e supporto all�attuazione delle operazioni cofinanziate. ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2008,"54.300,00 ","52.372,48 "
"IV ","e ","Affido di incarico al dr Andrea Bagnulo, residente in Roma, ai 
sensi del capo I della l.r. n. 18/1998, per attivitﾈ di assistenza 
tecnica nell�attuazione del POR Valle d'Aosta FESR 
Competitivitﾈ regionale 2007/2013 e del PAR FAS Valle 
d�Aosta 2007/13.  ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2008,"24.600,00 ","22.350,02 "
"IV ","e ","Affido di incarico, ai sensi della l.r. 18/1998, al dr Davide 
Genna, di Aosta, per collaborazione tecnico-amministrativa, 
nell�ambito del POR Valle d�Aosta FESR Competitivit� 
regionale 2007/2013, alle attivitﾈ di gestione, sorveglianza, 
valutazione, informazione e controllo. Approvazione della 
scheda operazione. ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2009,"54.300,00 ","- "
"IV ","e, l ","Affido di incarico al dr Andrea Bagnulo, residente in Roma, ai 
sensi del capo I della l.r. 18/1998, per attivitﾈ di assistenza 
tecnica nell�attuazione del POR Valle d'Aosta FESR 
Competitivitﾈ regionale 2007/2013 e del PAR FAS Valle 
d�Aosta 2007/13.  ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2009,"36.360,00 ","- "
"IV ","d ","Assistenza tecnico-giuridica alle attivitﾈ di Audit, valutazione, 
controllo, ispezione e rendicontazione delle attivitﾈ ammesse a 
finanziamento del POR FESR 2007/13. ","Regione Autonoma Valle d'Aosta � Dipartimento bilancio, 
finanze e patrimonio ",2009,"27.000,00 ","- "
"IV ","e ","Formazione del personale: corso �Rendicontazione dei fondi 
strutturali 2007/13. Iﾡ modulo principi, normativa, 
metodologie�.  ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2009,"650,00 ","650,00 "
"IV ","e ","Formazione del personale: corso � La rendicontazione dei 
progetti europei�. ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2009,"1.280,00 ","1.280,00 "
"IV ","j ","Attivitﾈ realizzate in attuazione del piano di comunicazione 
integrato FESR e FSE 2007/13, del piano della comunicazione 
della politica regionale 2007/13 � Eventi pubblici riunioni e 
partenariali; Attivitﾈ realizzate in attuazione del piano di comunicazione 
integrato FESR e FSE 2007/13, del piano della comunicazione 
della politica regionale 2007/13 � Progettazione grafica, stampa, 
comunicazione e pubblicitﾈ; Attivitﾈ realizzate in attuazione del piano di comunicazione 
integrato FESR e FSE 2007/13, del piano della comunicazione 
della politica regionale 2007/13 � Produzione di materiale 
fotografico e video multimediali ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2009,"28.624,00 ","- "
"IV ","e ","Formazione del personale: corso �La rendicontazione dei fondi 
strutturali 2007/13�. ","Regione Autonoma Valle d'Aosta - Direzione programmi per 
lo sviluppo regionale ",2008,"1.480,00 ","1.480,00 "
"IV ","l ","Elaborazione di uno studio di fattibilitﾈ per la valorizzazione 
economica dei beni culturali: ""Castello di Arvier"". ","Comune di Arvier ",2009,"31.200,00 ","- "
"IV ","l ","Elaborazione di uno studio di fattibilitﾈ per la valorizzazione 
economica dei beni culturali: �Pont d'Ael� e fabbricati adiacenti ","Comune di Aymavilles ",2009,"33.500,00 ","- "
"IV ","l ","Elaborazione di uno studio di fattibilitﾈ per la valorizzazione 
economica dei beni culturali: ""Castello di Verrﾏs"". ","Comune di Verrﾏs ",2009,"16.524,00 ","- "
"IV ","l ","Attivitﾈ di supporto alla selezione delle operazioni: studio di 
fattibilit� per l�aggiornamento e l�integrazione del piano di 
ristrutturazione e riconversione dell�area autoportuale di Pollein-
Brissogne. ","Autoporto S.p.A. ",2009,"70.000,00 ","- "
"IV ","l ","Elaborazione degli uno studi di fattibilitﾈ per la valorizzazione 
economica dei beni culturali �Castello di Quart� e �Porta 
Praetoria e Torre dei Signori di Quart� ","Regione Autonoma Valle d'Aosta - Direzione restauro e 
valorizzazione ",2010,"30.000,00 ","- "
