Nome dei beneficiari,Nome dell'operazione,Anno di assegnazione/Anno di Pagamento Finale,Ammontare Assegnato,Totale importo pagato alla finde dell operazoine
Regione Abruzzo,Miglioramenti Sevizi ICT imprese,2008,"7.884.600,00",
Regione Abruzzo,Reti immateriali banda larga,2008,"24.711.499,40",
Regione Abruzzo,Miglioramenti Sevizi ICT cittadini aree montane,2008,"14.826.899,64",
Regione Abruzzo,Formulazione POR,2007,"48.000,00","48.000,00"
Regione Abruzzo,Formulazione SAR,2007,"60.000,00","60.000,00"
Regione Abruzzo,Incontro annuale,2008,"1.413,50","1.413,50"
Regione Abruzzo,Spese CdS,2008,"2.428,00","2.428,00"
Regione Abruzzo,Spese CdS,2008,"1.984,50","1.984,50"
Regione Abruzzo,Open Days Bruxelles,2008,"1.048,75","1.048,75"
Regione Abruzzo,Incontro chiusura Bruxelles,2008,"687,50","687,50"
Regione Abruzzo,Pubblicazione bando di gara Piano Comunicazione,2008,"3.624,62","3.624,62"
Regione Abruzzo,Pubblicazione esito comunicazione,2008,"3.482,98","3.482,98"
Regione Abruzzo,Pubblicazione esito assistenza tecnica,2008,"2.550,00","2.550,00"
Regione Abruzzo,Pubblicazione bando di gara Assistenza Tecnica,2008,"9.729,48","9.729,48"
Regione Abruzzo,Nolleggio macchina,2009,"583,20","583,20"
Regione Abruzzo,Nolleggio macchina,2009,"648,00","648,00"
Regione Abruzzo,Nolleggio macchina,2009,"2.180,18","2.180,18"
Regione Abruzzo,Nolleggio macchina,2009,"1.258,15","1.258,15"
Regione Abruzzo,Nolleggio macchina,2009,"804,55","804,55"
Regione Abruzzo,Nolleggio macchina,2009,"198,36","198,36"
Regione Abruzzo,Piano comunicazione aggiudicazione,2008,"959.568,00",
Regione Abruzzo,Docup servizi complementari,2008,"865.532,64",
Regione Abruzzo,Aggiudicazione AT Ecoter/Sercam,2007,"5.056.380,00",
