"Beneficiario","Denominazione dell'operazione","Anno finanziamento pagamento","Contributo concesso - Risorse nazionali e comunitarie (FESR)"
"Comune di Imola","MotorValley: realizzazione spazio museale del circuito di Imola.",2009,"900.000,00"
"Comune di Lizzano in 
Belvedere ","La Valle del Reno: realizzazione del palazzo della cultura e dello Sport 
attrattore culturale dell'intera area.",2009,"900.000,00"
"Comune di Monterenzio","Archeologia a monte Bibele: valorizzazione e accessibilitﾈ del parco 
archeologico.",2009,"900.000,00"
"Comune di Zola Predosa","Villa Edvige-Garagnani e Parco campagna: riqualificazione spazi e locali 
a fini espositivi e convegnistici- Recupero della rete dei percorsi storici 
del parco Campagna.",2009,"900.000,00"
"Comune di Comacchio","Percorsi d'acqua: Comacchio al mare in barca.",2009,"1.062.000,00"
"Comune di Comacchio","Ospedale degli infermi: realizzazione del museo delle culture umane - 
Comacchio",2009,"1.350.000,00"
"Consorzio del Parco 
regionale del delta del Po","Percorsi d'acqua. Parco del Delta: dalla Sacca di Goro alla foce del 
fiume Po.",2009,"900.000,00"
"Comune di Mesola","I siti dell'Unesco: Valorizzazione della Delizia Estense di Mesola.",2009,"1.087.500,00"
"Comune di Cesenatico","Cesenatico: Percorsi d'acque. Valorizzazione del centro e del museo 
della marineria",2009,"2.000.000,00"
"Comune di Forlﾓ","Complesso museale San Domenico. Realizzazione di sale per concerti, 
convegni, esposizioni.",2009,"600.000,00"
"Comune di Tredozio","Ex -Monastero di S. Annunziata. Riqualificazione a fini convegnistici e 
congressuali",2009,"720.000,00"
"Comune di Galeata","Parchi e Aree archeologiche: La villa di Teodorico e il Parco archeologico 
di S. Giovanni in compito.",2009,"550.000,00"
"Comune di Cesena","Il sistema delle fortificazioni della Romagna pontificia e malatestiana.",2009,"1.410.000,00"
"Comune di Modena ","MotorValley: Museo Casa Ferrari - Modena",2009,"1.000.000,00"
"Comune di Maranello","MotorValley: Galleria Ferrari -Maranello",2009,"600.000,00"
"Comune di Carpi","Circuito dei Castelli modenesi: Palazzo Pio-Carpi",2009,"800.000,00"
"Comunitﾈ Montana del 
Frignano, Comune di 
Pavullo, Comune di 
Sestola.","Appennino dolce e dinamico",2009,"587.000,00"
"Provincia di Parma","I castelli del Ducato. Reggia di Colorno: restauro della cappella di S. 
Liborio.",2009,"1.200.000,00"
"Comune di 
Salsomaggiore Terme","Il Liberty a Salsomaggiore: riqualificazione del Palazzo terme Berzieri e 
del parco cittadino.",2009,"1.000.000,00"
"Comune di Bardi","I Castelli del Ducato: riqualificazione del Castello di Bardi.",2009,"700.000,00"
"Comune di Berceto","Archeologica industriale a Berceto recupero dell'ex fornace Marchino a 
fini espositivi.",2009,"600.000,00"
"C.M. Valli Nure e Arda","Valorizzazione del patrimonio archeologico della Val d'Arda: Velleia 
Romana e dintorni.",2009,"880.000,00"
"C.M. dell'Appennino 
piacentino","Valorizzazione dei percorsi naturalistici nella Valle del fiume Trebbia",2009,"720.000,00"
"Provincia di Reggio 
Emilia, Comune di 
Canossa, Comune di 
Casina, Comune di 
Quattro Castella.","Valorizzazione dei castelli e degli edifici storici delle terre di Canossa.",2009,"900.000,00"
"Comune di Guastalla.","Le piccole capitali del Po: riqualificazione a fini culturali di Palazzi storici.",2009,"500.000,00"
"Parco Nazionale Tosco 
Emiliano.","Le porte del parco: realizzazione e riqualificazione di servizi per la 
fruizione del parco.",2009,"576.000,00"
"Comune di Ravenna","Archeologia a Ravenna realizzazione del museo di classe e percorsi 
storici",2009,"1.800.000,00"
"Comune di Lugo","La Rocca Estense di Lugo: recupero e restauro a fini espositivi e museali ",2009,"350.000,00"
"Comune di Faenza","Il salotto di Faenza:  la Piazza mercato, valorizzazione miglioramento 
dell'accessibilitﾈ dell'area a fini di valorizzazione turistica.",2009,"350.000,00"
"Comunitﾈ Montana 
dell'Appennino Faentino","Il Parco regionale Vena del Gesso e i suoi percorsi: creazione di centri 
visite, allestimenti didattici e aree attrezzate. ",2009,"1.300.000,00"
"Consorzio Parco 
regionale Delta del Po","Parco delta del Po. Pineta di classe e Saline di Cervia: realizzazione di 
percorsi naturalistico ambientali.",2009,"600.000,00"
"Comune di Cervia","Cervia cittﾈ del sale: ripristino percorsi storici.",2009,"950.000,00"
"Comune di Bellaria","Bellaria: recupero ambientale del porto-canale e delle zone limitrofe.",2009,"1.100.000,00"
"Comune di Riccione","Archeologia industriale a Riccione: recupero ex fornace Hoffmann e 
dell'area a fini culturali",2009,"1.800.000,00"
"Comune di Misano","Parco del mare Misano. Riqualificazione ambientale della fascia 
demaniale e ricostruzione del cordone dunoso",2009,"1.000.000,00"
"Comune di Cattolica","Realizzazione del Palazzo del turismo e riqualificazione delle piazze del 
porto di Cattolica",2009,"1.100.000,00"
"Provincia di Rimini","Le valli del Conca e del Marecchia: realizzazione di percorsi cicloturistici 
e fluviali",2009,"2.200.000,00"
"Comune di Rimini","Tessuto storico della cittﾈ di Rimini:recupero del teatro Galli",2009,"4.800.000,00"
