BENEFICIARIO,DENOMINAZIONE INTERVENTO,DATA CONCESSIONE CONTRIBUTO,PROV. DI REALIZZAZIONE INTERVENTO,TIPOLOGIA DI AIUTO,CONTRIBUTO CONCESSO,QUOTA FESR DEL CONTRIBUTO,QUOTA NAZIONALE DEL CONTRIBUTO,QUOTA DI CONTRIBUTO LIQUIDATA
Scorza Cav. Giovanni di Scorza Danilo,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,GE,Aiuto de minimis,"19.394,40","6.150,29","13.244,11",-
I sapori della terra taggiasca srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,IM,Aiuto de minimis,"25.936,20","8.224,81","17.711,39","25.936,20"
ME-SYS SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"20.284,70","6.432,62","13.852,08",-
Quidam Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"193.471,58","61.353,13","132.118,45","193.471,58"
FEDERICO CRISTINO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"10.849,52","3.440,57","7.408,95",-
Andrea Gallo di Luigi Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"16.890,00","5.356,11","11.533,89",-
Centro Latte Savona spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"75.311,10","23.882,43","51.428,67","75.311,10"
Mastelli Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",11/3/10,IM,Aiuto de minimis,"105.831,78","33.561,06","72.270,72","37.041,12"
VICO Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione ",26/11/2009,SV,Aiuto de minimis,"750,00","237,84","512,16",-
VICO Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione ",26/11/2009,SV,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60",-
ICOSE S.p.A.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"101.004,00","32.030,09","68.973,91","50.502,00"
Fontanabuona Mobili Snc di Dondero Sandro & C.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,GE,Aiuto de minimis,"76.560,00","24.278,48","52.281,52",-
ANCE LA SPEZIA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SP,Aiuto de minimis,"26.361,00","8.359,52","18.001,48",-
GENETIC SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,IM,Aiuto de minimis,"74.691,00","23.685,79","51.005,21",-
GM SERVIZI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,IM,Aiuto de minimis,"50.639,88","16.058,77","34.581,11",-
ART GRAPHIC PROJECT DI ANDREA TORAROLO E PIETRO STURA SNC,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"12.383,55","3.927,03","8.456,52",-
FORZIERI VITTORIO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"25.785,30","8.176,96","17.608,34",-
GIOBAS SNC,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,GE,Aiuto de minimis,"58.841,01","18.659,48","40.181,53","58.841,01"
ANTICO FORNO DI FIGONE ROBERTO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"44.349,11","14.063,86","30.285,25",-
T BRIDGE S.P.A.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/04/2010,GE,Aiuto de minimis,"23.400,00","7.420,54","15.979,46",-
Lavabiancheria e Stireria Lella di Bisso Enrico,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",24/12/2009,GE,Aiuto de minimis,"70.874,10","22.475,38","48.398,72",-
CO.L.MAR. Compagnia Lavoratori Marini Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SP,Aiuto de minimis,"14.885,18","4.720,34","10.164,84",-
SERIS Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione ",24/12/2009,GE,Aiuto de minimis,"73.750,97","23.387,69","50.363,28",-
SERIS Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione ",24/12/2009,GE,"Contributo a fondo 
perduto","70.950,00","22.499,45","48.450,55",-
ARS FOOD SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SP,Aiuto rimborsabile,"750.000,00","237.837,75","512.162,25","262.500,00"
Surplus Sas di Davide Guagni & C.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"24.186,00","7.669,79","16.516,21","24.186,00"
CARO & COLOMBI SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SP,"Contributo a fondo 
perduto","43.700,00","13.858,01","29.841,99",-
I.MAR.S. Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,Aiuto de minimis,"18.000,00","5.708,11","12.291,89","18.000,00"
Europlast S.r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"139.129,35","44.120,28","95.009,07","26.400,00"
F.A.C. FABBRICA ALBISOLESE CERAMICHE SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,SV,Aiuto de minimis,"17.181,92","5.448,68","11.733,24",-
MINERARIA LIGURE Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",19/03/2010,SP,Aiuto de minimis,"81.933,97","25.982,65","55.951,32","25.750,11"
S.T. SEGAGIONE E TRASPORTI di Gabriele Piccini Sas,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SP,"Contributo a fondo 
perduto","157.370,00","49.904,70","107.465,30",-
CEROSILLO RAG. DARIO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"13.062,00","4.142,18","8.919,82","13.062,00"
ITAGRO di Agnese Claudio & C. Sas,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/12/2009,IM,Aiuto de minimis,"27.450,00","8.704,86","18.745,14",-
DYNAMIC SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"23.217,00","7.362,51","15.854,49",-
VISIONAUTA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"40.102,16","12.717,08","27.385,08",-
Societa_ cooperativa sociale CO.SER.CO Onlus,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/04/2010,GE,Aiuto de minimis,"15.545,36","4.929,70","10.615,66",-
ELETTROGREEN POWER SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"9.724,20","3.083,71","6.640,49",-
O.M.E.V. Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,Aiuto de minimis,"10.282,49","3.260,75","7.021,74","10.282,49"
ECOLVETRO Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60",-
P.T.V. - Programmazioni Televisive spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"200.000,00","63.423,40","136.576,60","70.000,00"
FEEL BETTER SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",21/04/2010,GE,Aiuto de minimis,"17.046,00","5.405,58","11.640,42",-
ALBINO CHIESA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,Aiuto de minimis,"53.904,90","17.094,16","36.810,74","53.904,90"
S.Erasmo Zinkal spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"114.804,00","36.406,30","78.397,70",-
CONSERVIZI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,GE,Aiuto de minimis,"92.526,78","29.341,81","63.184,97",-
PRIAMAR - CENTRO CLINICO DIAGNOSTICO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,SV,Aiuto de minimis,"43.263,60","13.719,62","29.543,98","43.263,60"
Ponte Giovanni,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,GE,Aiuto de minimis,"9.170,14","2.908,01","6.262,13",-
PROSOFT INTESYS Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"11.453,16","3.631,99","7.821,17",-
LA VALLE DEGLI OLEANDRI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,SV,Aiuto de minimis,"37.392,91","11.857,93","25.534,98","35.308,36"
VARAZZE RADIOLOGIA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,SV,Aiuto de minimis,"32.139,38","10.191,94","21.947,44","24.390,00"
ITI Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,Aiuto de minimis,"33.041,91","10.478,15","22.563,76",-
L.A.S.A. Lavorazione artigiana alimentari Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"9.750,00","3.091,89","6.658,11",-
Carbotrade Gas srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,Aiuto de minimis,"29.340,00","9.304,21","20.035,79",-
TANKOA YACHTS SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,"Contributo a fondo 
perduto","139.362,43","44.194,20","95.168,23",-
AMPERSAND SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,SP,Aiuto de minimis,"33.550,68","10.639,49","22.911,19",-
PRO SHIP Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,SP,Aiuto rimborsabile,"70.217,25","22.267,08","47.950,17",-
ISC S.r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,SP,Aiuto rimborsabile,"42.606,00","13.511,09","29.094,91",-
VILLA RIDENTE SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,SV,Aiuto de minimis,"61.320,00","19.445,61","41.874,39",-
CANTIERI NAVALI SCIALLINO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,SV,Aiuto de minimis,"185.355,00","58.779,22","126.575,78",-
Navital Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,Aiuto de minimis,"31.011,79","9.834,37","21.177,42",-
AITEK SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"16.899,63","5.359,16","11.540,47",-
GET SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,IM,Aiuto de minimis,"18.900,00","5.993,51","12.906,49","18.900,00"
PITTO P. ZETA Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/02/2010,GE,Aiuto de minimis,"10.525,75","3.337,89","7.187,86",-
BARBERINI & LAWSON SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/12/2009,GE,Aiuto de minimis,"124.500,00","39.481,07","85.018,93","124.500,00"
MASALA Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",19/03/2010,IM,"Contributo a fondo 
perduto","138.960,00","44.066,58","94.893,42",-
Cometa Consorzio di Cooperative Sociali,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SP,Aiuto de minimis,"16.989,52","5.387,67","11.601,85","8.494,76"
"Plastital dell' Ing. Revelli Giobattista & C.
S.a.s.","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,IM,Aiuto de minimis,"71.640,00","22.718,26","48.921,74",-
Informat System srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"40.140,00","12.729,08","27.410,92",-
AUTOSERVICE Srl unipersonale,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/04/2010,GE,Aiuto de minimis,"14.970,00","4.747,24","10.222,76",-
TORTEROLO E RE Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"72.120,74","22.870,71","49.250,03","72.120,74"
Fratelli Razeto & Casareto Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"68.922,00","21.856,34","47.065,66",-
Cuneo Luigi,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,Aiuto de minimis,"23.659,50","7.502,83","16.156,67","23.659,50"
Also Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"1.950,00","618,38","1.331,62",-
Also Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto rimborsabile,"750.000,00","237.837,75","512.162,25",-
EDIL MA.VI TORINO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,IM,Aiuto de minimis,"87.900,00","27.874,58","60.025,42","30.765,00"
RAINERI SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,IM,Aiuto de minimis,"36.000,00","11.416,21","24.583,79","36.000,00"
Saponificio Gianasso Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"42.337,50","13.425,94","28.911,56",-
Saponificio Gianasso Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,"Contributo a fondo 
perduto","108.280,00","34.337,43","73.942,57",-
G.I.VI. Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,SP,Aiuto de minimis,"36.618,45","11.612,33","25.006,12","36.618,45"
TMS Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"97.650,00","30.966,48","66.683,52",-
CONAD MAC 3 SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SV,Aiuto de minimis,"20.410,86","6.472,63","13.938,23",-
ANALISI & CONTROLLI Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"100.000,00","31.711,70","68.288,30","100.000,00"
"SERG dei F.lli Matelli Amedeo Giordano &
Giuliano e C. Sas","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,SP,Aiuto de minimis,"93.726,00","29.722,11","64.003,89",-
BONETTI AIRCRAFT SUPPORTS SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"36.497,56","11.574,00","24.923,56",-
BONETTI AIRCRAFT SUPPORTS SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,"Contributo a fondo 
perduto","106.226,86","33.686,34","72.540,52",-
Alloro Giulio Giulio,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",14/12/2009,GE,Aiuto de minimis,"85.400,14","27.081,84","58.318,30","84.000,00"
HIPPOCRATES RESEARCH SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",28/12/2009,GE,Aiuto de minimis,"18.000,00","5.708,11","12.291,89","17.700,00"
Oregon Group Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/03/2010,GE,Aiuto de minimis,"46.506,69","14.748,06","31.758,63",-
Panificio Pasticceria Tossini 1 Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,"Contributo a fondo 
perduto","84.500,60","26.796,58","57.704,02","42.250,30"
Technotiles Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SP,"Contributo a fondo 
perduto","22.040,54","6.989,43","15.051,11",-
AUTOTRASPORTI PENSIERO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"27.222,90","8.632,84","18.590,06",-
SOFTJAM SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",19/03/2010,GE,Aiuto de minimis,"10.456,23","3.315,85","7.140,38",-
Corderia e Stoppificio di Minetti G. & C. Sas,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"14.700,00","4.661,62","10.038,38","14.700,00"
Mantobit S.p.A.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,SV,Aiuto de minimis,"154.513,71","48.998,92","105.514,79",-
Agenzia Motonautica Ligure srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,GE,Aiuto de minimis,"14.118,00","4.477,06","9.640,94","14.118,00"
"CANTIERE NAVALE PATRONE MORENO
DI MORENO E ROLANDO SNC","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",19/03/2010,SV,Aiuto de minimis,"116.695,44","37.006,11","79.689,33",-
BELAR SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,Aiuto de minimis,"25.212,00","7.995,15","17.216,85",-
MARMI NOTA SNC,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,Aiuto de minimis,"71.315,52","22.615,36","48.700,16",-
EMC Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"20.622,00","6.539,59","14.082,41",-
Giuseppe Calvi & C.Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,IM,Aiuto de minimis,"24.577,65","7.793,99","16.783,66",-
F.LLI FERRONI.S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"12.390,00","3.929,08","8.460,92","11.280,00"
PLANET LAB TECHNOLOGY SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",4/12/09,GE,Aiuto de minimis,"17.398,57","5.517,38","11.881,19",-
Oil & Bulk Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",10/12/09,GE,Aiuto de minimis,"85.500,00","27.113,50","58.386,50",-
Zwick Roell Italia Service Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,GE,Aiuto de minimis,"17.171,40","5.445,34","11.726,06",-
"TELECITTA' SOCIETA PER AZIONI CON
SOCIO UNICO","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",18/02/2010,GE,Aiuto de minimis,"200.000,00","63.423,40","136.576,60",-
UNO COMMUNICATIONS SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/04/2010,IM,Aiuto de minimis,"57.168,44","18.129,08","39.039,36",-
Marina srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/12/2009,SV,Aiuto de minimis,"12.210,00","3.872,00","8.338,00",-
GHEA Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/12/2009,SP,Aiuto de minimis,"72.870,00","23.108,32","49.761,68","72.870,00"
CANTIERI NAVALI DI LA SPEZIA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SP,Aiuto de minimis,"200.000,00","63.423,40","136.576,60",-
Ligure Piemontese Laterizi Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60",-
O.M.S. di Sturla Danilo,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",3/12/09,GE,Aiuto de minimis,"60.920,14","19.318,81","41.601,33","21.322,05"
"C.P.G. Lab Srl (già C.P.G. di Ceccarelli e C.
Snc)","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/04/2010,SV,"Contributo a fondo 
perduto","74.217,83","23.535,74","50.682,09",-
COOPERATIVA LIBRARIA UNIVERSITARIA soc. coop. (abbreviata CLU),"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,GE,Aiuto de minimis,"129.000,00","40.908,09","88.091,91","45.150,00"
Frantoio del Tigullio Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",22/03/2010,GE,"Contributo a fondo 
perduto","46.804,80","14.842,60","31.962,20",-
S.I.CI.S. SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",30/11/2009,SV,Aiuto de minimis,"20.700,00","6.564,32","14.135,68","10.350,00"
LIGUROIL Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/12/2009,GE,Aiuto de minimis,"16.523,04","5.239,74","11.283,30",-
BONGINI E C. SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/12/2009,GE,Aiuto de minimis,"14.550,30","4.614,15","9.936,15",-
LO SCOIATTOLO DI MOTTO MATTEO,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SP,Aiuto de minimis,"14.450,00","4.582,34","9.867,66",-
GRAFICA KC DI E. CHIARELLA & C. SNC,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"14.329,00","4.543,97","9.785,03","14.329,00"
Edilcalcestruzzi Srl (già Alloro Pierluigi),"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"200.000,00","63.423,40","136.576,60",-
Liguria Palificazioni S.r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"102.500,00","32.504,49","69.995,51",-
Vitrum & Glass Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60","200.000,00"
IL FALCO DELLA RIVIERA Michele,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,IM,Aiuto de minimis,"26.100,00","8.276,75","17.823,25",-
CO.EL.ME. SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"14.337,00","4.546,51","9.790,49",-
CAVE GHIGLIAZZA SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60",-
INDUSTRIE REBORA S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,"Contributo a fondo 
perduto","138.000,00","43.762,15","94.237,85",-
Mallarini S.p.A.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SV,"Contributo a fondo 
perduto","185.000,00","58.666,65","126.333,36",-
Val Vetri Snc di Schiavina Giuliana d Turaglio Valeria & C.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"118.485,00","37.573,61","80.911,39","41.469,75"
CARPENTERIA CORSI SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,SP,Aiuto de minimis,"77.360,06","24.532,19","52.827,87","77.360,06"
PISANOGOMME S.A.S.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,IM,Aiuto de minimis,"9.031,65","2.864,09","6.167,56",-
G.ALBERTI & C.SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/03/2010,IM,Aiuto de minimis,"179.613,00","56.958,34","122.654,66",-
Tecno Costruzioni di Ubaldini Livio & C. Snc,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",16/12/2009,SV,Aiuto de minimis,"16.365,00","5.189,62","11.175,38",-
HOT PRESS SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"127.055,60","40.291,49","86.764,11","100.500,00"
IMPRESA GERMANO MARIO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"195.000,00","61.837,82","133.162,19",-
Tonitto 1939 S.p.A.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,Aiuto de minimis,"21.989,40","6.973,21","15.016,19",-
Tonitto 1939 S.p.A.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,"Contributo a fondo 
perduto","73.772,40","23.394,48","50.377,92",-
