"N. PROGETTO","SOGGETTO PROPONENTE / CAPOFILA ATI-ATS","PARTNER IN ATI/ATS","TITOLO DEL PROGETTO","Contributo pubblico","Cofinanziamento privato","TOTALE","Assegni di ricerca","Studio di fattibilità","Spese gestione per assegni di ricerca","TOTALE","COSTO TOTALE DEL PROGETTO"
9,"ERA ELECTRONIC SYSTEMS SRL
via Ranco, 9/D Collestrada
06080 Perugia
Tel 075 5991117",,"Sviluppo delle risorse umane di un'impresa innovativa operante nei settori spazio/difesa/biomedicale",37800,16200,54000,28800,,,28800,82800
22,"Tucep
via dei Priori, 80
06123 Perugia
Tel 075 5733188","ISRIM scarl (Terni)
Superficie 8 srl  (Perugia)","Biotecnologie e fitodepurazione: sviluppo di soluzioni integrate",25550,,25550,28800,,864,29664,55214
4,"BAVICCHI spa
via della Valtiera, 293- 06135 Ponte San Giovanni
tel 075 393941","Associazione Forma.Azione srl  (Perugia)","BIOCIDI NATURALI per la sicurezza e la salute",4608,1152,5760,21600,21500,648,43748,49508
13,"Margaritelli spa
Fraz Miralduolo
06089 Togiano
tel 075 988681","Associazione Forma.Azione srl  (Perugia)","Progetto Margaritelli: la ricerca come fattore di qualità e attenzione all'ambiente",6193.8,3106.2,9300,7200,37300,216,44716,54016
27,"Umbria packaging srl 
via dei Pini, 46/48 
06086 Petrignano di Assisi
075 809780",,"Sviluppo della competittivtà aziendale attraverso la formazione, studio di fattibilità per l'innovazione di nuovi prodotti e assegno di ricerca",11520,2880,14400,14400,40000,432,54832,69232
23,"Tucep
via dei Priori, 80
06123 Perugia
Tel 075 5733188","Sirilab robotics srl (Terni)
","Progetto di un sistema integrato per la localizzazione e la navigazione per la mobilità",9980,,9980,28800,,864,29664,39644
21,"Tucep
via dei Priori, 80
06123 Perugia
Tel 075 5733188","ART srl (Foligno)
","Sviluppo e prime prototipazioni di sistemi elettronici avanzati in ambito automotive con particolare attenzioen ai sistemi avanzati di asssitenza al guidatore e infomobilità",11480,,11480,43200,,1296,44496,55976
24,"Tucep
via dei Priori, 80
06123 Perugia
Tel 075 5733188","DIES srl (Foligno)","Modifica di un sistema elettronico di avvitatura: passaggio da motori brushless in corrente continua",15800,,15800,14400,,432,14832,30632
8,"ELES Semiconductor equipement spa
Zona industriale Badoglie, 148/1/Z
06059 Todi
Tel 075 898000",,"Marketing olistico e pianificazione strategica",25200,10800,36000,,14400,,14400,50400
12,"Irecoop Umbria scrl
via Seneca, 4 
06121 Perugia
Tel 075 36091","Gruppo Grifo Latte
Perugia","Grifo Latte: la formazione come chiave del successo",29274,12546,41820,,8800,,8800,50620
3,"AXIS CUCINE srl
via Frate Egidio, 4 
06080 Rivotorto di Assisi
Tel 075 8044723",,"Formazione in AXIS CUCINE",6650,,6650,28800,,,28800,35450
11,"Innovazione terziario scarl
Centro Direzionale 4 Torri
06074 Ellera
Tel 075 518491","Tiellespesa (Perugia)","Tielle convenience store",9600,2400,12000,,4700,,4700,16700
10,"Fly Tecnologie e servizi sccarl
via Cestellini, 17 
06135 P.S.Giovanni
Tel 075 597041
","Passwork srl (PSGiovanni)","Nautilus. Formazione aggiornamento specialistico sul cambiamento organizzativo attraverso le nuove tecnologie",5402.88,4677.12,10080,28800,4000,864,33664,43744
16,"PMP srl 
Via Treves,23 
06012 Cerbara (Pg)
Tel 075 8518060",,"Piccole idee per grandi imprese",10560,2640,13200,24000,22980,720,47700,60900
19,"Secit spa G.Mercalli, 80
via del Rame, 14 Ponte Felcino
06077 Perugia
tel 075 6910184",,"GATE - Gestione ambientale nelle tecnologie per l'ecologia",3550,,3550,14400,,,14400,17950
25,"Umana Forma srl
via Settevalli, 70/C
06100 Perugia
Tel 075 5011743","Marcantonini srl 
Bettona","Innovation & Safety work nella progettazione e produzione meccanica",20880,5220,26100,,7198,,7198,33298
1,"Aris Formazione e Ricerca soc.cop
Str.da S.Lucia, 8
06125 Perugia
Tel 075 5848056","Artes srl (Perugia)
Tema costruzioni soc.coop. (Paciano)
","Qualità ambiente e sicurezza: integrazione tra sistemi atttraverso lo sviluppo delle risorse umane e l'innovazione d'azienda",5032.8,5767.2,10800,,26000,,26000,36800
20,"Sisas Segnaletica 
via Sputnik n.8
06080 Corciano
Tel 075 518641",,"Sviluppo delle risorse umane nell'ambito delle singole imprese innovative",43200,10800,54000,,14800,,14800,68800
5,"BLACK&DEKER spa
via Buozzi, 1
06074 Corciano
Tel 075 51891",,"Trasferire l'innovazione attraverso la formazione",43200,10800,54000,,12000,,12000,66000
6,"Cartiere di Trevi spa
via Clitunno, 4
06039 Trevi
Tel 0742 38511",,"Innovazione aziendale attraverso la formazione, studio di fattibilità per l'innnovazione di processo e assegno di ricerca",11520,2880,14400,7200,46000,216,53416,67816
14,"Mediaware sas
via XX Settembre, 13
06055 Marsciano 
Tel 075 8741527",,"Sviluppo di modelli di intelligenza artificiale applicati al settore dei DgR",19760,4440,24200,24000,6000,720,30720,54920
