NOME DEI BENEFICIARI,NOME DELL'OPERAZIONE,ANNO DI ASSEGNAZIONE/ANNO DI PAGAMENTO FINALE,AMMONTARE ASSEGNATO,TOTALE IMPORTO PAGATO ALLA FINE DELL'OPERAZIONE
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria comunitaria - Divisione IX,Supporto Tecnico organizzativo alla realizzazione del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2009,260000,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria comunitaria - Divisione IX,Supporto di assistenza tecnica nelle attivita_ di programmazione e gestione del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2009,17100500,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria comunitaria - Divisione IX,Segreteria Tecnica del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2009,10500000,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria comunitaria - Divisione IX,La politica regionale nell'Unione Europea. Una valutazione comparata,2009,176000,0
Agenzia Nazionale per l’attrazione di investimenti e lo sviluppo d’impresa S.p.A.,Miglioramento della Committenza Pubblica: supporto alla programmazione nelle Regioni dell’Obiettivo Convergenza,2009,2000000,0
Agenzia Nazionale per l’attrazione di investimenti e lo sviluppo d’impresa S.p.A.,Rafforzamento del parco progetti nelle Regioni dell’Obiettivo Convergenza,2009,2000000,0
Agenzia Nazionale per l’attrazione di investimenti e lo sviluppo d’impresa S.p.A.,"Accompagnamento alla programmazione del QSN 2007-2013 sui temi della ricerca, innovazione e competitivita",2009,179894,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria nazionale,Realizzazione di un sistema di WorkFlow e Document Management a supporto della gestione del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2009,1779600,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria nazionale,Sviluppo Sito Web del Quadro Strategico Nazionale,2009,222000,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria nazionale,Attivazione delle funzionalita_ di servizio al PON Governance e Assistenza Tecnica 2007-2013 nel Sistema Gestione Progetti (SGP),2009,1251324,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria nazionale,Infrastrutture hardware e software di supporto al Monitoraggio del QSN,2009,2842784,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria nazionale,Monitoraggio delle Risorse della Politica Regionale Unitaria Nazionale,2009,12000000,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per lo Sviluppo e la Coesione Economica - Direzione generale per la politica regionale unitaria comunitaria - Divisione IX,Azioni di gemellaggio nazionali per il rafforzamento delle Pubbliche Amministrazioni,2009,25000000,0
PRESIDENZA DEL CONSIGLIO DEI MINISTRI - Dipartimento della Funzione Pubblica - Ufficio per la Formazione del Personale delle Pubbliche Amministrazioni,Attivita_ di Assistenza Tecnica per la gestione delle linee di attivita_ degli Obiettivi Operativi II.4 e II.5 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2008,6580000,0
PRESIDENZA DEL CONSIGLIO DEI MINISTRI - Dipartimento della Funzione Pubblica - Ufficio per la Formazione del Personale delle Pubbliche Amministrazioni,“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2008,5000000,0
"MINISTERO PER I BENI E LE ATTIVITA_ CULTURALI - Direzione generale per il bilancio e la programmazione economica, la promozione, la qualita_ e la standardizzazione delle procedure",“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2008,4000000,0
MINISTERO DELLO SVILUPPO ECONOMICO – Dipartimento per l'impresa e l'internazionalizzazione - Direzione generale per le politiche di internazionalizzazione e la promozione degli scambi,“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2008,5358127,0
PRESIDENZA DEL CONSIGLIO DEI MINISTRI - Dipartimento per le Pari Opportunita_ - Ufficio per gli interventi in campo economico e sociale,“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2008,7500000,0
"PRESIDENZA DEL CONSIGLIO DEI MINISTRI - Dipartimento per l'Innovazione e le Tecnologie - Ufficio per il coordinamento tecnico-operativo, programmazione e gestione dei finanziamenti",“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2008,5000000,0
MINISTERO ECONOMIA E FINANZE – Dipartimento della Ragioneria Generale dello Stato - IGRUE,“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2009,8125600,0
PRESIDENZA DEL CONSIGLIO DEI MINISTRI - Dipartimento della Gioventu,“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2009,8000000,0
MINISTERO DELL'AMBIENTE E DELLA TUTELA DEL TERRITORIO E DEL MARE - Direzione Generale per la Ricerca Ambientale e lo Sviluppo,“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2009,19716000,0
PRESIDENZA DEL CONSIGLIO DEI MINISTRI – Dipartimento Affari Giuridici e Legislativi,“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2009,4300000,0
PRESIDENZA DEL CONSIGLIO DEI MINISTRI – Dipartimento per lo Sviluppo e la Competitivita_ del Turismo – Ufficio per la valorizzazione del patrimonio di interesse turistico e per la gestione degli interventi,“Progetto Operativo di Assistenza Tecnica” alle Regioni dell’Obiettivo Convergenza nell’ambito dell’Obiettivo Operativo II.4 del PON “Governance e Assistenza Tecnica” (FESR) 2007-2013,2010,4400000,0
PRESIDENZA DEL CONSIGLIO DEI MINISTRI - Dipartimento della Funzione Pubblica - Ufficio per la Formazione del Personale delle Pubbliche Amministrazioni,Interventi propedeutici all’attuazione dell’Ob. II.4,2009,9118383,0
