BENEFICIARIO,DENOMINAZIONE INTERVENTO,DATA CONCESSIONE CONTRIBUTO,PROV. DI REALIZZAZIONE INTERVENTO,CONTRIBUTO TOTALE CONCESSO,QUOTA FESR DEL CONTRIBUTO,QUOTA NAZIONALE DI CONTRIBUTO,QUOTA DI CONTRIBUTO LIQUIDATA 
VIDEOPIU' SRL,acquisizione di servizi avanzati,18/02/2010,"GE, IM","8.508,58","2.698,07","5.810,51",0
FINSA INSTITUTE FOR RESEARCH AND EDUCATION S.C.R.L.,acquisizione di servizi avanzati,22/04/2010,GE,"23.950,00","7.594,55","16.355,46",0
ELETTROGREEN POWER SRL,acquisizione di servizi avanzati,18/02/2010,GE,"18.000,00","5.707,80","12.292,20",0
PETROLMAR TRASPORTI E SERVIZI MARITTIMI SPA,acquisizione di servizi avanzati,22/04/2010,GE,"10.480,08","3.323,23","7.156,85",0
LA PORTUALE SRL,acquisizione di servizi avanzati,18/02/2010,GE,"18.000,00","5.707,80","12.292,20",0
F.I.M. FABBRICA ITALIANA MICANITE DI G. MINGOZZI GIULIA,acquisizione di servizi avanzati,14/12/2009,GE,"5.375,00","1.704,41","3.670,59",0
GRUPPO SIGLA SRL,acquisizione di servizi avanzati,26/03/2010,GE,"26.399,52","8.371,29","18.028,23",0
FOR DI PAOLO TUBINO & C SAS,acquisizione di servizi avanzati,23/12/2009,GE,"6.100,00","1.934,31","4.165,69",0
HYLA SOFT SPA,acquisizione di servizi avanzati,14/12/2009,GE,"12.350,00","3.916,19","8.433,82",0
CANEPA & CAMPI Srl,acquisizione di servizi avanzati,14/12/2009,GE,"17.740,50","5.625,51","12.114,99",0
HOT PRESS SRL,acquisizione di servizi avanzati,23/12/2009,GE,"5.418,00","1.718,05","3.699,95",0
Pegaso Systems Srl (prima Sagefit Liguria S.r.l.),acquisizione di servizi avanzati,22/04/2010,GE,"9.094,27","2.883,79","6.210,48",0
CAP SPA,acquisizione di servizi avanzati,23/12/2009,GE,"34.423,55","10.915,71","23.507,84",0
Opera Srl,acquisizione di servizi avanzati,22/04/2010,GE,"14.795,63","4.691,69","10.103,94",0
Seven Immobiliare Srl,acquisizione di servizi avanzati,22/04/2010,GE,"15.873,90","5.033,61","10.840,29",0
MED ITALIA BIOMEDICA SRL,acquisizione di servizi avanzati,22/04/2010,GE,"25.628,11","8.126,67","17.501,44",0
Verduci Autoricambi di Verduci Fortunato & C. Snc,acquisizione di servizi avanzati,16/12/2009,GE,"7.801,19","2.473,76","5.327,43",0
I.MAR.S. Srl,acquisizione di servizi avanzati,16/12/2009,SV,"5.138,57","1.629,44","3.509,13",0
Vernazza Autogru Srl,acquisizione di servizi avanzati,16/03/2010,"GE, IM, SV","15.259,77","4.838,87","10.420,90",0
STUDIO SAULI SRL,acquisizione di servizi avanzati,16/03/2010,GE,"8.132,73","2.578,89","5.553,84",0
FERPLAST SRL,acquisizione di servizi avanzati,23/12/2009,GE,"18.055,52","5.725,41","12.330,11",0
PORTO PETROLI DI GENOVA SPA,acquisizione di servizi avanzati,22/04/2010,GE,"11.829,90","3.751,26","8.078,64",0
RADIO BABBOLEO SRL,acquisizione di servizi avanzati,16/03/2010,GE,"5.100,00","1.617,21","3.482,79",0
Neido.Com Srl,acquisizione di servizi avanzati,14/12/2009,GE,"19.680,00","6.240,53","13.439,47",0
FERDEGHINI AGOSTINO & C. SAS,acquisizione di servizi avanzati,16/12/2009,SP,"10.225,00","3.242,35","6.982,65",0
LABORATORIO FARMACEUTICO CT SRL,acquisizione di servizi avanzati,14/12/2009,IM,"13.278,11","4.210,49","9.067,62",0
Tonitto 1939 S.p.A.,acquisizione di servizi avanzati,23/12/2009,GE,"24.780,40","7.857,86","16.922,54",0
