Country/Countries,Level,Region,Parsed data file,Program,Initial,"Sub-program
information",Agency (that oversees funding),Explanatory Notes,Currency,Excel/PDF,Priority,"Data
available
for
2007","Data
available
GREECE,national,Thessalia-Central Greece-Epirus,gr_thessalia_central_greece_epirus_parse.csv,"ERDF,ESF,CF",,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,EUR,PDF,Tier 1,,,,,Link no longer works,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,year_joined,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,Attica,gr_attica.csv,"ERDF,ESF,CF",,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,EUR,PDF,Tier 1,,,,,Link no longer works,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,year_joined,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
ITALY,national,all regions,,ERDF,AC,Learning environment,,LINK DOESN'T WORK,,HTML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/switch.do;jsessionid=ac106f3e30d9b26614594fad4097901dc3650de713bb.e3iTa34Kc3iMe38LahqNbheLe6fznA5Pp7ftolbGmkTy
ITALY,national,all regions,it_allregions_esf1.csv,ESF,KL,Governance e azioni di sistema,,,,PDF,Tier 1,,,,,Beneficiari_PONCONVOb1_.pdf,,,,,,Beneficiario,,Operazione,,AdG/OI/AP,,,,,,Importo,,,,,,,,,Anno Fondo,,,,,http://www.lavoro.gov.it/NR/rdonlyres/80E63AD5-7F4A-4DCB-B148-BE53C2D72E6F/0/Beneficiari_PONCONVOb1_.pdf
ITALY,national,all regions,it_allregions_esf2.csv,ESF,KL,Azioni di sistema,,,,PDF,Tier 1,,,,,Beneficiari_PONCROOb2_.pdf,,,,,,Beneficiario,,Operazione,,AdG/OI/AP,,,,,,Importo,,,,,,,,,Anno Fondo,,,,,http://www.lavoro.gov.it/NR/rdonlyres/659957D7-C688-4C44-85E0-9767797FE706/0/Beneficiari_PONCROOb2_.pdf
ITALY,national,Abruzzo,it_abruzzo_erdf.csv,ERDF,,,,,,PDF,Tier 1,,,,,elencoBeneficiari.pdf,,,,,,Nome dei beneficiari,,Nome dell'operazione,,,,,,,,,,Ammontare Assegnato,,,,,,Totale importo pagato alla finde dell operazoine,Anno di assegnazione/Anno di Pagamento Finale,,,,,http://www.regione.abruzzo.it/xEuropa/docs/beneficiariPor/elencoBeneficiari.pdf, ,,,19-Feb-10,,,,http://www.regione.abruzzo.it/xEuropa/index.asp?modello=beneficiariPor&servizio=xList&stileDiv=monoLeft&template=porFesrIntIndex&b=progfesr10
ITALY,national,Abruzzo,it_abruzzo_esf.csv,ESF,KL,,,,,PDF,Tier 1,,yes,yes,,ListaBeneficiariPO.FSE.Abruzzo2007-2013_12-2009,,,,,,Attuatore/Fornitore,,,Beneficiario,Denominazione Operazione,,,,,,,,,Importo Finanziamento Pubblico (Importo impegnato),,,,,Spese effettivamente sostenute,Anno di allocazione risorse,,,,,http://www.regione.abruzzo.it/fil/docs/beneficiariAff/ListaBeneficiariPO.FSE.Abruzzo2007-2013_12-2009.pdf, ,,,15-Dec-09,,,,http://www.regione.abruzzo.it/fil/index.asp?modello=beneficiariAff&servizio=xList&stileDiv=mono&template=default&msv=navigazi6
ITALY,national,Basilicata,,ERDF,AC,,,LINK DOESN'T WORK,,PDF,Tier 1,,,,,DOCUMENT_FILE_100421.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.porbasilicata.it/porbasilicata/files/docs/DOCUMENT_FILE_100421.pdf, ,,,31/12/09,,,,http://www.porbasilicata.it/porbasilicata/site/portal/section.jsp?sec=100072
ITALY,national,Calabria,it_calabria_erdf.csv,ERDF,RM,,,,,HTML,Tier 1,,,,,,,,,,,Ben_Finale,,Titolo,Prov_Comune,,,,Programma,,,,,,,,,,Importo,Pagamenti,,,,,,,,http://217.58.108.212/rsaint/
ITALY,national,Calabria,it_calabria_esf.csv,ESF,RM,,,,,HTML,Tier 1,,,,,,,,,,,Ben_Finale,,Titolo,Prov_Comune,,,,Programma,,,,,,,,,,Importo,Pagamenti,,,,,,,,http://217.58.108.212/rsaint/
ITALY,national,Campania,it_campania_erdf.csv,ERDF,,,,,,PDF,Tier 1,,,,,beneficiari.pdf,,,,,,descrizione_bt,,titolo,,,,obiettivo_operativo,,,,,,,,,,,costo_totale_intervento,,anno_di_assegnazione_dei_fondi,,,,,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf, ,,,3/30/10,,,,http://porfesr.regione.campania.it/opencms/opencms/FESR/Progetti_Beneficiari
ITALY,national,Campania,it_campania_esf.csv,ESF,RM,"Por obiettivo ""Convergenza"" (Conv) ",,,,HTML,Tier 1,,,,,,,,,,,Beneficiario,,Titolo Progetto,Localizzazione,,,Assi,,,,,,,,,,,Importo impegnato,Importo pagato,,Data prev. inizio progetto,,,, , ,http://www.fse.regione.campania.it/index.cfm?m=3, ,,,,,http://www.fse.regione.campania.it/index.cfm?m=3
ITALY,national,Emilia-Romagna,it_emilia_romagna_erdf_attivita-i.1.2.csv,ERDF,,Elenco beneficiari Asse 1 Attività I.1.2,,Progetti di ricerca collaborativa delle PMI,EUR,PDF,Tier 1,,,,,elenco-delle-imprese-beneficiarie-asse-1-attivita-i.1.2.pdf,,,,,,RAGIONE SOCIALE,,,,DENOMINAZIONE,,,,,,CONTRIBUTO CONCESSO Risorse nazionali e comunitarie (FESR),,,,,,,,,ANNO FINANZIAMENTO PAGAMENTO,,,,,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-delle-imprese-beneficiarie-asse-1-attivita-i.1.2, ,,, ,,,,http://fesr.regione.emilia-romagna.it/elenco-beneficiari-1
ITALY,national,Emilia-Romagna,it_emilia_romagna_asse_ii_erdf.csv,ERDF,RM,Asse II - Attività II.1.1 - II.1.2,,"AUTOMATE IF POSS (124 pages) Asse II - Attività II.1.1 - II.1.2 - Elenco beneficiari Emilia-Romagna, Italia ",,PDF,Tier 1,,,,,elelnco-beneficiari-asse-2,,,,,,ragione_sociale,,,,denominazione_dell_operazione,,,,,,,,,,,,,contributo_concesso_risorse_nazionali_ecomunitarie,,anno_finanziamento_pagamento,,,,,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2, ,,,1-Feb-10
ITALY,national,Emilia-Romagna,no data in file,ERDF,AC,Progetti di ricerca collaborativa delle PMI,,NO NUMBERS! Asse II - Attività II.1.1 - II.1.2 - Elenco Componenti Associazioni Temporanee di Imprese beneficiari,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/associazioni-temporanee-asse-2, ,,,1-Feb-10
ITALY,national,Emilia-Romagna,it_emilia_romagna_asse_iii_erdf.csv,ERDF,RM,Elenco beneficiari Asse 3 Attività III.1.2 ,,Elenco beneficiari Asse 3 Attività III.1.2 = Finanziamento di progetti innovativi nel campo delle tecnologie energetico-ambientale,,PDF,Tier 1,,,,,elenco-beneficiari-asse-3,,,,,,ragione_sociale_impresa,,,prov,descrizione_intervento,,,,,,,,contributo_quota_fesr,,,,,contributo_totale_concesso,,anno_finanziamento_o_pagamento,,,,,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3, ,,,1-Feb-10
ITALY,national,Emilia-Romagna,it_emilia_romagna_erdf5.csv,ERDF,KL,"Elenco beneficiari Asse 4, Attività IV.1.1",,"Elenco beneficiari Asse 4, Attività IV.1.1 ""Interventi di valorizzazione del patrimonio ambientale e culturale""",EUR,PDF,Tier 1,,,,,elenco-beneficiari-asse-4.pdf,,,,,,Beneficiario,,,,Denominazione dell'operazione,,,,,,,,,,,,,Contributo concesso - Risorse nazionali e comunitarie (FESR),,Anno finanziamento pagamento,,,,,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-4, ,,,3-Nov-09
ITALY,national,Emilia-Romagna,,ESF,RM,,,"Not easy to automate, will come back to it -Rob  AUTOMATE IF POSS (136 pages)",,PDF,Tier 1,,,,,beneficiari_2008por.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por, ,,,31-Dec-08,,,"DIREZIONE GENERALE CULTURA, FORMAZIONE E LAVORO
V. A.Moro 38
Telefono: 051 5273386
Fax: 051 5273954
Email: formaz@regione.emilia-romagna.it
Responsabile:Cristina Balboni"
ITALY,national,Friuli-Venezia Giulia,it_friuli_venezia_giulia_erdf.csv,ERDF,KL,,,"What does ""Contributo Liquidato"" mean? (both ""totale"" & for FESR)",EUR,PDF,Tier 1,,,,,,,,,,,Beneficiario,,Titolo Intervento,Provincia,,,,,,,,,Contributo Ammesso (FESR),,,,,Contributo Ammesso (Totale),Contributo Liquidato (Totale),Anno Finanziamento,,,,,http://www.regione.fvg.it/rafvg/export/sites/default/RAFVG/AT11/ARG20/allegati/ELENCO_BENEFICIARI_22-01-2010.pdf, ,,,21-Jan-10,,,,http://www.regione.fvg.it/rafvg/rapportieuropeinternazionali/areaArgomento.act?dir=/rafvg/cms/RAFVG/AT11/ARG20/
ITALY,national,Friuli-Venezia Giulia,it_friuli_venezia_giulia_esf.csv,ESF ,RM,,,AUTOMATE IF POSS (543 pages),,PDF,Tier 1,yes,yes,yes,,,,,,asse,,beneficiario,,titolo_operazione,,,,,,,,importo_impegnato,,,,,,,,importo_pagato,anno,,,,,http://www.regione.fvg.it/rafvg/export/sites/default/RAFVG/AT2/ARG13/allegati/LISTA_DEI_BENEFICIARI.pdf, ,,,31-Dec-09,,,CALL
ITALY,national,Lazio,,ERDF,AC,,,LINK DOESN'T WORK,,PDF,Tier 1,,,,,elenco_beneficiari.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://por-opencms.xdams.net/PORFESR/galleria_allegati/elenco_beneficiari.pdf, ,,,,,,,http://www.porfesr.lazio.it/elencoBeneficiari.html
ITALY,national,Lazio,it_lazio_esf.csv,ESF,KL,,,,,PDF,Tier 1,not broken down,not broken down,not broken down,no,5062009125528.pdf,,,,,,ENTE,,,,CORSO,,,,,,Sovvenzione ,,,,,,,,,,,,,,http://www.sirio.regione.lazio.it/default.asp?doc_id=4530, ,,,n/a,,,,http://www.sirio.regione.lazio.it/default.asp?id=778  
ITALY,national,Liguria,,ERDF,,,,Several tabs! Broken down by individual projects. Need to clarify whether these are all the projects under EFRE,,Excel,Tier 1,,,,,beneficiari_Por_Fesr_07_13.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.regione.liguria.it/MenuSezione.asp?page=europa/3_bandi/por/beneficiari_Por_Fesr_07_13.xls, ,,30-Jun-06,,,Tel: +39 0165 273111 - need to call both EFRE and ESF,http://www.regione.liguria.it/MenuSezione.asp?Parametri=2_8_32_2477_$2_8_32_2477_$Fondi_europei$2_8_32_2477_-1$comunicazione.htm$
ITALY,national,Liguria,,ESF,,,,AUTOMATE IF POSS - 97 PAGES,,PDF,Tier 1,yes,yes,no,no,ListaBenCRO2009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.regione.liguria.it/MenuSezione.asp?page=http://sirio.regione.liguria.it/ifl/npc/ob2/ListaBenCRO2009.pdf, ,,,31-Dec-09,,,,http://www.regione.liguria.it/MenuSezione.asp?Parametri=10_20_35_190$10_20_35_1905_4970_$Fondo_sociale_europeo_%28FSE%29$10_20_35_1905_-1$infocom%202007-2013.htm$
ITALY,national,Lombardia,it_lombardia_erdf.csv,ERDF,KL,,,This appears to be a summary sheet…,,PDF,Tier 1,, ,,,LISTA BENEFICIARI AL 25_12_09.pdf,,,,,,BENEFICIARIO,,TITOLO PROGETTO,,,,,ASSE,,,AMMONTARE ASSEGNATO,,,,,,,,TOTALE IMPORTO PAGATO ALLA FINE DELL OPERAZIONE,ANNO DI ASSEGNAZIONE ANNO DI PAGAMENTO FINALE,,,,,http://www.regione.lombardia.it/shared/ccurl/924/68/LISTA%20BENEFICIARI%20AL%2025_12_09.pdf, ,,,25-Dec-10,,,,"http://www.regione.lombardia.it/wps/portal/_s.155/606/.cmd/ad/.ar/sa.link/.c/502/.ce/628/.p/408?PC_408_linkQuery=pagename=PortaleLombardia/GenDoc/PL_GenDoc_light_procom,c=GenDoc,cid=1233059758705#628"
ITALY,national,Lombardia,,ESF,AC,,,ASK,,PDF,Tier 1,no,no,yes,no,Elenco Beneficiari 2009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf, ,,,n/a,,,,http://www.regione.lombardia.it/cs/Satellite?c=Page&childpagename=ProgrammazioneComunitaria%2FPROCOMLayout&cid=1213331157032&p=1213331157032&pagename=PROCOMWrapper
ITALY,national,Lombardia,it_lombardia_esf2.csv,ESF,KL,,,,,PDF,Tier 1,,yes,,,ELENCO BENEFICIARI 2008.pdf,,,,,,RAGIONE SOCIALE  ,,TITOLO AZIONE ,,,,,,,,,,,Quota pubblica assegnata (euro) ,,,,,,,,,,,http://www.regione.lombardia.it/shared/ccurl/633/922/ELENCO%20BENEFICIARI%202008.pdf, ,,,n/a,,,,http://www.regione.lombardia.it/cs/Satellite?c=Page&childpagename=ProgrammazioneComunitaria%2FPROCOMLayout&cid=1213331157032&p=1213331157032&pagename=PROCOMWrapper
ITALY,national,Marche,it_marche_erdf.csv,ERDF,RM,,,"""POR FESR CRO MARCHE 2007-2013 - elenco beneficiari, vari interventi"" - this is the whole list for EFRE; Including ""Hugo Boss""; Note EXcel spreadsheet provided by Marche Press office has less detail",,Excel,Tier 1,,,yes,yes,Elenco_beneficiari_22012010,,,,,,beneficiaries,,,,,,priority axes,,,,,,EU funding,,,,,total co-financing,,ALLOCATION YEAR / YEAR OF FINAL PAYMENT,,,PAGAMENTO FINALE,,http://www.europa.marche.it/Portals/0/Documenti/Elenco_beneficiari_22012010.pdf,Attached to email to Rob,,,25-Jan-10,,,"CALL AUTORITA' DI GESTIONE FESR
REGIONE MARCHE
P.F. Politiche Comunitarie
Palazzo Li Madou (Ex Mediocredito)
Via Gentile da Fabriano, 2/4
60125 Ancona

tel: 071 806 4357
fax: 071 806 4435
email: funzione.politichecomunitarie@regione.marche.it                  Lucio Pesetti
60125 ANCONA
Tel. 0039.071.806.44.12 - fax 0039.071.806.44.35",http://www.europa.marche.it/Home/Por20072013/Listedeibeneficiari/tabid/141/Default.aspx
ITALY,national,Marche,it_marche_esf.csv,ESF,RM,,,,EUR,PDF,Tier 1,yes,yes,yes,no,Lista_beneficiari_31_12_2009.pdf,,,,,,nome_beneficiari,,denominazione_operazione,,tipo_operazione,,,,,,importo_impegnato,,,,,,,,importo_pagato,anno,,,,,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf, ,,,31-Dec-09
ITALY,national,Molise,,ERDF,,,,ASK,,PDF,Tier 1,,,,,Elenco Beneficiari aggiornato a Dicembre 2009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://europa.molisedati.it/web/ue.nsf/0/109F0EB789ECD370C1257404006458AF/$file/Elenco%20Beneficiari%20aggiornato%20a%20Dicembre%202009.pdf, ,,,Dec-09,,,,http://europa.molisedati.it/web/ue.nsf/(InfoInternet)/4EAAB71FE09CD48FC12574FA003FD353?OpenDocument
ITALY,national,Molise,,ESF,,,,No data in document,,Word,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,http://europa.molisedati.it/web/ue.nsf/0/109F0EB789ECD370C1257404006458AF/$file/Scheda%20Tipo%20-%20Beneficiari.doc,NO data,,,"Region of Molise
General Directorate I of the Programming
Corso Bucci, 54/A
I-86100 Campobasso
Director
Antonio, Di Ludovico
Tel.: + 39 (0874) 424 700
Fax.: + 39 (0874) 424 747
E-mail.: AdGfesr@mail.regione.molise.it
",,Call
ITALY,national,Piemonte,it_piedmont_erdf.csv,ERDF,,,,,,Excel,Tier 1,yes,yes,yes,yes,elenco1.xls,,,SEDE INTERVENTO,ASSE ATTIVITA,,BENEFICIARIO,,,,,,OGGETTO AGEVOLAZIONE,,,,,,,,,,, AGEVOLAZIONE CONCESSA ,IMPORTO EFFET. PAGATO ,ANNO ASSEGNAZIONE,,,,,,http://www.regione.piemonte.it/europa/dwd/elenco1.xls, ,,15-Feb-10,,,,http://www.regione.piemonte.it/europa/beneficiari_fesr.htm
ITALY,national,Piemonte,it_piedmont_esf.csv,ESF,,,,,,Excel,Tier 1,,,,,beneficiarifse.xls,,,PROVINCIA,,,NOME BENEFICIARIO,,,,,,DENOMINAZIONE OPERAZIONE,,,,,,AMMONTARE ASSEGNATO,,,,, ,TOTALE PAGATO ALLA FINE OPERAZIONE,ANNO ALLOCAZIONE,,,,,,http://www.regione.piemonte.it/europa/dwd/beneficiarifse.xls, ,,5-Mar-10
ITALY,national,Basilicata,it_basilicata_esf.csv,ESF ,KL,,,,,PDF,Tier 1,,,,,default.cfm,,,,,,BENEFICIARIO,,,,AVVISO,,,ASSE,,,,,,IMP FINANZIAMENTO PUBBLICO,,,,,IMPORTO PAGATO,ANNO FINANZIAMENTO,,,,,http://www.regione.basilicata.it/dipformazione/default.cfm?fuseaction=linkdoc&doc=2688&link=2868, 
ITALY,national,Puglia,,ESF,,,,"AUTOMATE IF POSS - 127 PAGES Por obiettivo ""Convergenza"" (Conv) Excel needs cleaning up",,PDF,Tier 1,,,,,ELENCO_BF_FSE_DIC_2009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://formazione.regione.puglia.it/index.php?page=documenti&id=122&fs_id=347&opz=downfile, ,,,24-02-2010 
ITALY,national,Sicilia,,ESF,,,,"Por obiettivo ""Convergenza"" (Conv)",,,Tier 1,,,,,BeneficiariFSE_agg20091231.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf,,,,31-Dec-09
ITALY,national,Sicilia,it_sicily_erdf.csv,ERDF,KL,,,"Check ""Costo del Progetto (Quota a valere sul P.O.)"" field",,PDF,Tier 1,,,,,Elenco Beneficiari al 31.12.2009.pdf,,,,,,Nome Beneficiario,,Denominazione dell'operazione,,,,Asse,,,,,,Quota FESR,,,,,Costo Totale,,Anno del Finanziam ento,,,,,http://www.euroinfosicilia.it/Portals/0/elenco_beneficiari/Elenco%20Beneficiari%20al%2031.12.2009.pdf
ITALY,national,Provincia Autonoma Bolzano/Bozen,it_provincia_autonoma_bolzano_bozen_erdf.csv,ERDF,KL,,,PDF,,PDF,Tier 1,,,,,lista_beneficiari_12.01.2010.pdf,,,,,,NOME DEL BENEFICIARIO,,DESCRIZIONE DEL PROGETTO,,importo effettivamente pagato a chiusura del progetto,,Asse e linea di intervento,,,,contributo pubblico concesso,,,,,,,,,Anno di approvazione,,,,,http://www.provincia.bz.it/europa/download/lista_beneficiari_12.01.2010.pdf, ,,,1-Jan-10,,,,http://www.provincia.bz.it/europa/it/sviluppo-finanziamenti/info-pubblicita.asp#anc643
ITALY,national,Provincia Autonoma Bolzano/Bozen,,ESF,,,,FILE IS SAME AS ABOVE 2009 list,,PDF,Tier 1,,,,,Elenco_beneficiari_FSE_20091806.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.provincia.bz.it/europa/download/lista_beneficiari_12.01.2010.pdf, 
ITALY,national,Provincia Autonoma Bolzano/Bozen,it_provincia_autonoma_bolzano_bozen_esf2.csv,ESF,KL,,,2007 list,,PDF,Tier 1,yes,,,,Elenco_beneficiari_FSE_Bolzano__2007.pdf,,,,,,"Beneficiario – Begünstigter
",,Operazione - Vorhaben ,,,,,,,,,,,,,,,Impegni Zweckbindungen in €,Trasferimenti Überweisungen in € al / bis 31.12.2007,Anno Jahr,,,,,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_Bolzano__2007.pdf, ,,,18-Jun-09,none,," Manuela Mohr Mück
Bereich Finanz-Datenverwaltung ESF 39.0.1.4 Area gestione finanziaria e dati FSE
Tel +39 0471 41 31 34",http://www.provinz.bz.it/europa/esf/
ITALY,national,Provincia Autonoma Trento,it_provincia_autonoma_trento_erdf.csv,ERDF,KL,,,ELENCO BENEFICIARI PROGRAMMA OPERATIVO FESR 2007-2013,,Excel,Tier 1,,,,,FESR_Elenco_beneficiari_AGGIORN_dic09.1262596304.xls,,,,,,Beneficiario,,Denominazione intervento,,,,,Asse,,,Importo impegnato,,,,,,,,Importo pagato,Anno,,,,,http://www.puntoeuropa.provincia.tn.it/binary/pat_puntoeuropa/programma_2007_2013/FESR_Elenco_beneficiari_AGGIORN_dic09.1262596304.xls, ,,,,,,,http://www.puntoeuropa.provincia.tn.it/programmazione_2007_2013/FESR_Fondo_Europeo_Sviluppo_Regionale/programma_FESR_2007_2013/-BENEFICIARI_PO/
ITALY,national,Provincia Autonoma Trento,it_provincia_autonoma_trento_esf.csv,ESF,KL,,, ,,HTML,Tier 1,,,,,,,,,,,Beneficiario,,Operazione,,,,,Asse,,,,,,,,,,Importo impegnato,Importo pagato,Anno,,,,,http://www.fse.provincia.tn.it/Trento_nuova_grafica/Listabeneficiari/index.php, ,,,31-Dec-08
