Country,Level,Region,Parsed data file,Program,Initial,Operational Program,OP Name,Co-financing Rate,"Sub-program
information",Explanatory Notes,"Percent
Funded
by EU
Funds (minimum)","Percent
Funded
GREECE,national,Macedonia - Thrace,gr_macedonia_thrace.csv,"ERDF, ESF,CF",,Multiple - double check,,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,EUR,,,,PDF,Tier 1,,,,,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,,,,year_joined,,,,cat=attachments__type=Documents__fileid=343.pdf,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,Western Greece - Peloponnesus - Ionian Islands,gr_western_greece.csv,"ERDF, ESF,CF",,Multiple - double check,,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,EUR,,,,PDF,Tier 1,,,,,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,,,,year_joined,,,,cat=attachments__type=Documents__fileid=361.pdf,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=361,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,Crete and the Aegean Islands,gr_crete_aegean_islands.csv,"ERDF, ESF,CF",,Multiple - double check,,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,EUR,,,,PDF,Tier 1,,,,,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,,,,year_joined,,,,Link no longer works,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=337,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,Thessalia-Central Greece-Epirus,gr_thessalia_central_greece_epirus_parse.csv,"ERDF, ESF,CF",,Multiple - double check,,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,EUR,,,,PDF,Tier 1,,,,,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,,,,year_joined,,,,cat=attachments__type=Documents__fileid=362.pdf,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,Attica,gr_attica.csv,"ERDF, ESF,CF",,Multiple - double check,,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,EUR,,,,PDF,Tier 1,,,,,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,,,,year_joined,,,,cat=attachments__type=Documents__fileid=325.pdf,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
ITALY,national,Puglia,it_puglia_learning_erdf.csv,ERDF,RM,Operational Programme 'Learning Environments',"Pon Istruzione FESR - Ambienti per l'apprendimento, All Priorities",50.00%,Learning environment,Scraped from HTML form - Projects are financed by the Italian state (50%) by European structural funds (50%),0.5,,"yes, FP",EUR,,,,HTML,Tier 1,,,,,,,provincia,obiettivo,tipo_istituto,nome,,,citta,azione,,,,,,,,,,,,,ammontare_assegnato,,,,totale_importo_pagato,,data,,,,,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do
ITALY,national,Puglia,it_puglia_skills_esf.csv,ESF,RM,National Operational Programme: Competencies for Development,"Competenze per lo sviluppo, All Priorities",50.00%,Skills Development,Scraped from HTML form - Projects are financed by the Italian state (50%) by European structural funds (50%),0.5,,"yes, FP",EUR,,,,HTML,Tier 1,,,,,,,provincia,obiettivo,tipo_istituto,nome,,,citta,azione,,,,,,,,,,,,,ammontare_assegnato,,,,totale_importo_pagato,,data,,,,,page=documenti__id=122__fs_id=347__opz=downfile.pdf,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do
ITALY,national,Calabria,it_calabria_learning_erdf.csv,ERDF,RM,Operational Programme 'Learning Environments',"Pon Istruzione FESR - Ambienti per l'apprendimento, All Priorities",50.00%,Learning environment,Scraped from HTML form - Projects are financed by the Italian state (50%) by European structural funds (50%),0.5,,"yes, FP",EUR,,,,HTML,Tier 1,,,,,,,provincia,obiettivo,tipo_istituto,nome,,,citta,azione,,,,,,,,,,,,,ammontare_assegnato,,,,totale_importo_pagato,,data,,,,,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do
ITALY,"national
",Calabria,it_calabria_skills_esf.csv,ESF,RM,National Operational Programme: Competencies for Development,"Competenze per lo sviluppo, All Priorities",50.00%,Skills Development,Scraped from HTML form - Projects are financed by the Italian state (50%) by European structural funds (50%),0.5,,"yes, FP",EUR,,,,HTML,Tier 1,,,,,,,provincia,obiettivo,tipo_istituto,nome,,,citta,azione,,,,,,,,,,,,,ammontare_assegnato,,,,totale_importo_pagato,,data,,,,,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do
ITALY,national,Campania,it_campania_learning_erdf.csv,ERDF,RM,Operational Programme 'Learning Environments',"Pon Istruzione FESR - Ambienti per l'apprendimento, All Priorities",50.00%,Learning environment,Scraped from HTML form - Projects are financed by the Italian state (50%) by European structural funds (50%),0.5,,"yes, FP",EUR,,,,HTML,Tier 1,,,,,,,provincia,obiettivo,tipo_istituto,nome,,,citta,azione,,,,,,,,,,,,,ammontare_assegnato,,,,totale_importo_pagato,,data,,,,,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do
ITALY,national,Campania,it_campania_skills_esf.csv,ESF,RM,National Operational Programme: Competencies for Development,"Competenze per lo sviluppo, All Priorities",50.00%,Skills Development,Scraped from HTML form - Projects are financed by the Italian state (50%) by European structural funds (50%),0.5,,"yes, FP",EUR,,,,HTML,Tier 1,,,,,,,provincia,obiettivo,tipo_istituto,nome,,,citta,azione,,,,,,,,,,,,,ammontare_assegnato,,,,totale_importo_pagato,,data,,,,,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do
ITALY,national,Sicilia,it_sicilia_learning_erdf.csv,ERDF,RM,Operational Programme 'Learning Environments',"Pon Istruzione FESR - Ambienti per l'apprendimento, All Priorities",50.00%,Learning environment,Scraped from HTML form - Projects are financed by the Italian state (50%) by European structural funds (50%),0.5,,"yes, FP",EUR,,,,HTML,Tier 1,,,,,,,provincia,obiettivo,tipo_istituto,nome,,,citta,azione,,,,,,,,,,,,,ammontare_assegnato,,,,totale_importo_pagato,,data,,,,,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do
ITALY,national,Sicilia,it_sicilia_skills_esf.csv,ESF,RM,National Operational Programme: Competencies for Development,"Competenze per lo sviluppo, All Priorities",50.00%,Skills Development,Scraped from HTML form - Projects are financed by the Italian state (50%) by European structural funds (50%),0.5,,"yes, FP",EUR,,,,HTML,Tier 1,,,,,,,provincia,obiettivo,tipo_istituto,nome,,,citta,azione,,,,,,,,,,,,,ammontare_assegnato,,,,totale_importo_pagato,,data,,,,,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do,,,,http://oc4jese2.pubblica.istruzione.it/fsstampaaut/autorizzazionePiani/ricercaStampa/start.do
ITALY,national,all regions,it_reti_mobilita_erdf.csv,ERDF,,Operational Programme 'Networks and Mobility',,,,,,,"yes, FP",,,,,PDF,Tier 1,,,,,,,,,,BENEFICIARIO,,,REGIONE,PROGETTO,,,,,,,,,,,,,TOTALE IMPEGNATO,,,,TOTALE EROGATO,,,ANNO DI INIZIO ,ANNO DI CONCLUSIONE,,,Pon_Reti_e_mobilit___Elenco_dei_benefic_i_del_30_04_2010,http://www.mit.gov.it/mit/mop_all.php?p_id=08187
ITALY,national,all regions,it_governance_erdf.csv,ERDF,,Operational Programme 'Governance and Technical Assistance',,,,,,,"yes, FP",,,,,PDF,Tier 1,,,,,,,,,,NOME DEI BENEFICIARI,,NOME DELL'OPERAZIONE,,,,,,,,,,,,,,,AMMONTARE ASSEGNATO,,,,TOTALE IMPORTO PAGATO ALLA FINE DELL'OPERAZIONE,ANNO DI ASSEGNAZIONE/ANNO DI PAGAMENTO FINALE,,,,,,Elenco_Beneficiari_PON_Governance_e_Assistenza_Tecnica_2007_2013_FESR,http://www.dps.mef.gov.it/documentazione/Elenco_Beneficiari_PON_Governance_e_Assistenza_Tecnica_2007_2013_FESR.pdf
ITALY,national,all regions,it_ric_comp_erdf.csv,ERDF,,Operational Programme 'Research and Competitiveness',,,,,,,"yes, FP",,,,,PDF,Tier 1,,,,,,,,,,Beneficiario Finale,,Denominazione Progetto,Regione,,,Asse,Codice Obiettivo Operativo,Codice Progetto,,,,,,,,,Totale impegnato,,,,Totale erogato (pagamenti monitorati al 31/12/2009),,,,,,,ponrc-1.lista_benef14052010.xls,,http://www.ponrec.it/comunicazione/elenco-dei-beneficiari.aspx
ITALY,national,all regions,it_security_erdf.csv,ERDF,,Operational programme 'Security for development',,,,,,,"yes, FP",,,,,HTML,Tier 1,,,,,,,,,,ENTE BENEFICIARIO,,TITOLO,REGIONI,,,ASSE,OBIETTIVO OPERATIVI,,,,,,,,,,FINANZIAMENTO,,,,,,,DATA DI APPROVAZIONE,DATA DI CONCLUSIONE,,,,,,http://www.sicurezzasud.it/programma
ITALY,national,all regions,it_allregions_esf1.csv,ESF,KL,National Operational Programme: Governance and System Actions,"Pon Governance e Azioni di Sistema, All Priorities",40.00%,Governance e azioni di sistema,,,,"yes, FP",,,,,PDF,Tier 1,,,,,,,,,,Beneficiario,,Operazione,,AdG/OI/AP,,,,,,,,,,,,,Importo,,,,,Anno Fondo,,,,,,Beneficiari_PONCONVOb1_.pdf,http://www.lavoro.gov.it/NR/rdonlyres/80E63AD5-7F4A-4DCB-B148-BE53C2D72E6F/0/Beneficiari_PONCONVOb1_.pdf
ITALY,national,all regions,it_allregions_esf2.csv,ESF,KL,National Operational Programme: System Actions,"Pon Azioni di sistema, All Priorities",39.83%,Azioni di sistema,,,,"yes, FP",,,,,PDF,Tier 1,,,,,,,,,,Beneficiario,,Operazione,,AdG/OI/AP,,,,,,,,,,,,,Importo,,,,,Anno Fondo,,,,,,Beneficiari_PONCROOb2_.pdf,http://www.lavoro.gov.it/NR/rdonlyres/659957D7-C688-4C44-85E0-9767797FE706/0/Beneficiari_PONCROOb2_.pdf
ITALY,national,Abruzzo,it_abruzzo_erdf.csv,ERDF,,Operational Programme 'Abruzzo',"Por Abruzzo FESR, All Priorities",40.47%,,,0.4947,0.4947,"yes, FP",,2/19/2010,,,PDF,Tier 1,,,,,,,,,,Nome dei beneficiari,,Nome dell'operazione,,,,,,,,,,,,,,,Ammontare Assegnato,,,,Totale importo pagato alla fine dell operazione,Anno di assegnazione/Anno di Pagamento Finale,,,,,,elencoBeneficiari.pdf,http://www.regione.abruzzo.it/xEuropa/docs/beneficiariPor/elencoBeneficiari.pdf,,,,,,http://www.regione.abruzzo.it/xEuropa/index.asp?modello=beneficiariPor&servizio=xList&stileDiv=monoLeft&template=porFesrIntIndex&b=progfesr10
ITALY,national,Abruzzo,it_abruzzo_esf.csv,ESF,KL,"ESF Regional Operational Programme Abruzzi
",,,,,,,"yes, FP",,12/15/2009,,,PDF,Tier 1,,yes,yes,,,,,,,Attuatore/Fornitore,,,Beneficiario,Denominazione Operazione,,,,,,,,,,,,,Importo Finanziamento Pubblico (Importo impegnato),,,,Spese effettivamente sostenute,Anno di allocazione risorse,,,,,,ListaBeneficiariPO.FSE.Abruzzo2007-2013_12-2009,http://www.regione.abruzzo.it/fil/docs/beneficiariAff/ListaBeneficiariPO.FSE.Abruzzo2007-2013_12-2009.pdf,,,,,,http://www.regione.abruzzo.it/fil/index.asp?modello=beneficiariAff&servizio=xList&stileDiv=mono&template=default&msv=navigazi6
ITALY,national,Basilicata,it_basilicata_erdf.csv,ERDF,RM,"Operational Programme 'Basilicata'
",,,,,,,"yes, FP",EUR,31/12/09,,,PDF,Tier 1,,,,,,,,,,nome_dei_beneficiari,,titolo_progetto,,,,asse,,,,,,,,,,,ammontare_assegnato,,,,totale_importo_pagato_alla_fine_dell_operazione,,,anno_di_assegnazione_finanziamento,anno_di_pagamento_finale,,,DOCUMENT_FILE_100421.pdf,http://www.porbasilicata.it/por/files/docs/DOCUMENT_FILE_100421.pdf,,,,,,http://www.porbasilicata.it/por/site/portal/section.jsp?sec=100067
ITALY,national,Calabria,it_calabria_erdf.csv,ERDF,RM,"Operational Programme 'Calabria'
",,,Programma Operativo FESR  2007/2013,,,,"yes, FP",,,,,HTML,Tier 1,,,,,,,,,,Ben_Finale,,Titolo,Prov_Comune,,,,Programma,,,,,,,,,,Importo,,,,Pagamenti,,,,,,,Banca dati Progetti2,,,http://217.58.108.212/rsaint/
ITALY,national,Calabria,it_calabria_esf.csv,ESF,RM,ESF Regional Operational Programme 2007 - 2013 Calabria,"Por Calabria FSE 2007 - 2013, All Priorities",50.00%,,,,,"yes, FP",,,,,HTML,Tier 1,,,,,,,,,,Ben_Finale,,Titolo,Prov_Comune,,,,Programma,,,,,,,,,,Importo,,,,Pagamenti,,,,,,,Banca dati Progetti,,,http://217.58.108.212/rsaint/
ITALY,national,Campania,it_campania_erdf.csv,ERDF,,"Operational Programme 'Campania'
",,,,,,,"yes, FP",,3/30/2010,,,PDF,Tier 1,,,,,,,,,,Nome beneficiario,,Titolo Progetto,,,,Obiettivo Operativo,,,,,,,,,,,Costo Totale Intervento,,,,Totale importo pagato alla fine del progetto,,,,,,,beneficiari.pdf,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf,,,,,,http://porfesr.regione.campania.it/opencms/opencms/FESR/Progetti_Beneficiari
ITALY,national,Campania,it_campania_esf.csv,ESF,,ESF Regional Operational Programme Campania,"PO Campania FSE, All Priorities",50.00%,"Por obiettivo ""Convergenza"" (Conv) ",,,,"yes, FP",,,,,HTML,Tier 1,,,,,,,,,,Beneficiario,,Titolo Progetto,Localizzazione,,,Assi,,,,,,,,,,,Importo impegnato,,,,Importo totale erogato,,,Data prev. inizio progetto,Data prev. fine progetto,,,Por Fse 2007-2013 - Regione Campania - Elenco Beneficiari,,,http://www.fse.regione.campania.it/index.cfm?m=3,,,,http://www.fse.regione.campania.it/index.cfm?m=3
ITALY,national,Emilia-Romagna,it_emilia_romagna_erdf_attivita-i.1.2.csv,ERDF,,"Operational Programme 'Emilia-Romagna region'
",,,Elenco beneficiari Asse 1 Attività I.1.2,Progetti di ricerca collaborativa delle PMI,,,"yes, FP",EUR,,,,PDF,Tier 1,,,,,,,,,,RAGIONE SOCIALE,,,,DENOMINAZIONE,,,,,,,,,,,,,CONTRIBUTO CONCESSO Risorse nazionali e comunitarie (FESR),,,,,ANNO FINANZIAMENTO PAGAMENTO,,,,,,elenco-delle-imprese-beneficiarie-asse-1-attivita-i.1.2.pdf,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-delle-imprese-beneficiarie-asse-1-attivita-i.1.2,,,,,,http://fesr.regione.emilia-romagna.it/elenco-beneficiari-1
ITALY,national,Emilia-Romagna,it_emilia_romagna_asse_ii_erdf.csv,ERDF,RM,"Operational Programme 'Emilia-Romagna region'
",,,Asse II - Attività II.1.1 - II.1.2,"AUTOMATE IF POSS (124 pages) Asse II - Attività II.1.1 - II.1.2 - Elenco beneficiari Emilia-Romagna, Italia ",,,"yes, FP",,2/1/2010,,,PDF,Tier 1,,,,,,,,,,ragione_sociale,,,,denominazione_dell_operazione,,,,,,,,,,,,,contributo_concesso_risorse_nazionali_ecomunitarie,,,,,anno_finanziamento_pagamento,,,,,,elelnco-beneficiari-asse-2.pdf,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ITALY,national,Emilia-Romagna,,ERDF,AC,"Operational Programme 'Emilia-Romagna region'
",,,Progetti di ricerca collaborativa delle PMI,NO NUMBERS! Asse II - Attività II.1.1 - II.1.2 - Elenco Componenti Associazioni Temporanee di Imprese beneficiari,,,"yes, FP",,2/1/2010,,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,associazioni-temporanee-asse-2.pdf,http://fesr.regione.emilia-romagna.it/finanziamenti/bandi
ITALY,national,Emilia-Romagna,it_emilia_romagna_asse_iii_erdf.csv,ERDF,RM,"Operational Programme 'Emilia-Romagna region'
",,,Elenco beneficiari Asse 3 Attività III.1.2 ,Elenco beneficiari Asse 3 Attività III.1.2 = Finanziamento di progetti innovativi nel campo delle tecnologie energetico-ambientale,,,"yes, FP",,2/1/2010,,,PDF,Tier 1,,,,,,,,,,ragione_sociale_impresa,,,prov,descrizione_intervento,,,,,,,,contributo_quota_fesr,,,,,contributo_totale_concesso,,,,,anno_finanziamento_o_pagamento,,,,,,elenco-beneficiari-asse-3.pdf,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3
ITALY,national,Emilia-Romagna,it_emilia_romagna_erdf5.csv,ERDF,KL,"Operational Programme 'Emilia-Romagna region'
",,,"Elenco beneficiari Asse 4, Attività IV.1.1","Elenco beneficiari Asse 4, Attività IV.1.1 ""Interventi di valorizzazione del patrimonio ambientale e culturale""",,,"yes, FP",EUR,11/3/2009,,,PDF,Tier 1,,,,,,,,,,Beneficiario,,,,Denominazione dell'operazione,,,,,,,,,,,,,Contributo concesso - Risorse nazionali e comunitarie (FESR),,,,,Anno finanziamento pagamento,,,,,,elenco-beneficiari-asse-4.pdf,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-4
ITALY,national,Emilia-Romagna,it_emilia_romagna_esf.csv,ESF,RM,"ESF Regional Operational Programme Emilia Romagna
",,,,"Not easy to automate, will come back to it -Rob  AUTOMATE IF POSS (136 pages)",,,"yes, FP",EUR,12/31/2008,,,PDF,Tier 1,,,,,,,,,,ragione_sociale,,titolo_operazione,,azione,,,,,,,,,,,,,importo_approvato,,,,,,,,,,,beneficiari_2008por.pdf,http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por,,,,,"DIREZIONE GENERALE CULTURA, FORMAZIONE E LAVORO
V. A.Moro 38
Telefono: 051 5273386
Fax: 051 5273954
Email: formaz@regione.emilia-romagna.it
Responsabile:Cristina Balboni"
ITALY,national,Friuli-Venezia Giulia,it_friuli_venezia_giulia_erdf.csv,ERDF,KL,"Operational Programme 'Friuli Venezia Giulia'
",,,,"What does ""Contributo Liquidato"" mean? (both ""totale"" & for FESR)",,,"yes, FP",EUR,1/21/2010,,,PDF,Tier 1,,,,,,,,,,Beneficiario,,Titolo Intervento,Provincia,,,,,,,,,Contributo Ammesso (FESR),,,,,Contributo Ammesso (Totale),,,,Contributo Liquidato (Totale),Anno Finanziamento,,,,,,it_fiuli_venezia_giulia_erdf,http://www.regione.fvg.it/rafvg/export/sites/default/RAFVG/AT11/ARG20/allegati/ELENCO_BENEFICIARI_22-01-2010.pdf,,,,,,http://www.regione.fvg.it/rafvg/rapportieuropeinternazionali/areaArgomento.act?dir=/rafvg/cms/RAFVG/AT11/ARG20/
ITALY,national,Friuli-Venezia Giulia,it_friuli_venezia_giulia_esf.csv,ESF ,RM,"ESF Regional Operational Programme Friuli Venezia Giulia
",,,,AUTOMATE IF POSS (543 pages),,,"yes, FP",,12/31/2009,,,PDF,Tier 1,yes,yes,yes,,,,,asse,,beneficiario,,titolo_operazione,,,,,,,,,,,,,,,importo_impegnato,,,,importo_pagato,anno,,,,,,friuli_esf,http://www.regione.fvg.it/rafvg/export/sites/default/RAFVG/AT2/ARG13/allegati/LISTA_DEI_BENEFICIARI.pdf,,,,,CALL
ITALY,national,Lazio,it_lazio_erdf.csv,ERDF,RM,"Operational Programme 'Latium'
",,,,,,,"yes, FP",EUR,,,,PDF,Tier 1,,,,,,,,asse,,denominazione_beneficiario,,titolo_del_progetto,,,,,,,attivita,,,,,,,,contributo_pubblico_assegnato,,,,,anno_assegnaz,,,,,,elenco_beneficiari.pdf,http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf,,,,,,http://www.porfesr.lazio.it/elencoBeneficiari.html
ITALY,national,Lazio,it_lazio_esf.csv,ESF,KL,"ESF Regional Operational Programme Lazio
",,,,,0.5,0.5,"yes, FP",,n/a,,,PDF,Tier 1,not broken down,not broken down,not broken down,no,,,,,,ENTE,,,,CORSO,,,,,,,,,,,,,Sovvenzione,,,,,,,,,,,05062009125528.pdf,http://www.sirio.regione.lazio.it/default.asp?doc_id=4530,,,,,,http://www.sirio.regione.lazio.it/default.asp?id=778  
