"Project Title and PPIMS case ID","Priority and Theme","Strategic Framework","Beneficiary or Sponsor","Estimated Start Date and project duration","WEFO Project Development Officer ","Project Aim ","National Funding","ERDF Grant"
"Knowledge Exploitation Capacity Development (80015)","Priority 1 
Theme 1 ","Innovation, 
R&D and 
Technology   ","Department for 
the Economy 
&Transport � 
Welsh 
Assembly 
Government ","Early 2008  
(6 years) ","Jackie Doran
01685 
729376 ","The aim of this project 
is to provide support 
for academic 
institutions to 
strengthen their 
capability to exploit 
their knowledge in 
partnership with 
companies in the 
Convergence area.  
Building on work 
carried out in the 
Objective 1 CETIC 
and KEF projects this 
will build capacity in 
HEI and FEI in order 
to enhance their 
ability to work with an 
increasing number of 
businesses and carry 
out effective 
commercialisation of 
knowledge generated 
in institutions. ",11100000,11100000
"Knowledge Transfer and Collaborative Industrial Research (80016)","Priority 1 
Theme 1 ","Innovation, 
R&D and 
Technology ","Department for 
the Economy 
&Transport � 
Welsh 
Assembly Government","Early 2008 
(6 years) ","Jackie Doran
01685 
729376 ","The project aims to 
enhance and 
accelerate the 
transfer of knowledge 
and the development of innovative key 
technologies from 
higher and, where 
appropriate, further 
education institutions 
to key business 
sectors in the 
Convergence area.  
The project will help 
grow the knowledge 
economy of Wales 
through excellence in 
the provision of 
knowledge transfer 
services from Higher 
and Further education 
institutions to SMEs 
and other companies 
of significant 
economic importance 
to the convergence 
area. ",14000000,14000000
"Finance Wales JEREMIE Fund (80082)","Priority 1 
Theme 1 ","Innovation, 
R&D and 
Technology  ","Finance Wales  ","Early 2009 
(7 years) ","Geraint 
Green 
01685 
729357 ","The elements of the 
project funded 
through Priority 1 
Theme 1 will support 
the fostering of R&D, 
innovation and 
technology and its 
commercial exploitation.  
Specifically it will help 
�businesses to invest 
in R&D and develop 
new market led 
processes, products, 
technologies and 
services, particularly 
those with high 
growth potential�.  The 
innovation element of 
the fund will invest in 
commercially driven 
R&D; in line with a 
major priority of the 
framework which is to 
increase expenditure 
on R&D by business. ",10800000,10800000
"Finance Wales JEREMIE Fund (80019)","Priority 2 
Theme 2 ","Business 
Finance ","Finance Wales  ","Early 2009 
(7 years) ","Geraint 
Green 
01685 
729357 ","The project directly 
supports the aim of 
assisting the growth 
and expansion of 
businesses by 
improving access to 
business finance.  
Specifically, this 
project will provide 
debt finance and 
venture capital to 
address market failures in financial 
support mechanisms 
required to create 
new SMEs and 
develop existing 
ones, as outlined in 
the Business Finance 
Strategic Framework. ",37800000,37800000
"Social Enterprise Support (80010)","Priority 5 
Theme 2 ","Community 
Economic 
Development ","Wales 
Cooperative 
Centre ","Late 2008 
(5 years) ","Kerry 
Charles 
01685 
729368 ","The provision of 
support for the 
development and 
growth of Social 
Enterprises. The 
project aim is to 
increase the number, 
sustainability and 
growth of new and 
existing social 
enterprises through 
networking and 
marketing: building 
better businesses 
through 
organisational 
development and 
researching new 
opportunities for the 
sector.  ",3500000,3500000
"New Business Start-up Support (80012)","Priority 2, 
Theme 1 ","Enterprise  ","Department for 
the Economy & Transport � 
Welsh 
Assembly 
Government ","Early 2008 
(7 years) ","Natalie 
Owen  01685 
729367 ","To provide New 
Business Start-up Support to those 
individuals who are 
considering 
establishing a new 
business in Wales.  
This will be achieved 
through segmented 
online/offline 
communication 
involving web 
presence and printed 
materials, outreach to 
specific target groups 
and Taste of 
Enterprise activity 
within specific spatial 
areas.  The support to 
individuals wishing to 
start a business will 
include online 
diagnosis of needs, 
which considers the 
degree of personal 
preparedness 
(transferable those start-ups with 
growth potential there 
will be discretionary 
one-to-one mentoring 
during start-up and, 
on a needs basis, 
after start-up, for a 
period of up to 12 
months.  
skills/qualifications), 
market 
comprehension, 
motivation and 
finance available.  For ",14000000,14000000
"Furnace Farm - Centre of Excellence for Welsh Food (80005)","Priority 4  
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","Furnace Farm 
Ltd ","Mid 2008 
(2 years) ","Baudewijn 
Morgan  
01492 
542608 ","The project will create 
a centre of excellence 
for the promotion of 
Welsh food, bringing 
back into economic 
use a range of fine 
18th century buildings. 
It will represent an 
addition to quality 
tourism in the Conwy 
Valley, and at the 
same time strengthen 
the links between 
production, 
processing and the 
consumer to provide 
a more sustainable 
future for farmers and 
growers throughout 
North West Wales � 
fostering opportunities to introduce new 
products and add 
value to existing 
produce.  The long-
term vision is for a 
dynamic enterprise 
which encourages 
innovation and 
response to evolving 
demands in the 
tourism and agri-food 
industries. ",3700000,1500000
"Spatial European Team (SETs) (80171)","Priority 6 ","N/a ","Department for 
the Economy 
&Transport � 
Welsh 
Assembly 
Government ","Mid 2008 
(7 years) ","Natalie 
Owen 
01685 
729367 ","The Spatial European 
Teams will assist 
Strategic Framework 
co-ordinators in 
securing the 
involvement of 
existing partnerships 
at a local, regional 
and national level, 
encouraging 
collaboration in the 
planning and 
development of local 
and regional projects.  
They will also be 
available to assist in 
providing on-going 
support for project sponsors in their 
region.  They will be 
particularly important 
in the development of 
the spatially focused 
Frameworks, but will 
also be involved in 
securing spatial input 
into the thematic 
Frameworks ",4300000,4200000
"Third Sector European Team (3-SET) (80308)","Priority 6 ","N/a ","Wales Council 
for Voluntary 
Action (WCVA) ","Early 2008 
(7 years) ","Natalie 
Owen 
01685 
729367 ","The 3-SET will help 
Strategic Framework 
Co-ordinators secure 
the involvement of 
third sector 
organisations at local, 
regional and national 
level, to encourage 
collaboration in 
planning and project 
development and to 
generally support the 
development of 
regional and national 
projects.  It will also 
assist in the ongoing 
support for third 
sector project 
sponsors.  The 3-SET 
will be loci for ensuring that 
partnership works, 
that operational 
strategies are �joined 
up� and that 
stakeholders 
experience good 
customer service. ",700000,700000
"Ebbw Vale Innovation Centre (80025)","Priority 3, 
Theme 2 ","Sustainable 
Regeneration 
(Strategic 
Infrastructure) ","UK Steel 
Enterprise ","Early 2009 
(1 year) ","Mark 
Pritchard 
01267 
225472 ","This project will 
provide the 2nd phase 
of the Innovation 
Centre based at 
Victoria Business 
Park, Ebbw Vale 
which was opened in 
2004 with support 
from the Objective 1 
and Assembly 
Government.  (WDA 
then). Phase 2 will 
provide a further 
2,050 sq meters 
(22,000 sq ft) of 
space comprising 41 
offices and 12 
development units. 
Like Phase 1, it will 
be built to the highest 
modern specification providing a highly 
environmental 
building. It will 
incorporate many of 
the technological 
tools that modern day 
businesses need to 
succeed. ",2500000,1600000
