organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority,uri
Langside College,New Scots: Language and Skills,"123,582",European Social Fund,1,LUPS/ESF/2008/2/1/0281,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Langside College,Get Set Glasgow!,"162,425",European Social Fund,1,LUPS/ESF/2008/2/1/0279,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Langside College,Flexible Futures for the Service Sector in Scotland,"154,186",European Social Fund,1,LUPS/ESF/2008/2/1/0280,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Langside College,SkillsGAP Programme,"120,352",European Social Fund,1,LUPS/ESF/2008/2/1/0282,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Langside College,"The 4As - Attendance, Attitude, Achievement and Ambition","89,050",European Social Fund,1,LUPS/ESF/2008/2/1/0276,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Leonard Cheshire Disability,Suitability Scotland,"91,000",European Social Fund,1,LUPS/ESF/2008/2/1/0371,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
NCH Scotland,Youthbuild National,"253,818",European Social Fund,1,LUPS/ESF/2008/2/1/0404,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Regenerate Glasgow,Regenerate Skills To Build,"265,311",European Social Fund,1,LUPS/ESF/2008/2/1/0448,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Remploy Ltd,Putting Ability First In Scotland,"858,796",European Social Fund,1,LUPS/ESF/2008/2/1/0468,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Right Track Scotland Ltd,Career Start Project,"115,348",European Social Fund,1,LUPS/ESF/2008/2/1/0260,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Right Track Scotland Ltd,MOTIVATOR 2009,"127,924",European Social Fund,1,LUPS/ESF/2008/2/1/0255,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Right Track Scotland Ltd,Skills for the Future 2009,"108,183",European Social Fund,1,LUPS/ESF/2008/2/1/0254,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Right Track Scotland Ltd,FOCUS,"123,343",European Social Fund,1,LUPS/ESF/2008/2/1/0257,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Skillnet Edinburgh,Black Community Skills Project (Round 2),"117,465",European Social Fund,1,LUPS/ESF/2008/2/1/0368,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
South Lanarkshire College,Take a Chance Too,"418,166",European Social Fund,2,LUPS/ESF/2008/2/1/0353,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
The Coach House Trust,Transitions to Inclusion 2,"199,614",European Social Fund,1,LUPS/ESF/2008/2/1/0317,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
The Prince's Trust,Addressing disadvantage through Get Started,"142,907",European Social Fund,3,LUPS/ESF/2008/2/1/0427,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
The Prince's Trust,Addressing disadvantage through Team,"1,327,186",European Social Fund,3,LUPS/ESF/2008/2/1/0423,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
The Prince's Trust,Addressing disadvantage through Get Into,"566,711",European Social Fund,3,LUPS/ESF/2008/2/1/0419,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Venture Trust,Venture Trust - A Chance For Change,"233,155",European Social Fund,1,LUPS/ESF/2008/2/1/0446,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
West Lothian College,Living Life,"545,453",European Social Fund,2,LUPS/ESF/2008/2/1/0382,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Work Track,Work Track Centraal,"189,000",European Social Fund,2,LUPS/ESF/2008/2/1/0470,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Adam Smith College,Catalyst for Productivity,"1,341,081",European Social Fund,3,LUPS/ESF/2008/2/2/0465,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Ayr College,Upskilling the Ayrshire Workforce 2009 Programme,"141,039",European Social Fund,1,LUPS/ESF/2008/2/2/0269,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Coatbridge College,Sustainable Employment for the Care Sector,"84,115",European Social Fund,1,LUPS/ESF/2008/2/2/0342,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Forth Valley College,Skills Go Forth,"90,515",European Social Fund,1,LUPS/ESF/2008/2/2/0363,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Momentum Scotland,The Academy,"84,078",European Social Fund,1,LUPS/ESF/2008/2/2/0356,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Momentum Scotland,Pathways Aberdeen - Early Intervention/Job Retention Project,"167,128",European Social Fund,2,LUPS/ESF/2008/2/2/0293,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Napier University,Scottish Resource Centre for Women in SET,"216,761",European Social Fund,2.3,LUPS/ESF/2008/2/2/0464,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Scottish Bakery Training Council,Skills for Employees in Baking and Food Manufacture (LUPS),"274,309",European Social Fund,2,LUPS/ESF/2008/2/2/0308,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Scottish Federation of Meat Traders,Cut it in Scotland,"293,060",European Social Fund,3,LUPS/ESF/2008/2/2/0273,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Scottish Trades Union Congress,Training for the Union Learning Programme 2009-11,"321,349",European Social Fund,2,LUPS/ESF/2008/2/2/0386,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Skills Development Scotland,Responding To Redundancy,"1,363,861",European Social Fund,1,LUPS/ESF/2008/2/2/0514,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Stirling Council,The ASPIRE Project,"327,847",European Social Fund,2,LUPS/ESF/2008/2/2/0431,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Stow College,TU Education:Increasing Core Skills in the Workplace,"98,949",European Social Fund,1,LUPS/ESF/2008/2/2/0442,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Adam Smith College,CREATE-2,"943,580",European Social Fund,1,LUPS/ESF/2008/2/3/0461,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Angus College,ELE - Enhancing the Learning Environment Programme,"222,850",European Social Fund,2,LUPS/ESF/2008/2/3/0266,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Coatbridge College,Improving Access to Science,"116,852",European Social Fund,1,LUPS/ESF/2008/2/3/0346,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Common Knowledge,CK Works,"237,704",European Social Fund,2,LUPS/ESF/2008/2/3/0471,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Dundee College,Microgeneration Skills,"228,098",European Social Fund,2,LUPS/ESF/2008/2/3/0248,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Dundee College,Creative Enterprise,"231,323",European Social Fund,2,LUPS/ESF/2008/2/3/0247,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Dundee College,New Approaches to ESOL,"207,062",European Social Fund,2,LUPS/ESF/2008/2/3/0249,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Forth Valley College,Forth Valley Access to Lifelong Learning Project,"188,950",European Social Fund,2,LUPS/ESF/2008/2/3/0364,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow City Council,National Progression Award - Preparing For Work and Business,"128,052",European Social Fund,1.5,LUPS/ESF/2008/2/3/0390,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow Metropolitan College,Accessible Learning @ GlasgowMet Phase 2:Improving Access,"61,533",European Social Fund,1,LUPS/ESF/2008/2/3/0307,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Glasgow South West Regeneration Agency,Innovating Financial Literacy Skills in Scotland,"186,889",European Social Fund,2,LUPS/ESF/2008/2/3/0391,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Remploy Ltd,Upskilling Disability Employment Programme Delivery,"238,211",European Social Fund,1,LUPS/ESF/2008/2/3/0472,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Scotland's Learning Partnerhsip,Learning Support Network,"656,543",European Social Fund,3,LUPS/ESF/2008/2/3/0325,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Scotland's Learning Partnerhsip,The 3 R's Campaign,"2,163,058",European Social Fund,3,LUPS/ESF/2008/2/3/0318,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Scottish Qualifications Authority,TranSETT 2,"1,223,878",European Social Fund,2,LUPS/ESF/2008/2/3/0330,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Scottish Qualifications Authority,S4S2,"328,412",European Social Fund,2,LUPS/ESF/2008/2/3/0331,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Scottish Qualifications Authority,TSOL Innovation,"184,582",European Social Fund,2,LUPS/ESF/2008/2/3/0453,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20esf.pdf
Dundee University,Innovation Pipeline for Translational Science,"2,100,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0429,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Dundee University,Photonic Ultrasonic Pre-clinical MRI Intervention Centre-CAP,"780,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0509,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Dundee University,The Bioportal,"676,068.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0447,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Glasgow Caledonian University,CIC Start On-line,"400,757.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0237,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Glasgow Caledonian University,Kit Out,"77,008.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0267,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Glasgow Caledonian University,Supporting SMEs within Scotland's Food & Drink Sector,"333,850.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0380,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Glasgow Opportunities,John Logie Baird Innovation Village Capital,"2,366,876.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0450,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Heriot-Watt University,HWUKT,"3,849,636.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0388,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Napier University,2KT+,"581,785.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0439,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Napier University,Butanol Innovation into Business,"212,120.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0463,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Napier University,TIPD- Technology Innovation and Product Development,"308,594.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0476,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Roslin Institute,Roslin Stem Cell Partnership,"1,185,854.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0438,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Agricultural College,Green Cow,"379,921.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0323,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,Translational Medicine Research Collaboration Programme,"5,260,999.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0477,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Stem Cell Network Ltd,Scottish Stem Cell Network,"501,500.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0445,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Stirling University Innovation Park,Sporting Chance Initiative,"647,298.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0480,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The Hydrogen Office Ltd,Hydrogen Office - Hydrogen Technology Optimisation,"486,338.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0459,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The Hydrogen Office Ltd,Hydrogen Office Wind Turbine Procurement,"275,375.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0425,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The Robert Gordon University,Developing the ICT Business Base,"285,976.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0312,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
University of Strathclyde,SIPBS Knowledge Exchange Hub,"1,051,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0375,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
University of Strathclyde,SIPBS Knowledge Exchange Hub - Revenue,"524,740.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0374,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
University of the West of Scotland,Inovation in Sensors & Product Design (INSPIRED),"372,822.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0412,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
BRAG Enterprises Ltd,Motivate to Innovate,"305,033.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0301,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Dundee City Council,Enterprising Tayside,"450,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0434,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
East Dunbartonshire,Fit for Growth Programme,"602,250.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0437,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Edinburgh Business Development,Edinburgh Incubator Programme,"920,719.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0365,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Edinburgh Business Development,Scottish Ethnic Minority Enterprise Trust,"168,341.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0406,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Forestry Commission Scotland,Scottish Biomass Heat Scheme for Business,"800,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0339,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Perth College,Inspiring Enterprise,"250,426.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0409,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,Business Efficiency,"4,984,400.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0324,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
West of Scotland Loan Fund Ltd,West of Scotland Loan Fund (Gap Funding for SME's),"6,000,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0501,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Ferguslie Park Housing Association,The Tannahill Vision Project Programme,"307,380.00",European Regional Development Fund,,LUPS/ERDF/2008/2/3/0467,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Maryhill Burgh Halls Trust,Maryhill Burgh Halls,"1,279,014.00",European Regional Development Fund,,LUPS/ERDF/2008/2/3/0313,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Angus Council,Tartan Day Scotland,"123,498.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0452,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Moray College,e-Health training and education unit for Moray,"2,921,294.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0256,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Oatridge College,GrowBiz,"101,468.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0417,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,Energetica Business Site Development,"1,470,266.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0377,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,Rural Business Property Support,"384,800.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0378,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
SEStran,Regional Real Time Bus Passenger Information System (Rural),"410,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0475,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The Moray Council,Rural Action Plan for Moray,"1,037,698.00",European Regional Development Fund,,LUPS/ERDF/2008/2/4/0340,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Barony College,Barony Business Development Centre,"489,903.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0015,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Dumfries and Galloway Council,South of Scotland Creative Clusters Project,"245,319.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0007,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Enterprise,RURAL Business Property Support (South ),"320,000.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0011,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Scottish Historic Buildings Trust,Greenlaw Town Hall - Office development,"512,549.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0008,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
SEStran,Regional Real Time Bus Passenger Inforamation System - Borders,"199,719.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0014,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
The South West of Scotland Transport,TravelSmart Dumfries and Galloway,"1,280,355.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0010,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
University of the West of Scotland,South of Scotland Knowledge Transfer Hub,"508,929.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0016,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Visit Scotland,Homecoming and the Development of the Diaspora Market,"439,115.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0009,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Visit Scotland,Green Tourism Consumer Promotions - South of Scotland,"569,623.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0006,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/R2%20awards%20erdf.pdf
Farm Animal Genetics & Genomics Faraday Partnership,Animal Health and Animal Genetics KTN,"378,008",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
Genomia Management Ltd,Genomia Pre-investment Seed Development Fund,"812,475",European Regional Development Fund,,,Priority 1: Progressing Into Employment,http://www.esep.co.uk/assets/files/LUPS_ERDF2.pdf
