Priority,Project Ref,Financial Start Date,Financial End Date,Sponsor,Project Title,Description of Project,ERDF Approved Grant (£),Public Funding (£)
PA1,EMX05511,01/04/2009,31/03/2012,Nottingham Trent University,Rural Knowledge and Enterprise Centre,"The RKEC project will deliver knowledge, innovation and","£391,151.00","£586,735.00"
PA1,EMX05513,01/12/2008,30/09/2011,De Montford University,Regional SME Design Support,Demostrate the business performance benefits of,"£350,000.00","£525,000.00"
PA1,EMX05517,01/11/2009,31/12/2013,Lincolnshire County Council,Innovation Lincolnshire Phase 2,Improve the economic performance of Lincolnshire's,"£1,000,000.00","£1,500,000.00"
PA1,EMX05520,18/02/2009,31/07/2012,University of Loughborough,The Lachesis Fund 2,The Lachesis Fund seeks to fill the 'seed corn' funding gap,"£2,000,000.00","£3,000,000.00"
PA1,EMX05524,13/02/2009,31/10/2011,Connect Midlands - University of Warwick,Investment Readiness - Connect InvoRed,To provide innovation support to high-growth creative and,"£956,081.00","£1,298,021.00"
PA1,EMX05525,08/12/2008,31/03/2012,University of Lincoln,Innovation for Productivity and Competitiveness,Aims to increase innovation and productivity through,"£271,598.00","£402,200.00"
PA1,EMX05527,29/01/2009,28/01/2011,University of Northampton,Modelling and Visualisation Centre,"provide a unique, innovtive and cutting edge centre for","£3,087,500.00","£5,536,358.00"
PA1,EMX05529,18/09/2008,30/09/2011,East Midlands Development Agency,Grant for Research and Development,Provide financial support to encourage SMEs to undertake,"£2,917,000.00","£4,375,500.00"
PA1,EMX05532,08/12/2008,30/11/2011,Arts Council England,Creative Innovation Initiative,Provide innovation support to high growth creative and,"£390,000.00","£585,000.00"
PA1,EMX05533,01/01/2009,31/12/2010,Pera Innovation Limited,The Growth Readiness Investment Programme,Provide enhanced support to the High Growth Readiness,"£641,960.00","£962,940.00"
PA1,EMX05534,01/02/2009,30/06/2011,De Montfort University,ProspectIP,This project will undertake innovation exploitation from,"£389,355.00","£597,500.00"
