"Eixo Prioritário / Área de Intervenção","Programa Operacional (FEDER)","Tipologia da Operação","Sub-Tipologia da Operação","Código do Concurso","Designação do Projecto","Concelho","Data de Decisão","Promotor","Código de Operação","Fundo Comunitário","Investimento Elegível"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","SI I&DT - Individuais","Cod. PO: ALG-02-2007-01  
Cod. SI: 05/SI/2007","ANYFISH - Desenvolvimento de novas tecnologias para a produção de alimentos para peixes","Faro",06/05/08,"SPAROS LDA","ALG-01-0402-FEDER-001460","187.922,24","269.531,77"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","SI I&DT - Individuais","Cod. PO: ALG-02-2007-01  
Cod. SI: 05/SI/2007","Best Mobile Hub - Portal Agregador de Serviços Móveis","Faro",06/05/08,"Inesting - Marketing Tecnológico, S.A.","ALG-01-0402-FEDER-001519","98.838,00","219.640,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","SI I&DT - Individuais","Cod. PO: ALG-02-2009-02   
Cod. SI: 05/SI/2009","A4F-Algafuel, S.A.","Olhão",03/09/09,"A4F- ALGAFUEL, SA","ALG-01-0202-FEDER-006633","151.031,43","188.789,28"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","SI I&DT - Núcleos","Cod. PO: ALG-02-2008-03   
Cod. SI: 08/SI/2008","Desenvolvimento de projectos na área de IT (sistema de 
suporte e atendimento ao cliente, sistema de 
posicionamento georreferenciado dos colaboradores e 
clientes, ferramenta de gestão integrada para a empresa)","Loulé",28/08/08,"Algardata - Sistemas Informáticos, 
S.A.","ALG-01-0402-FEDER-002590","127.596,35","318.990,87"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","SI I&DT - Núcleos","Cod. PO: ALG-02-2008-10    
Cod. SI: 23/SI/2008","ProTur Booking - Plataforma de Gestão de Reservas 
Turísticas On-line","Faro",20/05/09,"VISUALFORMA - Formação e 
Programação em Novas Tecnologias, 
Lda","ALG-01-0402-FEDER-005495","317.244,19","634.488,38"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","SI I&DT - Co- promoção","Cod. PO: ALG-02-2007-01  
Cod. SI: 05/SI/2007","GreenDiets - Formulação e teste de novas dietas à base 
de concentrados de microalgas para aplicação no sector 
da aquacultura","Multi concelhos",16/06/08,"Necton - Companhia Portuguesa de 
Culturas Marinhas, S.A.","ALG-01-0402-FEDER-001586","210.800,51","296.006,59"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","SI I&DT - Co- promoção","Cod. PO: ALG-02-2008-04   
Cod. SI: 09/SI/2008",,"Multi concelhos",21/10/08,"Agrupamento de Alfarroba e 
Amêndoa, C.R.L.","ALG-01-0402-FEDER-003397","476.335,49","638.491,67"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","Vale I&DT","Cod. PO: ALG-02-2008-07  
Cod. SI: 17/SI/2008","Clarificação da goma de alfarroba","Faro",04/02/09,"A Industrial Farense, Lda.","ALG-01-0402-FEDER-004583","24.000,00","32.000,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","Vale I&DT","Cod. PO: ALG-02-2008-07  
Cod. SI: 17/SI/2008","BioOrnamental - diagnóstico de patologias ornamentais em 
peixes","Olhão",04/02/09,"Bioestratégia-Consultadoria, 
Formação, Management, Tecnologia 
e Inovação, Lda","ALG-01-0202-FEDER-004670","24.750,00","33.000,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","Vale I&DT","Cod. PO: ALG-02-2008-07  
Cod. SI: 17/SI/2008","Produção de poliquetas como alimento para peixes 
reprodutores em aquacultura","Faro",04/02/09,"INOVSEA Lda.","ALG-01-0402-FEDER-004689","15.000,00","20.000,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","Vale I&DT","Cod. PO: ALG-02-2009-03  
Cod. SI: 06/SI/2009","Óleos essenciais como enriquecimentos nutricionais no 
cultivo de larvas de peixes marinhos","Alcoutim",17/06/09,"Dandlen & Vasques, Lda","ALG-01-0402-FEDER-006521","16.875,00","22.500,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","Vale I&DT","Cod. PO: ALG-02-2009-03  
Cod. SI: 06/SI/2009","Potencial de aplicação de estímulos acústicos 
subaquáticos em aquacultura marinha","Faro",17/06/09,"MarSensing - Marine Sensing & 
Acoustic Technologies, Lda.","ALG-01-0202-FEDER-006563","15.000,00","20.000,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Investigação e Desenvolvimento Tecnológico","Vale I&DT","Cod. PO: ALG-02-2009-03  
Cod. SI: 06/SI/2009","Caracterização nutricional e definição do tempo de vida de 
prateleira do chouriço de atum","Vila Real de 
Santo António",17/06/09,"Conservas de Peixe Dâmaso, 
Unipessoal, Lda.","ALG-01-0202-FEDER-006567","24.750,00","33.000,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2007-01 Cod: SI: 03/SI/2007","Modernização e automatização de métodos / processos 
existentes","Silves",17/04/08,"Quimiteste - Engenharia e Tecnologia, 
Lda","ALG-01-0403-FEDER-000966","169.745,88","308.628,87"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2007-01 Cod: SI: 03/SI/2007","Upgrade de processos de fabrico","São Brás de 
Alportel",06/05/08,"NOVACORTIÇA - Indústria Cortceira 
SA","ALG-01-0403-FEDER-001000","75.202,84","167.117,42"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2008-01  
Cod: SI: 05/SI/2008","Produção de novos serviços com elevado conteúdo tecnológico, utilizando as novas tecnologias, e adopção de novos métodos de utilização dos recursos naturais e energéticos","Albufeira",28/08/08,"ALISIOS II - IMOBILIARIA E TURISMO
SA","ALG-01-0403-FEDER-002751","152.599,15","277.453,00"
