country,region,uri,google_translate_uri
BULGARIA,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../bulgaria/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=bg&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../bulgaria/crossborder/index_en.htm
BULGARIA,România - Bulgaria,http://www.cbcromaniabulgaria.eu/index.php?page=HOME&language=2,http://translate.google.com/translate?hl=en&sl=bg&tl=en&u=http://www.cbcromaniabulgaria.eu/index.php?page=HOME&language=2
BELGIUM,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../belgium/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../belgium/crossborder/index_en.htm
BELGIUM,Grande Région,http://www.wbi.be/cgi/bin3/render.cgi?id=0131623_article&ln=ln1&userid=&rubr=interreg,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.wbi.be/cgi/bin3/render.cgi?id=0131623_article&ln=ln1&userid=&rubr=interreg
BELGIUM,Euregio Maas Rhein,http://www.interregemr.eu/site_en/news/news.php,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.interregemr.eu/site_en/news/news.php
BELGIUM,France - Wallonie - Vlaanderen,http://www.interreg-fwvl.eu/fr/projet-tableau.php,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.interreg-fwvl.eu/fr/projet-tableau.php
BELGIUM,Deux Mers,http://interreg4a-2mers.eu/Call01/Beneficiaries.pdf,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://interreg4a-2mers.eu/Call01/Beneficiaries.pdf
BELGIUM,Vlaanderen - Nederland,http://www.grensregio.eu/nieuws.aspx,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.grensregio.eu/nieuws.aspx
CZECH REPUBLIC,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../czech/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=cs&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../czech/crossborder/index_en.htm
CZECH REPUBLIC,Österreich - Česká Republika,http://www.at-cz.eu/at-cz/de/7-2_2007-2013.php,http://translate.google.com/translate?hl=en&sl=cs&tl=en&u=http://www.at-cz.eu/at-cz/de/7-2_2007-2013.php
CZECH REPUBLIC,Česká Republika - Polska,http://www.cz-pl.eu/seznam-prijemcu-podpory-z-fondu-eu.html,http://translate.google.com/translate?hl=en&sl=cs&tl=en&u=http://www.cz-pl.eu/seznam-prijemcu-podpory-z-fondu-eu.html
DENMARK,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../denmark/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=da&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../denmark/crossborder/index_en.htm
DENMARK,Syddanmark - Schleswig-K.E.R.N.,http://www.interreg4a.dk/wm229988,http://translate.google.com/translate?hl=en&sl=da&tl=en&u=http://www.interreg4a.dk/wm229988
DENMARK,Sjælland - Ostholstein - Lübeck - Plön,http://www.fehmarnbeltregion.net/de/projects/interreg_iv/,http://translate.google.com/translate?hl=en&sl=da&tl=en&u=http://www.fehmarnbeltregion.net/de/projects/interreg_iv/
DENMARK,South Baltic,http://en.southbaltic.eu/index/,http://translate.google.com/translate?hl=en&sl=da&tl=en&u=http://en.southbaltic.eu/index/
DENMARK,Öresund - Kattegatt - Skagerrak,http://www.interreg-oks.eu/se/Menu/Projekt/Godk%C3%A4nda+projekt,http://translate.google.com/translate?hl=en&sl=da&tl=en&u=http://www.interreg-oks.eu/se/Menu/Projekt/Godk%C3%A4nda+projekt
GERMANY,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../germany/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../germany/crossborder/index_en.htm
GERMANY,Alpenrhein - Bodensee - Hochrhein,http://www.interreg.org/ViewContent.php?aktsubid=1&mainlink=1&mainnavid=354&subnavid=354&targetid=186&child=1,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.interreg.org/ViewContent.php?aktsubid=1&mainlink=1&mainnavid=354&subnavid=354&targetid=186&child=1
GERMANY,Deutschland/Bayern - Österreich,http://www.interreg-bayaut.net/interreg_iv/pool.html,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.interreg-bayaut.net/interreg_iv/pool.html
GERMANY,Grande Région,http://www.wbi.be/cgi/bin3/render.cgi?id=0131623_article&ln=ln1&userid=&rubr=interreg,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.wbi.be/cgi/bin3/render.cgi?id=0131623_article&ln=ln1&userid=&rubr=interreg
GERMANY,Euregio Maas Rhein,http://www.interregemr.eu/site_de/news/news.php,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.interregemr.eu/site_de/news/news.php
GERMANY,Syddanmark - Schleswig-K.E.R.N.,http://www.interreg4a.de/wm230099,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.interreg4a.de/wm230099
GERMANY,Sjælland - Ostholstein - Lübeck - Plön,http://www.fehmarnbeltregion.net/de/projects/interreg_iv/,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.fehmarnbeltregion.net/de/projects/interreg_iv/
GERMANY,South Baltic,http://en.southbaltic.eu/index/,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://en.southbaltic.eu/index/
ESTONIA,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../estonia/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=et&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../estonia/crossborder/index_en.htm
ESTONIA,Eesti - Latvija,http://www.estlat.eu/supported-projects/,http://translate.google.com/translate?hl=en&sl=et&tl=en&u=http://www.estlat.eu/supported-projects/
ESTONIA,Central Baltic,http://www.centralbaltic.eu/projects/project-search,http://translate.google.com/translate?hl=en&sl=et&tl=en&u=http://www.centralbaltic.eu/projects/project-search
GREECE,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../greece/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=el&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../greece/crossborder/index_en.htm
SPAIN,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../spain/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=es&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../spain/crossborder/index_en.htm
SPAIN,España - France - Andorra,http://www.poctefa.eu/arbol/index.jsp?id=265c8f4b-e17c-4563-8ef7-98602c417be3&ord=1,http://translate.google.com/translate?hl=en&sl=es&tl=en&u=http://www.poctefa.eu/arbol/index.jsp?id=265c8f4b-e17c-4563-8ef7-98602c417be3&ord=1
SPAIN,España - Portugal,http://www.poctep.eu/,http://translate.google.com/translate?hl=en&sl=es&tl=en&u=http://www.poctep.eu/
FRANCE,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../france/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../france/crossborder/index_en.htm
FRANCE,France - Wallonie - Vlaanderen,http://www.interreg-fwvl.eu/fr/projet-tableau.php,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.interreg-fwvl.eu/fr/projet-tableau.php
FRANCE,Deux Mers,http://interreg4a-2mers.eu/Call01/Beneficiaries.pdf,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://interreg4a-2mers.eu/Call01/Beneficiaries.pdf
FRANCE,España - France - Andorra,http://www.poctefa.eu/arbol/index.jsp?id=265c8f4b-e17c-4563-8ef7-98602c417be3&ord=1,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.poctefa.eu/arbol/index.jsp?id=265c8f4b-e17c-4563-8ef7-98602c417be3&ord=1
FRANCE,Grande Région,http://www.wbi.be/cgi/bin3/render.cgi?id=0131623_article&ln=ln1&userid=&rubr=interreg,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.wbi.be/cgi/bin3/render.cgi?id=0131623_article&ln=ln1&userid=&rubr=interreg
FRANCE,France - Schweiz/Suisse/Svizzera,"http://www.interreg-francesuisse.org/interreg/projets-programmes/36,liste-des-beneficiaires.html","http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.interreg-francesuisse.org/interreg/projets-programmes/36,liste-des-beneficiaires.html"
IRELAND,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../ireland/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../ireland/crossborder/index_en.htm
ITALY,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../italia/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=it&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../italia/crossborder/index_en.htm
CYPRUS,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../cyprus/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=el&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../cyprus/crossborder/index_en.htm
LATVIA,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../latvia/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=lv&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../latvia/crossborder/index_en.htm
LATVIA,Central Baltic,http://www.centralbaltic.eu/projects/project-search,http://translate.google.com/translate?hl=en&sl=lv&tl=en&u=http://www.centralbaltic.eu/projects/project-search
LATVIA,Eesti - Latvija,http://www.estlat.eu/supported-projects/,http://translate.google.com/translate?hl=en&sl=lv&tl=en&u=http://www.estlat.eu/supported-projects/
LATVIA,Latvija - Lietuva,http://www.latlit.eu/eng/running_projects/,http://translate.google.com/translate?hl=en&sl=lv&tl=en&u=http://www.latlit.eu/eng/running_projects/
