Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
"Länsi, sto, tiedotus",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.1.2008,31.12.2013,Länsi-Suomen lääninhallitus,4 920,1 773,7 080,2 551,12 000,4 324
Vientirengashautomo-hanke,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.10.2009,30.9.2011,Etelä-Pohjanmaan kauppakamari,39 410,0,30 590,0,137 627,0
PROFIT (Profiloituva informaatioteknologian osaaminen),Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.11.2009,31.12.2011,Jyväskylän yliopisto,23 876,0,26 924,0,1 055 076,0
Dynamo: lisää virtaa järjestöjen ja kuntien yhteistyöhön,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.9.2009,31.8.2012,Nuorten Akatemia ry,193 776,0,209 924,0,582 260,0
"Tekninen tuki, viestintä ESR-sote",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.12.2007,31.12.2013,"Lapin lääninhallitus, sivistysosasto",1 200,421,1 800,632,7 000,1 053
"Tekninen tuki, viestintä SIV",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.12.2007,31.12.2013,"Lapin lääninhallitus, sivistysosasto",4 100,575,5 900,828,26 000,1 403
Ympäristöosaajat2025,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.11.2009,31.3.2012,TOP Instituutti Oy / Suomen ympäristöopisto SYKLI,37 320,0,41 984,0,209 400,0
Hymykuopat - hyvinvointipalveluiden monialaiset yhteistuotannot,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.10.2009,30.6.2012,Salon kaupunki / Kulttuuritoimisto,140 061,0,151 733,0,784 009,0
TuoteNyt,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.12.2009,31.3.2012,"Helsingin yliopisto, Koulutus- ja kehittämiskeskus Palmenia, Hyvinkää",142 000,0,64 700,0,347 700,0
Pohjanmaan Työvalmennusohjelma,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,19.10.2009,31.12.2012,Pohjanmaan TE-keskus,329 910,0,370 090,0,7 255 500,0
Koordinaatio,Riksomfattande delen,5,Undervisningsministeriet,Verksamhet pågår,1.1.2007,31.12.2013,Opetusministeriö,96 000,22 972,181 000,43 313,831 560,66 285
Tiedotus ja viestintä,Riksomfattande delen,5,Undervisningsministeriet,Verksamhet pågår,1.1.2007,31.12.2013,Opetusministeriö,100 000,58 732,100 000,58 732,205 440,117 464
Start Up Yrityspalveluohjelma,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.10.2008,31.12.2011,Keski-Pohjanmaan koulutusyhtymä / Keski-Pohjanmaan aikuisopisto,77 880,0,87 645,0,706 000,0
PROTEK - Osaamispääoman kehittämisohjelma Pohjanmaalla ja Keski-Pohjanmaalla,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.10.2008,30.6.2011,Keski-Pohjanmaan koulutusyhtymä / Keski-Pohjanmaan aikuisopisto,112 142,0,126 205,0,842 000,0
International Business Program (IBP): digialan kasvuyritysten kansainvälistäminen,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,17.8.2009,31.12.2010,Culminatum Innovation Oy Ltd,114 400,0,124 320,0,712 000,0
