Goedgekeurde EFRO-projecten Doelstelling 2 ‘Regionaal Concurrentievermogen en Werkgelegenheid’ 2007-2013,,,,,,,
Projectnaam,Promotor,,EFRO,Totale kost,EFRO-%,Startdatum,Einddatum
IE-scan Intellectuele Eigendom-scan,Agentschap Ondernemen,"De ondernemer krijgt door middel van een scan een beeld van de 'Intelectuele Eigendom' binnen zijn onderneming. Dit project heeft volgende doelstellingen: ontsluiting van bestaande informatie en dienstenaanbod naar KMO's toe; KMO's sensibiliseren tot aandacht voor het intellectueel eigendomspotentieel dat bij hen aanwezig is en hen wijzen op de tekortkomingen in het beheer hiervan; KMO's informeren en waar nodig sensibiliseren om extern advies in te winnen; terugkoppeling naar het beleid via evaluatierapport en stuurgroep (Agentschap Ondernemen, BBIE, FOD Economie, BMM,...)","159,786.80","399,467.00",40.00%,12/1/08,11/30/10
Sensibilisering van innovatie in Limburg:=x,Innovatiecentrum Limburg,"Het project wil een grotere bewustwording teweeg brengen rond open innoveren bij de Limburgse bedrijven en non-profitorganisaties. Dit wordt aangepakt door het uitwerken van vijf originele acties die concrete innovaties in het middelpunt van de belangstelling plaatsen, en die tegelijkertijd een klimaat creëren waarin nieuwe initiatieven worden uitgelokt. Uitgangspunt hierbij is dat het delen van kennis leidt tot een vermenigvuldiging van zinvolle economische en maatschappelijke activiteiten.","180,000.00","450,000.00",40.00%,12/1/08,11/30/10
Ontwikkeling v/e innovatief kennissysteem ter bevordering van toeristisch ondernemerschap,Toerisme Limburg,"Dit project wil kennis genereren bij de toeristische sector via een innovatief kennissysteem, om deze te transfereren naar de sector via sensibiliseringsacties. Doel is het toerisme op het platteland stimuleren en het verder te ontwikkelen tot een kwalitatief duurzaam economisch gegeven.","146,113.90","365,284.76",40.00%,10/1/08,9/30/10
KMO I & I,VOKA - Kamer van Koophandel Limburg,"Het project draagt bij tot een groter kennisbewustzijn van Vlaamse KMO’s inzake Europees internationaal ondernemen. Acties om dit te bereiken zijn o.a. het aanbieden van een informatiedienst en een dienst business coöperation, de organisatie van workshops en seminaries, sensibiliseringsacties en de regelmatige bevraging van de bedrijven.","651,393.37","1,628,483.43",40.00%,9/1/08,8/31/10
Innovatiecoach,UNIZO - INTERNATIONAAL,"Dit project stimuleert KMO’s om creatief en innovatief te handelen en brengt hen met het Vlaams innovatienetwerk in contact. De acties zijn gericht op sensibilisering, informatieverstrekking en gerichte doorverwijzing.","334,210.00","835,525.00",40.00%,10/1/08,9/30/10
Limburg op de kaart,Toerisme Limburg,Toerisme Limburg wil met het project Limburg op de kaart samenwerkingsverbanden tussen ondernemers uit diverse sectoren stimuleren met behulp van een ICT-toepassing en methodiek naar bedrijfsimplementatie. De concrete output is een tool of gebruikerskaart om de omzet bij de participanten te verhogen.,"267,003.20","667,508.00",40.00%,10/22/09,10/21/11
REG in KMO's,Agentschap Ondernemen,Stimuleren en begeleiden van KMO's bij het rationeel en duurzaam gebruiken van energie en innovatieve energietechnologie.,"363,237.50","908,093.74",40.00%,11/1/08,10/31/10
ICTloket.be,Katholieke Hogeschool Limburg,"ICTloket.be wil een kennisbrug zijn tussen het (hoger) onderwijs en de Vlaamse KMO's inzake de inschakeling en de toepassing van nieuwe media in de ondernemingen. In tegenstelling tot gelijkaardige initiatieven, vertrekt ICTloket.be vanuit de expertise die beschikbaar is binnen de Katholieke Hogeschool Limburg en de samenwerking met partners als e-Lab Vlaanderen.","146,466.87","366,167.17",40.00%,10/1/08,9/30/10
NuTeC-NORM,Hogeschool Limburg,"Bepaalde grondstoffen bevatten natuurlijk voorkomende radioactieve stoffen (NORM - Naturally Occuring Radioactive Material) waarvan de concentratie door bewerkingen in de eind-, neven- of afvalproducten kan verhoogd worden zoals in de fosfaat-, bouw-, water-, staal-, non-ferro-, glas-, keramische industrie. Deze bedrijven moeten zich registreren op basis van de stralingsbelasting voor werknemers en omgeving (nu uitgevoerd door speciale labo''s). Op Europees niveau werkt men aan richtlijnen om de toekenning van een bedrijf tot de NORM industrie te vereenvoudigen tot specifieke activiteitsnormen vertrekkende van een positieve lijst. Met dit project wil NuTeC de NORM problematiek in Vlaanderen voorbereiden in deze nieuwe Europese visie.","149,151.64","372,879.11",40.00%,12/15/08,12/14/10
