t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
ESA EPEDVM - Unit D,ΕΥ∆ ΕΠΕ∆ΒΜ - Μονάδα ∆,Organization and Implementation Monitoring Committee AP13,Οργάνωση και υλοποίηση Επιτροπών Παρακολούθησης ΑΠ13,2009,"147.595,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,ESA EPEDVM - Unit D,Organization and Implementation Monitoring Committee AP13,ECB
ESA EPEDVM - Unit D,ΕΥ∆ ΕΠΕ∆ΒΜ - Μονάδα ∆,Organization and Implementation Monitoring Committee AP14,Οργάνωση και υλοποίηση Επιτροπών Παρακολούθησης ΑΠ14,2009,"189.525,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,ESA EPEDVM - Unit D,Organization and Implementation Monitoring Committee AP14,ECB
ESA EPEDVM - Unit D,ΕΥ∆ ΕΠΕ∆ΒΜ - Μονάδα ∆,Organization and Implementation Monitoring Committee AP15,Οργάνωση και υλοποίηση Επιτροπών Παρακολούθησης ΑΠ15,2009,"12.880,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,ESA EPEDVM - Unit D,Organization and Implementation Monitoring Committee AP15,ECB
International University of Greece,∆ιεθνές Πανεπιστήµιο της Ελλάδος,International University of Greece (Operation - Development),∆ιεθνές Πανεπιστήµιο της Ελλάδος (Λειτουργία – Ανάπτυξη),2009,"19.000.000,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,International University of Greece,International University of Greece (Operation - Development),ECB
Special Operations Service Application Ekpaidetikon Ministry of Education,Ειδική Υπηρεσία Εφαρµογής Εκπαιδετικών ∆ράσεων του ΥΠΕΠΘ,Apply foreign language curriculum in primary education in 8 regions Convergence,Εφαρµογή ξενόγλωσσων προγραµµάτων σπουδών στην Πρωτοβάθµια εκπαίδευση στις 8 Περιφέρειες Σύγκλισης,2009,"12.000.000,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,Special Operations Service Application Ekpaidetikon Ministry of Education,Apply foreign language curriculum in primary education in 8 regions Convergence,ECB
Special Operations Service Application Ekpaidetikon Ministry of Education,Ειδική Υπηρεσία Εφαρµογής Εκπαιδετικών ∆ράσεων του ΥΠΕΠΘ,Apply foreign language curriculum in primary education in 3 regions phasing,Εφαρµογή ξενόγλωσσων προγραµµάτων σπουδών στην Πρωτοβάθµια εκπαίδευση στις 3 Περιφέρειες Σταδιακής Εξόδου,2009,"17.800.000,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,Special Operations Service Application Ekpaidetikon Ministry of Education,Apply foreign language curriculum in primary education in 3 regions phasing,ECB
Special Operations Service Application Ekpaidetikon Ministry of Education,Ειδική Υπηρεσία Εφαρµογής Εκπαιδετικών ∆ράσεων του ΥΠΕΠΘ,Apply foreign language curriculum in primary education in Regions 2 phasing,Εφαρµογή ξενόγλωσσων προγραµµάτων σπουδών στην Πρωτοβάθµια εκπαίδευση στις 2 Περιφέρειες Σταδιακής Εισόδου,2009,"2.600.000,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,Special Operations Service Application Ekpaidetikon Ministry of Education,Apply foreign language curriculum in primary education in Regions 2 phasing,ECB
National Youth Foundation,Εθνικό Ίδρυµα Νεότητας,Environmental Education Centers in Regions 8 Convergence,Κέντρα Περιβαλλοντικής Εκπαίδευσης στις 8 Περιφέρειες Σύγκλισης,2009,"4.622.222,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,National Youth Foundation,Environmental Education Centers in Regions 8 Convergence,ECB
National Youth Foundation,Εθνικό Ίδρυµα Νεότητας,Environmental Education Centers in 3 regions phasing,Κέντρα Περιβαλλοντικής Εκπαίδευσης στις 3 περιφέρειες σταδιακής εξόδου,2009,"2.999.615,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,National Youth Foundation,Environmental Education Centers in 3 regions phasing,ECB
National Youth Foundation,Εθνικό Ίδρυµα Νεότητας,Environmental Education Centers in 2 regions phasing,Κέντρα Περιβαλλοντικής Εκπαίδευσης στις 2 περιφέρειες σταδιακής εισόδου,2009,"848.446,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,National Youth Foundation,Environmental Education Centers in 2 regions phasing,ECB
Educational Institute,Παιδαγωγικό Ινστιτούτο,Introductory training for neodioristous and hired as substitute teachers in the 2008-2009 school year 8 Convergence Regions,Εισαγωγική επιµόρφωση για νεοδιόριστους και προσλαµβανόµενους ως αναπληρωτές εκπαιδευτικούς σχολικού έτους 2008-2009 στις 8 Περιφέρειες Σύγκλισης,2009,"2.299.998,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,Educational Institute,Introductory training for neodioristous and hired as substitute teachers in the 2008-2009 school year 8 Convergence Regions,ECB
Educational Institute,Παιδαγωγικό Ινστιτούτο,Introductory training for neodioristous and hired as substitute teachers in the 2008-2009 school year phasing-3 Region,Εισαγωγική επιµόρφωση για νεοδιόριστους και προσλαµβανόµενους ως αναπληρωτές εκπαιδευτικούς σχολικού έτους 2008-2009 στις 3 Περιφέρειες Σταδιακής Εξόδου,2009,"2.049.792,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,Educational Institute,Introductory training for neodioristous and hired as substitute teachers in the 2008-2009 school year phasing-3 Region,ECB
Educational Institute,Παιδαγωγικό Ινστιτούτο,Introductory training for neodioristous and hired as substitute teachers in the 2008-2009 school year phasing-2 Regions,Εισαγωγική επιµόρφωση για νεοδιόριστους και προσλαµβανόµενους ως αναπληρωτές εκπαιδευτικούς σχολικού έτους 2008-2009 στις 2 Περιφέρειες Σταδιακής Εισόδου,2009,"249.492,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,Educational Institute,Introductory training for neodioristous and hired as substitute teachers in the 2008-2009 school year phasing-2 Regions,ECB
Institute of Continuing Adult Education (IDEKE),Ινστιτούτο ∆ιαρκούς Εκπαίδευσης Ενηλίκων (Ι∆ΕΚΕ),Second Chance Schools - AP7,Σχολεία ∆εύτερης Ευκαιρίας – ΑΠ7,2009,"9.999.000,00 €",ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,Institute of Continuing Adult Education (IDEKE),Second Chance Schools - AP7,ECB
