SOCIALFONDEN: ,,,
Journalnr,Projekttitel,Virksomhed,Tilsagn pr. 31.12.2009
Mål 2 Socialfond Nordjylland,,,
  1 En kvalificeret arbejdsstyrke,,,
   1.2 Innovation og videndeling,,,
,OVERSKUD I - Innovationsledelse i SMV,Håndværksrådet,"             3.090.500,00 "
,Kandidat- og aftagerundersøgelsen 2007 - 2008,Aalborg Universitet,"             1.044.691,00 "
,Energi- og Miljøskolen,Martec,                               -   
   1.2 Innovation og videndeling,Antal :,3,"             4.135.191,00 "
   1.1 Udvikling af menneskelige ressourcer,,,                               -   
,LIV - Læring i Virksomheden,EUC Nordvest,"             3.685.315,00 "
,Detailakademiet,Aalborg Handelsskole,"             4.469.484,00 "
,Talentudviklingsklynge,EUC Nordvest,"             1.888.400,00 "
,Kompetenceudvikling for det nordjyske turismeerhverv,Turistudviklingsfonden Nordjylland,"             8.828.100,50 "
,Innovative og kreative læringsformer skaber gejst og energi i arbejdet- en medarbejderdreven organisationsudvikling i tre nordjyske virksomheder,Post Danmark,"             3.145.865,00 "
,PERSONALELEDELSE 2008 - HR i Praksis,Aalborg Kongres & Kultur center,"             1.222.022,25 "
,Strategisk kompetanceudvikling af virksomhederne i Jammerbugt Kommune,Jammerbugt kommune,"             4.205.771,00 "
,"PIKA -Produktivitet, Innovation, kvalitet og arbejdsmiljø",Professionshøjskolen University College Nordjylland,"             1.481.500,00 "
,VIV-EXT (Virksomheder i Vækst - extended version),Væksthus Nordjylland,"           86.871.510,00 "
,Via Nord - Viden i anvendelse i Region Nord,Aalborg Universitet,"             8.028.045,00 "
,Udvikling af medarbejderkompetencer indenfor logistik- og forretningssystemer,AMU Nordjylland,"             1.032.688,00 "
,Ledelse i et nyt perspektiv - Kulturdynamisk ledelse,Tech College Aalborg,"             3.806.816,00 "
,UIU - Unge i uddannelse,Tech College Aalborg,"             5.491.500,00 "
,"Redefinering af mellemlederens rolle via ""Det personlige accelerationsprogram""",Business Institute A/S,"                933.299,68 "
,Nordjylland som førende region på sundheds- og ældreserviceområdet,AMU Nordjylland,"             8.130.197,00 "
,Kompetenceudvikling i nordjysk turisme 2010,Turistudviklingsfonden Nordjylland,"             4.399.600,00 "
   1.1 Udvikling af menneskelige ressourcer,Antal :,16,"         147.620.113,43 "
   1.3 Anvendelse af ny teknologi,,,                               -   
,IKT-agil,Aalborg Universitet,"                965.222,00 "
,Innovations Alliancer,Professionshøjskolen University College Nordjylland,"             2.150.000,00 "
   1.3 Anvendelse af ny teknologi,Antal :,2,"             3.115.222,00 "
  I alt 1 En kvalificeret arbejdsstyrke,Antal :,21,"         154.870.526,43 "
  2 Udvidelse af arbejdsstyrken,,,                               -   
   2.1 Udvikling af menneskelige ressourcer,,,                               -   
,Seniorudvikling i private og offentlige virksomheder,Frederikshavn Handelsskole,"             1.768.600,00 "
,Fremtidens buschauffør,Bektra v. Nordjyllands Trafikselskab,"             9.304.675,00 "
   2.1 Udvikling af menneskelige ressourcer,Antal :,2,"           11.073.275,00 "
   2.2 Etab. og udvikling af nye virksomh.,,,                               -   
,Det nordjyske uddannelsessystem for grobund for regionens fremtidige vækstiværksættere,Aalborg Universitet,"             5.861.000,00 "
,Videreudviklingen af inkubatormiljøet på AAU,Aalborg Universitet,"             5.579.552,00 "
,Innovation gennem netværk mellem erhvervskvinder fra virksomheder i landdistrikter og byområder i Vendsyssel,Frederikshavn Erhvervsråd,"                515.000,00 "
   2.2 Etab. og udvikling af nye virksomh.,Antal :,3,"           11.955.552,00 "
  I alt 2 Udvidelse af arbejdsstyrken,Antal :,5,"           23.028.827,00 "
I alt Mål 2 Socialfond Nordjylland,Antal :,26,"         177.899.353,43 "
