REGIONALFONDEN,,,
Journalnr,Projekttitel,Virksomhed,Tilsagn pr. 31.12.2009
Mål 2 Regionalfond Nordjylland,,,
  1 Innovation og viden,,,
   1.1 Innovation og videndeling,,,
,"Oplevelsesøkonomi, innovation og traditionelle erhverv",Aalborg Universitet,"                   698.446,00 "
,Siddestilling og funktionsdygtighed,Aalborg Universitet,"                1.707.217,00 "
,Rubjerg Knude - formidling af naturen gennem edutainment og sansning,Vendsyssel Historiske Museum,"                1.633.332,00 "
,Skagen Odde Interaktions Projekt [SOI],Skagen By- og Egnsmuseum,"                2.350.080,00 "
,International Arkitektur- og Byggeworkshop,Aalborg Universitet,"                   737.921,13 "
,Udvikling af en regional klynge for de kreative erhverv og oplevelsesøkonomi i Nordjylland - ID3400,Aalborg Universitet,"                4.280.403,13 "
,"Digitales II - Aktør i historien - ""det svære valg"".",Bangsbo Museum og Arkiv,"                8.000.000,00 "
,Museet som kulturøkonomisk drivkraft i yderområdet,Skagen Museum,"                2.425.000,00 "
,Toppen af Danmark som helårsturismedestination,"Destinationsselskabet ""Toppen af Danmark A/S""","                   400.000,00 "
,"Entrepreneurskab, oplevelsesøkonomi og regional udvikling",Aalborg Universitet,"                   698.446,00 "
,MoOZ - Mobile OplevelsesZoner,Aalborg Universitet,"                3.339.702,00 "
,Nordjysk H2FC center,Aalborg Universitet,"              13.735.000,00 "
,International Center for Innovation,Aalborg Universitet,"              38.582.378,00 "
,Aalborg Lufthavn – Nordjysk Testcenter for forbedret Passagerlogistik,Aalborg Lufthavn,"                   400.680,00 "
,Xhauz - et IKT-væksthus,Aalborg Universitet,"                7.407.925,00 "
,KLIMALØSNING THY / MORS,Nordisk Folkecenter for Vedvarende Energi,"                1.832.973,00 "
,Energibyen Frederikshavn,Frederikshavn Kommune,"                2.480.000,00 "
,HEAT fase 2,Cemtec Fonden,"                3.940.000,00 "
,Energi- og Miljølaboratoriet,Martec,"                4.677.106,50 "
,Fremtidens feriehus og feriehusområde. Brugerdreven udvikling af eksisterende feriehusområder og fremtidge ressorts.,Aalborg Universitet,"                1.439.634,40 "
,"Mit Nordjylland - aktiv, kreativ og tid til det gode liv",Turistudviklingsfonden Nordjylland,"              21.001.004,64 "
,Virksomheder i teknologisk udvikling (VITU),Væksthus Nordjylland,"              20.000.000,00 "
,Daisy Innovation,Aalborg Universitet,"                4.900.000,00 "
,Integration og simulering af intelligent logistik,Aalborg Universitet,"                2.676.100,00 "
,4 nye Luksus hytter,Læsø Camping & Hytteby v/Kennart Margo Vilsen,"                   450.000,00 "
,Århundredets Skipperskole,Den selvejende institution Skagen Skipperskole,"                9.700.741,00 "
,Idéklinikken - Implementering af ny innovationsstrategi på Aalborg Sygehus,Region Nordjylland,"                7.053.974,68 "
,BrainsBusiness - ICT North Denmark,Aalborg kommune,"                8.629.763,00 "
,CTIF- Globalt program for trådløs og mobil innovation,Aalborg Universitet,"              20.000.000,00 "
,Innovativt netværk for fleksibel fjernvarme,Region Aalborg Samarbejdet,"                5.604.456,00 "
,SmartCampusAAU,Aalborg Universitet,"                1.023.776,00 "
,Nordjyske fisk med oplevelse,Aalborg Universitet,"                1.497.500,00 "
   1.1 Innovation og videndeling,Antal :,32,"            203.303.559,48 "
   1.2 Etab. og udvikling af nye virksomh.,,,                                  -   
,Bretteville - digitalt HOTSPOT i Nordjylland,Aalborg kommune,"                7.480.000,00 "
,BioMed Cummunity - ID3549,Region Aalborg Samarbejdet,"                6.000.000,00 "
,Nordjysk Iværksætter Netværk,Nordjysk Iværksætter Netværk,"              10.691.134,62 "
,Vækst Iværksætter Program ViP,Væksthus Nordjylland,"              29.369.906,00 "
,Regional Lånefond,Nordjysk Lånefond under navneændring,"              30.000.000,00 "
   1.2 Etab. og udvikling af nye virksomh.,Antal :,5,"              83.541.040,62 "
   1.3 Anvendelse af ny teknologi,,,                                  -   
,Netværksplatform til kulturarvs-klynge Nordjylland,Bangsbo Museum og Arkiv,"                3.705.660,00 "
,Vidensindsamling og netværksopbygning ved distribution og afsætning af regionalt producerede fødevarer,FUNDRAISERS ApS,"                2.941.921,14 "
,CISS ConneCT,Aalborg Universitet,"                7.500.000,00 "
,Kvalitetssild i økolage,Teknologisk Institut,"                   992.500,00 "
   1.3 Anvendelse af ny teknologi,Antal :,4,"              15.140.081,14 "
  I alt 1 Innovation og viden,Antal :,41,"            301.984.681,24 "
I alt Mål 2 Regionalfond Nordjylland,Antal :,41,"            301.984.681,24 "
