"Nr.p.k.","Finansējuma saņēmējs (pilnvarotā persona)","Finansējuma saņēmēja pilnvarotās personas juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","KF finansējums ","Priv.finans","Projekta īstenošanas laiks (mēn.)"
1,"AS ""Rēzeknes siltumtīkli""","Rīgas iela1, Rēzekne, LV-4601","Centralizētās siltumapgādes ražošanas efektivitātes paaugstināšana Rēzeknes pilsētas Ziemeļu rajona katlu mājā","Atbrīvošanas aleja 155a, Rēzekne, LV-4","26.08.2009","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","Rēzeknes pilsētas Ziemeļu katlu mājas efektivitātes paaugstināšana. 
Kopš 1964. gada Rēzeknes pilsētas siltumapgādes veids ir centralizētā siltumapgāde, kuru piegādā no jaudīgiem siltuma avotiem. Siltumenerģijas ražošanu veic akciju sabiedrība „Rēzeknes Siltumtīkli”. Pilsētas centralizētā siltumapgāde notiek trijos autonomos siltumapgādes rajonos – centrālajā, ziemeļu un dienvidu. Siltumenerģijas ražošanu nodrošina 3 katlumājas:
1) Rīgas ielā 1/N.Rancāna ielā 5 – pilsētas centrālajā daļā;
2) Atbrīvošanas alejā 155/1 – pilsētas ziemeļu rajonā;
3) Meža ielā 1/2 – pilsētas dienvidu rajonā.
Kopējā uzstādītā siltuma jauda visās trīs Rēzeknes pilsētas katlu mājās ir 406 MW. Kopš 2005./2006.gada apkures sezonā Rēzeknes siltumtīklu centrāles apkurei izmanto videi draudzīgo-mazāk sēra satura saturošo dabas gāzi. Tomēr, pārejot no mazuta apkures uz gāzi, nav veikta centralizētās siltumapgādes sistēmas modernizācija. Ir nepieciešamas investīcijas iekārtu iegādēm, apkures katlu nomaiņai. 2008./2009.gada apkures sezonā ir gazificēta pilsētas dienvidu rajona katlu māja, par uzņēmuma līdzekļiem nomainot siltuma ražošanas tehnoloģijas.
Šis projekts attiecas uz Rēzeknes pilsētas Ziemeļu rajona katlu māju, kuras tehniskais stāvoklis apkures sezonā sagādā visvairāk problēmu gan akciju sabiedrībai „Rēzeknes Siltumtīkli”, gan siltumenerģijas patērētājiem.
Būtiskākās problēmas ir Ziemeļu katlu mājas zemā energoefektivitāte, slodzēm neatbilstošas, nolietotas, neefektīvas un videi nedraudzīgas siltumenerģijas ražošanas tehnoloģijas, neapmierinoša siltumenerģijas pakalpojumu kvalitāte un pieejamība. 
Projekts paredz modernizēt tehnoloģiski vecāko - pilsētas Ziemeļu rajona katlu māju, uzstādīt siltumavotus ar augstu lietderības koeficientu un darbībā drošus. Iekārtas tiks uzstādītas uzņēmuma ražotnes telpās. 
Projekta aktivitātes:
1. Iepirkuma dokumentācijas sagatavošana, konkursa izsludināšana ziemeļu katlu mājas rekonstrukcijai un tehnoloģisko iekārtu iegādei, būvuzraudzībai, autoruzraudzībai, konkursa izvērtēšana un līgumu slēgšana.
2. Ziemeļu katlu mājas rekonstrukcija.
3. Tehnoloģisko iekārtu iegāde un uzstādīšana.
4. Objekta pieņemšana ekspluatācijā.
5. Projekta publicitāte.
Projekta rezultātā tiks uzstādīti divi ūdenssildāmie katli, katrs ar jaudu 12 600 kW. Kopējā siltumenerģijas ražošanas jauda būs 25 kW. Tiks rekonstruēta Ziemeļu katlu māja. Aprīkojums ar ekonomaizeriem paaugstinās katlu tehnoloģisko iekārtu efektivitāti. Ziemeļu katlu mājā tiks nomainīta novecojusī infrastruktūra pret efektīvām tehnoloģiskajām iekārtām. Līdz ar to siltumenerģijas ražošanas efektivitāte rekonstruētajā siltumavotā būs 87 %, tagad pilsētas Ziemeļu katlu mājā tā ir 73 %.
Projekta mērķa grupa ir Rēzeknes pilsētas ziemeļu mikrorajona siltumenerģijas lietotāji – iedzīvotāji – 73 daudzdzīvokļu mājas, 10 pašvaldības un valsts iestādes, 10 komercsabiedrības (70% – dzīvojamais fonds; 20% – budžeta iestādes; 10% – pārējie patērētāji). Projekts atbilst programmas mērķiem paaugstināt siltumenerģijas ražošanas efektivitāti, kā arī tas atbilst Rēzeknes pilsētas integrētās attīstības programmas 2008 - 2013 prioritātei „Pilsētvides infrastruktūra” uzdevumam „Pilsētas tehniskās infrastruktūras modernizācija” un Rēzeknes pilsētas siltumapgādes attīstības stratēģija 2007– 2013 gadiem mērķiem - centralizēta, efektīva, uz patērētāju orientēta, visām sociālajām grupām pieejama, ekonomiska un droša pilsētas siltumapgādes sistēma, kurā kā pamatkurināmais tiek izmantota dabas gāze. 
Projekta kopējās izmaksas ir 1 858 791,53 LVL. No tām attiecināmās izmaksas sastāda 1 535 191,35 Eiropas Savienības Kohēzijas fonda finansējuma intensitāte 40% no kopējām attiecināmajām izmaksām sastāda 614 076,54 LVL.
Projekta īstenošanas termiņš ir 12 mēneši, sākot no 2009.gada 01.oktobra.
","1 535 191.35","614 076.54","921 114.81",12
2,"AS ""Rīgas siltums""","Cēsu iela 3a, Rīga, LV-1012","Siltumtīklu maģistrāles M-14 rekonstrukcija posmā no k-14-5a līdz K-14-15","Gaujas iela - no Ķīšezera, Vairogu un Gaujas ielu , Rīga, LV-1012","26.08.2009","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","AS „RĪGAS SILTUMS” ir galvenais siltumenerģijas piegādātājs Rīgas pilsētai. Uzņēmums pārvada un sadala 76% no visas Rīgas pilsētai nepieciešamās siltumenerģijas. Lielākā daļa no tās tiek izmantota dzīvojamo māju apkurei un karstā ūdens sagatavošanai. Uzņēmuma darbība balstīta uz kvalitatīvu, mūsdienu prasībām atbilstošu pakalpojumu sniegšanu centralizētās siltumapgādes jomā, ar mērķi paaugstināt visas centralizētās siltumapgādes sistēmas efektivitāti un drošību, nodrošinot nepārtrauktu siltumenerģijas piegādi un samazinot siltumenerģijas zudumus.
Viens no galvenajiem centralizētās siltumapgādes elementiem ir maģistrālie un sadales siltumtīkli. Lai nodrošinātu centralizētās siltumapgādes sistēmas drošu darbību, tā jāuztur labā tehniskā stāvoklī. Tieši no siltumtīklu un to elementu tehniskā stāvokļa ir atkarīga centralizētās siltumapgādes efektīva darbība un drošība. Tomēr atsevišķu siltumtīklu posmu sliktā tehniskā stāvokļa dēļ rodas paaugstināti siltumenerģijas zudumi.
Lai nodrošinātu centralizētās siltumapgādes sistēmas efektīvu darbību,  uzņēmums regulāri uzrauga siltumtīklu tehnisko stāvokli ar sekojošām diagnostikas metodēm: siltumtīklu hidrauliskās pārbaudes, siltumtīklu pārbaude uz aprēķina temperatūru, bezkanāla siltumtīklu avārijas signalizācijas kontrole, aerotermogrāfijas metode un siltumtīklu vizuālā apsekošana. Izmantojot  aerotermogrāfijas metodi, ir iespējams noteikt zemes virsmas temperatūras sadalījumu, pārveidojot objektu izstaroto infrasarkano starojumu krāsu attēlā, kas ļauj vizuāli vērot iespējamo siltuma zudumu palielinājumu vai siltumnesēja noplūdes atsevišķos siltumtīklu posmos. Tas dod iespēju racionālāk izmantot finanšu līdzekļus, iekļaujot remontu darbu plānā siltumtīklu posmus, kuru nomaiņa, pamatojoties uz aerotermogrāfijas metodi, nepieciešama prioritāri.
Balstoties uz tehniskās komisijas lēmumu par siltumtīklu maģistrāles M-14 posma no K-14-5a līdz K-14-15 neapmierinošo tehnisko stāvokli, uzņēmuma valdē tika lemts par tās rekonstrukciju, piesaistot Eiropas Savienības Kohēzijas fonda līdzekļus. Tika ņemta vērā maģistrāles M-14 nozīmība, jo tā ir viena no trim TEC-1 pievienotām maģistrālēm, un tā nodrošina ar siltumenerģiju vairāk nekā 800 siltumenerģijas patērētājus Sarkandaugavas, Vecrīgas, Skanstes un Eksporta ielu rajonā. No kopējās TEC-1 saražotās siltumenerģijas, pa M-14 tiek pārvadīts vairāk nekā 40% siltumenerģijas. Taču siltumtīklu ekspluatācijas laikā cauruļvadi ir korodējuši un siltumizolācija ir nolietojusies, kas rada lielus siltumenerģijas zudumus. Šajā siltumtīklu posmā ir bijušas arī vairākas avārijas, kuru rezultātā, lai nodrošinātu siltumenerģijas piegādi ievērojamam daudzumam siltumenerģijas patērētāju maģistrāles M-14 zonā, bija nepieciešams veikt daudzus sarežģītus pārslēgumus un iedarbināt pārsūknēšanas sūkņu staciju PSS-3.
Apkopojot visu informāciju, tika pieņemts lēmums par siltumtīklu maģistrāles M-14 rekonstrukciju posmā no K-14-5a līdz K-14-15, pilnībā nomainot vecos, apakšzemes dzelzsbetona kanālos izvietotos, savu mūžu nokalpojušos cauruļvadus ar jauniem, kurus paredzēts izbūvēt bezkanāla tehnoloģijā, izmantojot mūsdienīgus, rūpnieciski izolētus cauruļvadus, kuriem ir daudz mazāki siltumenerģijas zudumi, tie ir aprīkoti ar īpašu signalizācijas sistēmu, kas ļauj ātri un precīzi konstatēt bojājuma vietu, tiem ir zemākas ekspluatācijas izmaksas un ilgāks ekspluatācijas laiks. 
 Īstenojot šo projektu, plānots veikt sekojošas aktivitātes:
1. esošā siltumtīkla maģistrāles posma un ceļa seguma demontāža;                                       
2. jauna siltumtīkla maģistrāles posma izbūve;
3. teritorijas sakārtošana un ceļu seguma atjaunošana pēc būvdarbu pabeigšanas.
Pēc projekta pabeigšanas tiem Rīgas pilsētas labā krasta siltumenerģijas lietotājiem, kuru mājas pieslēgtas šai maģistrālei – gan iedzīvotājiem, gan valsts un pašvaldības iestādēm un uzņēmumiem, tiks nodrošināta atbilstošas kvalitātes siltumapgādes pakalpojuma saņemšana, kā arī panākts siltumenerģijas zudumu samazinājums.
Tā kā projekta izmaksas sasniedz gandrīz 3 miljonus, un, ņemot vērā uzņēmuma finanšu resursu ierobežotās iespējas, aktuāls ir Eiropas Savienības Kohēzijas fonda līdzfinansējuma atbalsts. 
Ievērojot Eiropas Savienības prasības publicitātes pasākumu un vizuālās identitātes nodrošināšanā, plānoti sekojoši publicitātes pasākumi:
1. informācijas stenda uzstādīšana
2. sadaļas izveide uzņēmuma mājas lapā http://www.rs.lv
3. informācijas sniegšana masu medijiem.
","2 416 290.00","604 072.50","1 812 217.50",12
3,"AS ""Rīgas Siltums""","Cēsu iela 3a, Rīga, LV-1013","Ūdenssildāmo katlu nomaiņa SC „Vecmīlgrāvis""","Atlantijas iela 51, Vidzemes priekšpilsēta, Rīga, LV-1021","26.08.2010","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","AS „RĪGAS SILTUMS” ir galvenais siltumenerģijas piegādātājs Rīgai un lielākais siltumenerģijas ražotājs pēc AS „Latvenergo” siltumavotiem TEC-1 un TEC-2. Siltumenerģija tiek ražota 42 siltumavotos ar jaudu 0,1MW līdz 402MW. 
Siltumcentrāle „Vecmīlgrāvis” ir nodota ekspluatācijā 1979.-80. gados Rīgas pilsētas Vecmīlgrāvja rajona dzīvojamo ēku un rūpniecības uzņēmumu siltumapgādes nodrošināšanai. Pašlaik SC siltuma jauda ir 157 MW, un tā saražo līdz 155 000MWh siltumenerģijas gadā. 
Ēku un siltumcentrāles teritorijas zemes gabalu īpašnieks ir AS „RĪGAS SILTUMS”.
Siltumcentrālē ir uzstādīti 2 ūdenssildāmie katli: KVGM-100 un PTVM-30 ar jaudām 116 MW un 41MW. Kurināmais – dabasgāze, avārijas kurināmais ir dīzeļdegviela. Katli ir fiziski un morāli nolietoti, katlu jauda ir nesamērīgi augsta, salīdzinot ar faktisko noslodzi (siltumslodze 47,2 MW pie ārgaisa aprēķina temperatūras - 20,7°C), kas paaugstina ekspluatācijas izmaksas un apgrūtina stabilu darbu vasaras periodā. 
Lai paaugstinātu siltumcentrāles darbības drošību un efektivitāti ir paredzēta esošo novecojušo ūdenssildāmo katlu nomaiņa pret jauniem, moderniem, mazākas jaudas automatizētiem ūdenssildāmiem katliem 2 etapos:
1) 2009.gadā uzstādot biokurināmā koksnes šķeldas katlus ar jaudu 2x7MW, izbūvējot kurināmā noliktavu un padeves sistēmu, darbus veicot par AS „RĪGAS SILTUMS” līdzekļiem neizmantojot ES līdzfinansējumu;
2) 2010.gadā uzstādot automatizētus ūdenssildāmos katlus, kas paredzēti darbam ar dabasgāzi un šķidro kurināmo ar kopējo jaudu līdz 50MW, izmantojot ES līdzfinansējumu saskaņā ar 3.5.2.1.aktivitāti „Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai”.
          Pēc projekta realizācijas paredzēts, ka biokurināmā katli darbosies bāzes slodzē un automatizētie ūdenssildāmie katli, kas paredzēti darbam ar dabasgāzi un šķidro kurināmo, darbosies apkures periodā, regulējot kopējo siltumcentrāles siltumslodzi automātiskā režīmā atkarībā no ārgaisa temperatūras un karstā ūdens patēriņa. Šo katlu jauda ir izvēlēta pietiekoša, lai nodrošinātu stabilu siltumenerģijas ražošanu ziemas perioda aukstākajos mēnešos atbilstoši jaudas rezervēšanas kritērijiem.
Otrā etapa projekta realizācija ietver sekojošus pasākumus:
1. Ēkas sagatavošanas darbi.
3.Trīs ūdenssildāmo katlu ar kondensācijas ekonomaizeriem uzstādīšana.
4. Dūmeņa uzstādīšana.
5. Pieslēgumu infrastruktūras izbūve.
6. Palaišana, ieregulēšana un nodošana ekspluatācijā.
Jaunu katlu uzstādīšanu otrajā etapā paredzēts veikt blakus katlu ēkai esošā ūdens ķīmiskās attīrīšanas ēkā, kurā pēc iepriekšējos gados veiktās veco iekārtu demontāžas un kompaktu automātisko ūdens sagatavošanas iekārtu uzstādīšanas ir pietiekoši daudz vietas šim mērķim. Šāda vietas izvēle ļaus veikt jaunu katlu uzstādīšanu, pieļaujot tikai īslaicīgus ražošanas pārtraukumus, un nesagādās neērtības Vecmīlgrāvja iedzīvotājiem.","1 248 846.13","374 653.84","874 192.29",12
4,"SIA ""Limbažu siltums""","Sporta iela 10, Limbaži, Limbažu novads, LV-4001","Siltumpārvades efektivitātes paaugstināšana Limbažu centralizētās siltumapgādes sistēmā","Pasta ielas un Jaunās ielas rajonos, Limbaži, Limbažu novads, LV-4001","01.09.2009","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","Projekta ietvaros paredzēts samazināt siltuma zudumus pārvadē, nomainot daļu maģistrālās siltumtrases (987 m), un likvidējot 4 cauruļu sistēmu 2 pilsētas rajonos - Pasta ielas un Jaunās ielas rajonos Tiks nomainīts 7000 m trases, tai skaitā ap 5600 m tiks izbūvētas bezkanālu siltumtrases un izbūvēti 48 siltummezgli (Jaunā 11 CSM rajonā 19 siltummezgli, Pasta 9 CSM rajonā 29 siltummezgli, kā arī 3192 m trases Jaunatnes ielas 6 rajonā.","1 807 180.95","704 800.57","1 102 380.38",24
5,"SIA ""Liepājas enerģija""","Ludviķa iela 15, Liepāja, LV-3401","Centralizēto siltumenerģijas pārvades un sadales tīklu rekonstrukcija Liepājā","Liepājas pilsēta, Liepāja, LV-3401","26.08.2009","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","Projekta ietvaros paredzēts veikt Liepājas pilsētas maģistrālo siltumtrašu rekonstrukciju, aizstājot vecās novecojušās siltumtrases ar jaunām 2. sērijas rūpnieciski siltumizolētām caurulēm. Paredzams, ka projekta laikā tiks nomainīti 17 siltumtrašu posmi, kas sastāda gandrīz 60% no pilsētas maģistrālo trašu kopgaruma.
Projektu paredzēts realizēt 24 mēnešu laikā darbus uzsākot 2010. gada pavasarī pēc apkures sezonas beigām, atbilstoši būvniecības sezonas sākumam.","6 388 670.94","2 999 999.00","3 388 671.94",24
6,"SIA ""Cesvaines siltums""","Veidenbauma iela 18, Cesvaine, Cesvaines novads, LV-4871","Siltumtrases rekonstrukcija un siltummezglu izbūve Cesvaines pilsētā, Madonas rajonā","Cesvaines pilsētā esošās siltumtrases vietā, Cesvaine, Cesvaines novads, LV-4871","26.08.2009","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","Projekta ietvaros ir paredzēts veikt esošo fiziski un morāli novecojušo siltumtīklu rekonstrukciju. Siltumtīklu rekonstrukcijas gaitā visas 30 un vairāk gadus kalpojušās siltumtīklu caurules tiks nomainītas ar jaunām – rūpnieciski izolētām. Saskaņā ar siltumtrases rekonstrukcijas tehnisko projektu, cauruļu diametri tiks noteikti atbilstoši patērētāju siltumenerģijas patēriņa slodzēm. Projekta īstenošanas gaitā paredzēts izbūvēt siltummezglus. Tas ne tikai optimizēs centralizēto siltumapgādi, bet arī dos iespēju patērētājus centralizēti apgādāt ar karsto ūdeni, kas līdz šim nebija iespējams.","265 668.29","106 267.32","159 400.97",24
7,"SIA ""Tukuma siltums""","Asteru iela 6, Tukums, Tukuma novads, LV-3101","Centrālās katlu mājas rekonstrukcija Tukuma pilsētā","Asteru iela 6, Tukums, Tukuma novads, LV-3101","26.08.2009","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","Projekta „Centrālās katlu mājas rekonstrukcija Tukuma pilsētā” ietvaros SIA Tukuma siltums veiks centrālo katlu mājas rekonstrukciju Asteru ielā 6. Projekta rezultātā tiks būtiski paaugstināta siltumenerģijas ražošanas efektivitāte un sekmēta fosilā kurināmā veidu aizvietošana ar atjaunojamiem energoresursiem.
Projekta ietvaros tiks piebūvēta katlu mājas jauns korpuss ar diviem koksnes sadedzināšanas katliem (5 MW + 5 MW). Šāds risinājums nodrošinās katlu māju ar kopēju siltuma jaudu 20 MW, kur kā kurināmais tiks izmantotas skaidas/šķeldas.
Projekta īstenošanas rezultātā sagaidāms kurināmā patēriņa samazinājums par 9 271,78 MWh un SIA Tukuma siltums varēs atteikties no mazutu katlu izmantošanas.
Projekta kopējas izmaksas ir 2 678 458,89 Ls, tai skaitā 1 106 801,19 Ls Eiropas Savienības Kohēzijas fonda līdzfinansējums. Projekta plānotais īstenošanas termiņš ir 16 mēneši.","2 213 602.39","1 007 262.48","1 206 339.91",16
"8.","SIA ""Kuldīgas siltumtīkli""","Planīcas iela 4, Kuldīga, Kuldīgas novads, LV-3301","Siltumtrases būvniecība Stacijas ielā - Sūru ielā, Kuldīgā","Stacijas iela - Sūru iela, Kuldīga, Kuldīgas novads, LV-330","26.08.2009","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","Projekta mērķis ir vides infrastruktūras un videi draudzīgas enerģētikas pielietošana Kuldīgas siltumapgādes sistēmā veicināšana, veicot pasākumus centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai.
Projekta ietvaros paredzēts izbūvēt aptuveni 1700m divcauruļu rūpnieciski izolēto maģistrālo siltumtrasi no projektējamās katlumājas Stacijas ielā 6, pa Sūru ielu, līdz pieslēguma vietai esošam siltumtīklam Mucenieku ielā 6. Izbūvējot šo siltumtrasi paredzēts pieslēgt centralizētajai siltumapgādei trīs jaunus patērētājus, kuri saņem siltumenerģiju no lokālām katlumājām. 
 Projekta uzdevums tiks izpildīts, īstenojot sekojošās aktivitātes:
 1. Tehniskā projekta izstrāde;
 2. Iepirkumu konkursa rīkošana par būvdarbu veikšanu, rezultātu izvērtēšana;
 3. Līgumu slēgšana par autoruzraudzību, būvuzraudzību, būvniecību;
 4. Siltumtrašu būvniecība (materiālu piegāde, montāža, zemes darbi – trašu atrakšana, aizrakšana, nokopšanas darbi, siltumtrašu testēšana un nodošana ekspluatācijā).
Atsevišķi tiks nodrošināta neatkarīga autoruzraudzība un būvuzraudzība. Projekta ieviešanas laikā tiks veikta nepārtraukta projekta vadība, uzraudzība, rezultātu analīze, pārbaude un ziņojumu iesniegšana kā arī publicitātes aktivitātes.
Projekta plānotās kopējās izmaksas ir  350 000 (ar PVN), 40 % no tām sastāda Kohēzijas fonda finansējums.
Projekta mērķauditorija:
Kuldīgas pašvaldība, kuras teritorijā tiks uzlabota vides infrastruktūra, izbūvējot jaunas trases;
Pašvaldības uzņēmums SIA „Kuldīgas siltumtīkli”, kas nodrošina centralizēto siltumapgādi pilsētā;
Kuldīgas pilsētas iedzīvotāji, uzņēmumi, valsts un pašvaldības iestādes, kas ir centralizētas siltumapgādes patērētāji un kas pēc jaunu siltumtīklu izbūves iegūs vairāk pieejamu centralizētās siltumapgādes pakalpojumu pilsētas DA daļā;
Potenciālie Kuldīgas centralizētās siltumapgādes klienti, kuriem pēc jaunu siltumtrašu izbūves būs iespējams pieslēgties centralizētajai siltumapgādei.","289 256.20","115 702.48","173 553.72",12
"9. ","SIA ""VTU Valmiera""","Brandeļi, Kocēnu pagasts, Valmieras novads, LV-4220","Siltumpārvades efektivitātes paaugstināšana SIA ""VTU Valmiera"" siltumapgādes sistēmā","Brandeļi, Kocēnu pagasts, Valmieras novads, LV-4220","26.08.2009","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","Projekta ietvaros mainīt un optimizēt SIA ""VTU Valmiera"" siltumapgādes sistēmas siltumtrases. Paredzēts nomainīt tarses kanālos un virszemes siltumtrases uz bezkanālu siltumtrasēm, pielietojot  rūpnieciski izolētas caurules ap 1.02km trases. Patērētājiem paredzēts uzstādīt 10 automatizētos siltummezglus.","143 235.78","54 429.60","88 806.18",24
"10. ","SIA ""VTU Valmiera""","Brandeļi, Kocēnu pagasts, Valmieras novads, LV-4221","Jaunu šķeldas katlu uzstādīšana SIA ""VTU Valmiera"" katlu mājā","Brandeļi, Kocēnu pagasts, Valmieras novads, LV-4220","26.08.2009","Pasākumi centralizētās siltumapgādes sistēmu efektivitātes paaugstināšanai","Projekta ietvaros paredzēts Valmieras VTU katlu mājā uzstādīt jaunas, ar šķeldu
kurināmas katlu iekārtas ar apsaisti un kurināmā padeves līniju, nomainot veco
tvaika katlu DKBR 4/13 ar priekškurtuvi. ","185 458.99","70 474.42","114 984.57",12
