"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ERAF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
1,"Ventspils pilsētas dome","Jūras iela 36, Ventspils, LV-3601",,"Izglītības iestāžu informatizācija Ventspils pilsētā","Kurzeme, ",14/10/2009,"Projekta ietvaros 9 Ventspils pilsētas skolas tiks apgādātas ar 83 stacionārajiem un 12 portatīvajiem datoriem, iegādāti 5 multimediju tehnikas komplekti (5 interaktīvās tāfeles un 5 projektori), kā arī attīstīti 8 lokālie datortīkli. Līdz ar to Ventspils 2. vidusskola, Ventspils 4.vidusskola, Ventspils 5. vidusskola, Ventspils 6. vidusskola, Ventspils 1. ģimnāzija, Ventspils 1.pamatskola, Ventspils 2. pamatskola, Ventspils Vakara vidusskola, Ventspils Centra pamatskola tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un objektīvāku IKT izmantošanu izglītības iestādēs, tādejādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošu lokālo tīklu. Projektu plānots ieviest laika posmā no 2009. gada 1. maija līdz 2010. gada 31. augustam.",82487.56,70114.42,12373.14,16
2,"Valmieras pilsētas pašvaldība","Lāčplēša iela 2, Valmiera, LV-4201",,"Valmieras pilsētas skolu informatizācija","Vidzeme, ",14/10/2009,"Projekta ietvaros 8 Valmieras pilsētas skolas tiks apgādātas ar 254 stacionārajiem un 8 portatīvajiem datoriem, iegādāti 3 multimediju tehnikas komplekti (3 interaktīvās tāfeles un 3 projektori), ka arī attīstīti 7 lokālie datortīkli. Līdz ar to, Valmieras Pārgaujas pamatskola (4 portatīvie datori, 42 stacionārie datori, 1 multimediju tehnika un 1 lokālais tīkls), Valmieras Pārgaujas ģimnāzija (63 stacionārie datori un 1 lokālais tīkls), Valmieras pamatskola (2 portatīvie datori, 30 stacionārie datori, 1 multimediju tehnika un 1 lokālais tīkls), Valmieras Vakara (maiņu) vidusskola (5 stacionārie datori un 1 lokālais tīkls), Valmieras Valsts ģimnāzija (38 stacionārie datori un 1 lokālais tīkls), Valmieras Viestura vidusskola (46 stacionārie datori un 1 lokālais tīkls), Valmieras 5.vidusskola (30 stacionārie datori un 1 lokālais tīkls) un Valmieras Mākslas vidusskola (2 portatīvie datori un 1 multimediju tehnika) tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izglītības iestādēs izveidotajos lokālajos tīklos. Projekta ietvaros attīstītie lokālie tīkli tiks savienoti ar skolās jau esošajiem lokālajiem tīkliem.
",194400.37,165240.3,29160.07,18
3,"Rīgas domes Izglītības, jaunatnes un sporta departaments","Hanzas iela 7, Rīga, LV-1045",,"Rīgas pilsētas vispārizglītojošo skolu informatizācija","Rīga, ",14/10/2009,"Projekta ietvaros Rīgas pilsētas vispārizglītojošās skolas tiks apgādāta ar 3688 stacionāriem datoriem un 132 portatīvajiem datoriem, iegādāti 58 multimediju tehnikas komplekti (58 interaktīvās tāfeles un 58 projektori), kā arī tiks attīstīti 118 lokālie tīkli. Līdz ar to Rīgas skolas (skatīt projekta iesnieguma veidlapas 4.tabulu) tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks apvienots ar skolā jau esošo lokālo tīklu.
",2873256.76,2442268.24,430988.52,24
4,"Rēzeknes pilsētas dome","Atbrīvošanas aleja 93, Rēzekne, LV-4601",,"Rēzeknes pilsētas izglītības iestāžu informatizācija","Latgale, ",14/10/2009,"Projekta ietvaros 9 Rēzeknes pilsētas Izglītības iestādes tiks apgādātas ar 180 stacionārajiem un 6 portatīvajiem datoriem, tiks iegādāti 3 multimediju tehnikas komplekti, kā arī attīstīti 9 lokālie datortīkli. Tā rezultātā Rēzeknes Valsts ģimnāzija, Rēzeknes 1., 2., 3., 4., 5., 6., poļu un vakara vidusskolas tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības efektivitāti un kvalitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",140213.06,119181.09,21031.97,18
5,"Liepājas pilsētas pašvaldība","Rožu iela 6, Liepāja, LV-3401",,"Liepājas vispārizglītojošo skolu informatizācija","Kurzeme, ",14/10/2009,"Lai īstenotu projekta mērķi: izglītības iestāžu nodrošināšana ar atbilstošu, izmaksu efektīvu, drošu un uzticamu informācijas un komunikāciju tehnoloģiju infrastruktūru, uzlabojot izglītības kvalitāti un efektivitāti,17 Liepājas pilsētas izglītības iestādēs tiks iegādāti:
1. 618 stacionārie datori;
2. 21 portatīvais dators;
3. 9 multimediju tehnikas komplekti,
 par kopējo summu Ls 414 796.
Notiks:
4. 17 lokālo datortīklu attīstība, kuras rezultātā visi projektā iegādātie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā un pieslēgti jau esošajiem lokālajiem skolu tīkliem ( Ls 63 832).
Tiks nodrošināta:
5. Projekta vadība;
6. Publicitāte.
",478628,406833.8,71794.2,18
6,"Jūrmalas pilsētas dome","Jomas iela 1/5, Jūrmala, LV-2015",,"Jūrmalas pilsētas  skolu informatizācija","Rīgas reģions, ",26/11/2009,"Projekta ietvaros 11 Jūrmalas pilsētas skolas tiks apgādātas ar 16 portatīvajiem un 76 stacionārajiem  datoriem, tiks  iegādāti 9 multimediju tehnikas komplekti ( 9 interaktīvās tāfeles un 9 projektori), kā arī attīstīti 6 lokāllie datortīkli. 
Līdz ar to Jūrmalas pilsētas Lielupes vidusskola, Jūrmalas pilsētas Kauguru vidusskola, Jūrmalas pilsētas  sākumskola ""Atvase"", Jūrmalas pilsētas vakara vidusskola, Jūrmalas pilsētas Ķemeru vidusskola, Jūrmalas pilsētas Majoru pamatskola, Jūrmalas pilsētas Sākumskola ""Taurenītis"", Jūrmalas pilsētas Slokas pamatskola, Jūrmalas pilsētas Vaivaru pamatskola, Jūrmalas pilsētas Pumpuru vidusskola, Jūrmalas pilsētas Alternatīvā skola  tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs,  uzlabojot izglītības kvalitāti un efektivitāti. 
Projekta ietvaros iegādātie stacionārie datori tiks savienoti lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo tīklu.",91189.39,77510.97,13678.42,18
7,"Jelgavas pilsētas pašvaldība","Lielā iela 11, Jelgava, LV-3001",,"Izglītības iestāžu informatizācija Jelgavas pilsētā","Zemgale, ",14/10/2009,"Projekta „Izglītības iestāžu informatizācija Jelgavas pilsētā” mērķis ir uzlabot izglītības kvalitāti un efektivitāti, nodrošinot izglītības iestādes ar izmaksu efektīvu, drošu un uzticamu informācijas un komunikāciju tehnoloģiju infrastruktūru. Projekta ietvaros 9 Jelgavas pilsētas skolām tiks iegādāti 366 stacionārie, 8 portatīvie datori, iegādāti 4 multimediju tehnikas komplekti – 4 interaktīvās tāfeles un 4 projektori, kā arī attīstīti lokālie datortīkli 9 izglītības iestādēs. Projekta ietvaros katrā izglītības iestādē iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā, kas savukārt tiks savienots ar izglītības iestādē jau esošo lokālo tīklu. Līdz ar to, Jelgavas Vakara (maiņu) vidusskola, Jelgavas Valsts ģimnāzija, Jelgavas 1. ģimnāzija, Jelgavas 4. vidusskola, Jelgavas 3. pamatskola, Jelgavas 5. vidusskola, Jelgavas 6. vidusskola, Jelgavas 2. pamatskola, Jelgavas 4. pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādejādi uzlabojot izglītības kvalitāti un efektivitāti.
Projektu plānots īstenot 18 mēnešu laikā un tā kopējās izmaksas sastāda LVL 275 881,00.

",275881,234498.85,41382.15,18
8,"Jēkabpils pilsētas pašvaldība","Brīvības iela 120, Jēkabpils, LV-5201",,"Jēkabpils pilsētas pašvaldības izglītības iestāžu informatizācija","Zemgale, ",14/10/2009,"Projekta ietvaros 6 Jēkabpils pilsētas skolas tiks apgādātas ar 187 stacionārajiem un 8 portatīvajiem datoriem, tiks iegādāti 3 multimediju tehnikas komplekti - 3 interaktīvās tāfeles un 3 projektori, kā arī attīstīti 5 lokālie datortīkli. Līdz ar to, Jēkabpils pamatskola, Jēkabpils poļu pamatskola, Jēkabpils vakara vidusskola, Jēkabpils Valsts ģimnāzija, Jēkabpils 2.vidusskola un Jēkabpils 3. vidusskola tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu. ",147111,125044.35,22066.65,18
9,"Daugavpils pilsētas dome","Kr.Valdemāra iela 1, Daugavpils, LV-5401",,"Daugavpils pilsētas izglītības iestāžu informatizācija","Latgale, ",26/11/2009,"Projekta ietvaros 19 Daugavpils pilsētas skolas tiks apgādātas ar 477 stacionārajiem un 26 portatīvajiem datoriem, iegādāti 11 multimediju tehnikas komplekti (11 interaktīvās tāfeles), kā arī attīstīti 18 lokālie datortīkli. Līdz ar to,  Daugavpils Ruģelu pamatskola, Daugavpils pilsētas Centra ģimnāzija, Daugavpils Krievu vidusskola-licejs, Daugavpils 3.vidusskola, Daugavpils 5.pamatskola, Daugavpils J.Raiņa 6.vidusskola, Daugavpils 7.pamatskola, Daugavpils 8.pamatskola, Daugavpils 9.vidusskola, Daugavpils 10.vidusskola, Daugavpils 11.pamatskola, Daugavpils 12. vidusskola, Daugavpils 13.vidusskola, Daugavpils 15.vidusskola, Daugavpils 16.vidusskola, Daugavpils 17.vidusskola, Daugavpils J.Pilsudska Poļu vidusskola, Daugavpils Saskaņas pamatskola un Daugavpils Vienības pamatskola  tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.",391449.55,332732.11,58717.44,20
10,"Tērvetes novada dome","„Zelmeņi”, Tērvetes pagasts, Tērvetes novads, LV-3730",,"Tērvetes novada izglītības iestāžu informatizācija","Zemgale, ",14/10/2009,"Projekta ietvaros Tērvetes novada skolas tiks apgādātas ar 28 stacionārajiem datoriem un 8 portatīvajiem datoriem 4 multimediju tehnikas komplektiem  (4 interaktīvās tāfeles un 4 projektori), tiks izveidots 4 lokālie datortīkli. Līdz ar to uzlabosies Tērvetes novada skolu apgāde ar modernu un atbilstošu infrastruktūru, kas veicinās plašāku un aktīvāku IKT pielietojumu skolās, tādejādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti ar lokālajiem tīkliem. Projekta ietvaros izveidotie lokālie  tīkli  tiks  savienoti ar skolās jau esošajiem lokālajiem tīkliem.",37320.87,31722.73,5598.14,18
