"Finansējuma saņēmējs un tā juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprinā-šanas datums","Projekta kopējās attiecināmās izmaksas, Ls","Eiropas Savienības fonda līdz-finansējums, Ls","Nacionālais līdzfinansējums Valsts budžeta līdzekļi, Ls","Nacionālais līdzfinansējums Valsts budžeta dotācijas pašvaldībai vai pašvaldības budžeta līdzekļi, vai cits finansējums, Ls","Projekta īstenoš-anas laiks mēnešos","Aktuali-zēšanas datums"
"LR Veselības ministrija; Brīvības iela 72, Rīga, Latvija, LV-1011","1. Latvijas Ārstu biedrība;
2. Biedrība „Latvijas Māsu asociācija”;
3. Latvijas Slimnīcu biedrība; 
4. Latvijas Sarkanais Krusts; 
5. Rīgas Stradiņa universitāte;
6. Latvijas Universitāte;  
7. Rīgas 1.medicīnas koledža;
8. Liepājas Medicīnas koledža;  
9. Katastrofu medicīnas centrs; 
10. Latvijas Infektoloģijas centrs; 
11. Rīgas Psihiatrijas un narkoloģijas centrs
","Veselības aprūpes un veselības veicināšanas procesā iesaistīto institūciju personāla tālākizglītība nozares ilgtspējīgai attīstībai","Brīvības iela 72, Rīga, Latvija, LV-1011","27.08.2008.","9 186 065,00","7 808 155,25 ","1 377 909,75","-",36,"04.12.2009."
"VSIA „Bērnu psihoneiroloģiskā slimnīca „Ainaži””;
Valdemāra iela 46,
Ainaži, Limbažu rajons, Latvija,
LV-4035
","-","VSIA „Bērnu psihoneiroloģiskās slimnīcas „Ainaži”” infrastruktūras uzlabošana, paaugstinot veselības
aprūpes pakalpojumu kvalitāti un izmaksu efektivitāti
","Valdemāra iela 46, Ainaži, Limbažu rajons, Latvija,
LV-4035
","17.04.2009","1 618 000,00","1 375 300,00","242 700,00","-",17,"14.12.2009."
"SIA “Ventspils slimnīca”
Inženieru iela 60,
Ventspils, Latvija,
LV - 3601
","-","Pašvaldības SIA „Ventspils slimnīca” stacionārās veselības aprūpes infrastruktūras uzlabošana","Inženieru iela 60, Ventspils, Latvija,
LV - 3601
","17.04.2009","2 048 922,00","1 741 583,70","270 662,59","36 675,71",24,"-"
"SIA “Daugavpils reģionālā slimnīca”; Vasarnīcu iela 20, Daugavpils, LV-5417","-","„ Stacionārās veselības aprūpes infrastruktūras uzlabošana SIA “Daugavpils reģionālā slimnīca”, uzlabojot veselības aprūpes pakalpojumu kvalitāti un paaugstinot izmaksu efektivitāti ” ","Vasarnīcu iela 20, Daugavpils, LV-5417","24.04.2009.","5 266 335,00","4 476 384,75","695 682,85","94 267,40",20,"02.03.2010. "
"VSIA „Bērnu klīniskā universitātes slimnīca”; Vienības gatve 45, Rīga, LV-1004","-","„Stacionārās veselības aprūpes infrastruktūras attīstība VSIA „Bērnu klīniskā universitātes slimnīca””","1) Vienības gatve 45, Rīga, LV 1004;
2) Juglas iela 20, Rīga, LV 1079
","24.04.2009.","7 000 000,00","5 950 000,00","924 700,00","125 300,00",30,"18.01.2010"
"V/a „Latvijas Infektoloģijas centrs”; Linezera ielā 3, Rīgā, LV-1006","-","V/a „Latvijas Infektoloģijas centrs” infrastruktūras uzlabošana, paaugstinot veselības aprūpes pakalpojumu kvalitāti un izmaksu efektivitāti","Linezera iela 3, Rīgā, LV-1006","07.05.2009","1 394 029,70 ","1 184 925,24 ","209 104,46 ","-",13,"02.03.2010."
"SIA „Rēzeknes slimnīca”;
18.Novembra iela 41,  Rēzekne,  Latvija,
LV-4600
","-","Stacionārās veselības aprūpes infrastruktūras uzlabošana Rēzeknes slimnīcā, paaugstinot sniegto pakalpojumu kvalitāti un nodrošinot efektīvu izmaksu racionālo pielietojumu","18.Novembra iela 41, Rēzekne,  Latvija, 
LV-4600
","18.05.2009","2 633 168,00   ","2 238 192,80","347 841,49","47 133,71 ",24,"14.12.2009."
"SIA „Rīgas Austrumu klīniskā universitātes slimnīca”; Hipokrāta iela 2, Rīga, LV-1038 ","-","„Stacionārās veselības aprūpes infrastruktūras pilnveidošana SIA „Rīgas Austrumu klīniskā universitātes slimnīca”, veicot pasākumus veselības aprūpes pakalpojumu kvalitātes un izmaksu efektivitātes uzlabošanai, kā arī energoresursu izmantošanas efektivitātes paaugstināšanai”","1) Rīgā, Hipokrāta ielā 2;
2) Rīgā, Hipokrāta ielā 4;
3) Rīgā, Lielvārdes ielā 68/1. 
","24.04.2009.","5 000 000,00","4 250 000,00","660 500,00","89 500,00",24,"18.02.2010. "
"SIA „Vidzemes slimnīca”
Jumaras iela 195,
Valmiera, Valmieras rajons, Latvija,
LV-4201
","-","Stacionārās veselības aprūpes infrastruktūras uzlabošana Sabiedrībā ar ierobežotu atbildību „Vidzemes slimnīca”, uzlabojot un paaugstinot veselības aprūpes pakalpojumu kvalitāti un pieejamību","Jumaras iela 195,  Valmiera,  Latvija,
LV-4201
","18.05.2009","2 245 937,00","1 909 046,45","296 688,28","40 202,27",24,"-"
"SIA “Liepājas reģionālā slimnīca”
Slimnīcas iela 25, Liepāja, Latvija,
LV-3414
","-","Stacionārās veselības aprūpes infrastruktūras uzlabošana SIA “Liepājas reģionālā slimnīca” uzlabojot veselības pakalpojumu kvalitāti un paaugstinot izmaksu efektivitāti","Slimnīcas ielā 25, Liepāja, Latvija, LV-3414","18.05.2009","3 407 628,00","2 896 483,80","450 147,66","60 996,54",22,"-"
"SIA „Jēkabpils rajona centrālā slimnīca”
A.Pormaļa iela 125, Jēkabpils, Latvija,
LV-5201
","-","Stacionārās veselības aprūpes infrastruktūras uzlabošana SIA „Jēkabpils rajona centrālā slimnīca”, uzlabojot veselības aprūpes pakalpojumu kvalitāti un paaugstinot izmaksu efektivitāti","A.Pormaļa 125, Jēkabpils, Latvija, LV-5201;

Stadiona 1, Jēkabpils, Latvija, LV-5201
","22.05.2009","2 478 275,00","2 106 533,75","327 380,13","44 361,12",24,"-"
"VSIA „Paula Stradiņa klīniskās universitātes slimnīca”
Pilsoņu iela 13, Rīga, Latvija,
LV-1002
","-","Paula Stradiņa klīniskās universitātes slimnīcas infrastruktūras attīstība, uzlabojot veselības aprūpes pakalpojumu kvalitāti un izmaksu efektivitāti","Pilsoņu iela 13, Rīga, Latvija, LV-1002","22.05.2009.","5 000 000,00","4 250 000,00","660 500,00","-",36,"-"
"SIA „Kuldīgas slimnīca”
Aizputes iela 22, Kuldīga, Latvija,  
LV- 3300
","-","Stacionārās veselības infrastruktūras attīstība Kuldīgas slimnīcā","Aizputes iela 22, Kuldīga, Latvija, LV- 3300;
Pils iela 3, Aizpute, Liepājas rajons, Latvija LV- 3456
","03.06.2009.","1 394 030,00","1 184 925,50","184 151,36","-",24,"03.11.2009."
"VSIA „Nacionālais rehabilitācijas centrs „Vaivari””; Asaru prospekts 61, Jūrmala, Latvija,
LV-2008
","-","Nacionālā rehabilitācijas centra „Vaivari” infrastruktūras uzlabošana, paaugstinot veselības aprūpes pakalpojumu kvalitāti, pieejamību un izmaksu efektivitāti","Asaru prospekts 61, Jūrmala, LV-2008","29.09.2009.","2 013 599,00","1 711 559,15","302 039,85","-",24,"-"
"VSIA „Strenču psiho-neiroloģiskā slimnīca”; Valkas iela 11, Strenči, Latvija, LV-4730","-","Stacionārās veselības aprūpes infrastruktūras uzlabošana VSIA „Strenču psihoneiroloģiskā slimnīca”, uzlabojot veselības aprūpes pakalpojuma kvalitāti, efektivitāti un pieejamību","Valkas iela 11, Strenči, LV-4730","30.09.2009.","2 000 000,00","1 700 000,00","300 000,00","-",22,"04.12.2009."
