"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ERAF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
1,"Rundāles novada dome","Pilsrundāle-1,Pilsrundāle, Rundāles pagasts, Rundāles novads, LV-3921",,"Pilsrundāles vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Zemgale, ",11/05/2009,"Lai nodrošinātu izglītojamiem un citām personām ar funkcionāliem traucējumiem vispārējās izglītības pieejamību un iespēju aktīvi iesaistīties sabiedriskajā dzīvē, projekta ietvaros Pilsrundāles vidusskolā plānots veikt attiecīgos būvdarbus.
        Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Bauskas rajonā. 
        Projekta specifiskais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Bauskas rajona Rundāles pagasta Pilsrundāles vidusskolā.
        Projekta ietvaros tiks īstenotas šādas aktivitātes: 
1. Sporta zāles elektroapgaismojuma rekonstrukcija atbilstoši Eiropas apgaismojuma normām EN 12464 – 1;
2. Pirmā stāvā pašreizējā tualešu bloka pārplānošana un rekonstrukcija, paredzot  tajā tualetes izbūvi cilvēkiem ar kustību traucējumiem;
3. Centrālās ieejas mezgla pārbūve, uzbrauktuves uzbūvēšana, laukuma rekonstrukcija un labiekārtošana;
4. Pirmā stāva vestibila un ģērbtuves rekonstrukcija. 
",98392,83633,0,18
2,"Limbažu novada pašvaldība","Rīgas iela 16, Limbaži, Limbažu novads, LV-4001",,"Vispārējās vidējās izglītības iestāžu infrastruktūras uzlabošana izglītojamajiem ar funkcionālajiem traucējumiem","Rīgas reģions, ",08/06/2009,"Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros Limbažu 3.vidusskolā plānots veikt attiecīgos būvdarbus.
        Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Limbažos un Limbažu novadā. 
        Projekta specifiskais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Limbažu 3.vidusskolā Limbažos, Parka ielā 38.
        Projekta ietvaros tiks īstenota šāda aktivitāte - Vispārējās izglītības iestādes pielāgošana personām ar kustību traucējumiem.
       Projekta īstenošanas vieta – Limbažu 3.vidusskola, Limbaži, Parka ielā 38
       Plānotais kopējais projekta īstenošanas ilgums: 18 mēneši.
       Projekta plānotās attiecināmās izmaksas Ls 98 392
",98392,83633,0,18
3,"Daugavpils novada dome","Rīgas iela 2, Daugavpils, LV-5401",,"Špoģu vidusskolas pielāgošana izglītojamajiem ar kustību traucējumiem","Latgale, ",19/08/2009,"  Projekta „Špoģu vidusskolas pielāgošana izglītojamajiem ar kustību traucējumiem” vispārējais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Daugavpils rajonā.
  Projekta vispārējais mērķis - vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Daugavpils rajonā.
  Projekta specifiskais mērķis - nodrošināt Daugavpils rajona Špoģu vidusskolas pieejamību izglītojamiem un citām personām ar kustību traucējumiem.
  Projekta mērķa grupa – Špoģu vidusskolas izglītojamie un pedagogi ar kustību traucējumiem.
  Mērķa sasniegšanai tiks realizēta viena aktivitāte - vispārējās izglītības iestādes pielāgošana personām ar kustību traucējumiem.
  Projekta īstenošanas laiks – 18 mēneši, attiecināmās izmaksas – Ls 98 392.
  Projekta īstenošanas vieta – Špoģu vidusskola, Špoģu c., Višķu pag., Daugavpils raj. LV – 5481. 
",98392,83633,0,18
4,"Tukuma novada Dome","Pils iela 18, Tukums, Tukuma novads, LV-3101",,"Infrastruktūras uzlabošana izglītojamiem ar funkcionālajiem traucējumiem Zemgales vidusskolā","Rīgas reģions, ",01/04/2009,"Projekta vispārīgais mērķis. Vispārējās vidējās izglītības iestādes pieejamības veicināšana izglītojamiem ar funkcionālajiem traucējumiem Tukuma rajonā. 
Projekta specifiskais mērķis. Infrastruktūras uzlabošana Tukuma rajona Slampes pagasta Zemgales vidusskolā, nodrošinot vienādas iespējas pedagogiem un izglītojamiem ar funkcionāliem traucējumiem.
Lai efektīvi sasniegtu projekta specifisko mērķi, projekta iesniedzējs projekta ietvaros ir paredzējis sekojošu aktivitāti: „Zemgales vidusskolas infrastruktūras pielāgošana personām ar kustību traucējumiem.”
Aktivitātes ietvaros plānots veikt šādas darbības: iekšējo un ārējo durvju nomaiņa, mācību un koplietošanas telpu pielāgošana, gājēju celiņa uzlabošanas darbi.
Projekta ietvaros veicamās darbības ir vērstas uz sekojošām personām: 
1. Personām ar redzes traucējumiem;
2. Personām ar dzirdes traucējumiem;
3. Personām ar kustību traucējumiem;
4. Personām ar garīga rakstura traucējumiem.

Projekta īstenošanas vieta – Zemgales vidusskola, Slampes pagasts, Tukuma rajons, LV-3119.
Plānotais kopējais projekta īstenošanas ilgums: 12 mēneši.
Projekta plānotās attiecināmās izmaksas ir 98 392 lati.
",98392,83633,0,12
5,"Ventspils novada dome","Skolas iela 4, Ventspils, LV-3601",,"Ugāles vidusskolas infrastruktūras uzlabošana izglītojamiem ar kustību traucējumiem","Kurzeme, ",09/04/2009,"Lai nodrošinātu vispārējās vidējās izglītības iestādes pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros plānots īstenot šādu aktivitāti: Ugāles vidusskolas infrastruktūras pielāgošana personām ar kustību traucējumiem. Aktivitātes ietvaros paredzēti būvdarbi piekļūšanas skolai nodrošinājumam(gājēju celiņa un uzbrauktuves izbūve) un būvdarbi atbilstošu apstākļu nodrošināšanai skolas ēkā (paceļamās platformas ierīkošana līdz 4.stāvam un invalīdu tualetes izbūve). 
Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Ventspils rajonā.
Projekta specifiskais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Ugāles vidusskolā.
Projekta ietvaros tiks īstenota Ugāles vidusskolas pielāgošana personām ar kustību traucējumiem.
Projekta īstenošanas vieta – Ventspils rajona Ugāles vidusskola, LV-3615.
Plānotais kopējais projekta īstenošanas ilgums: 11 mēneši.
Projekta plānotās attiecināmās izmaksas Ls 98392.
",98392,83633,0,11
6,"Pļaviņu novada dome","Dzelzceļa iela 11, Pļaviņas, Aizkraukles rajons, LV-5138",,"Marijas Brimmerbergas Pļaviņu vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Zemgale, ",11/05/2009,"Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem, pedagogiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros Marijas Brimmerbergas Pļaviņu vidusskolā plānots veikt nepieciešamos būvdarbus - lifta-pacēlāja uzstādīšanu un triju tualešu pielāgošanu (katrā stāvā pa vienai).
Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Aizkraukles rajonā.
Projekta specifiskais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītotajamiem un citām personām ar funkcionāliem traucējumiem Aizkraukles rajona Marijas Brimmerbergas Pļaviņu vidusskolā.
Projekta ietvaros tiks īstenota šāda aktivitāte - Marijas Brimmerbergas Pļaviņu vidusskolas pielāgošana personām ar kustību traucējumiem.
Projekta īstenošanas vieta - Aizkraukles rajons, Pļaviņu pilsēta, Marijas Brimmerbergas Pļaviņu vidusskola, Daugavas iela 101, LV-5120.
Plānotais kopējais projekta īstenošanas ilgums: 6 mēneši.
Projekta plānotās kopējās izmaksas Ls 101257.00, attiecināmās izmaksas Ls 98392.",98392,83633,0,6
7,"Rīgas dome","Rātslaukums 1, Rīga, LV-1539",,"Vispārējo izglītības iestāžu infrastruktūras pielāgošana izglītojamajiem ar funkcionāliem traucējumiem","Rīga, ",08/06/2009,"Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Rīgā.
Projekta specifiskais mērķis ir 6 Rīgas vidusskolu (18. vakara (maiņu), 84., 45., 62., 74., 15. vidusskolas) pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem (kustību) traucējumiem.
Projekta vispārīgā un specifiskā mērķa sasniegšanai plānots pielāgot 6 Rīgas vidusskolu infrastruktūru, nodrošinot tās pieejamību cilvēkiem ar funkcionāliem traucējumiem, katrā izglītības iestādē pie ieejas izbūvējot pandusus (uzbrauktuves), veicot durvju aiļu platuma pielāgošanu, ārdurvju, iekšdurvju uzstādīšanu (nodrošinot cilvēkiem ratiņkrēslos netraucētu pārvietošanos), iekštelpu apdares darbus, grīdas klājuma ierīkošanu ar neslīdošu cieto segumu, speciālu tualešu uzstādīšanu cilvēkiem ar kustību traucējumiem, kā arī veicot liftu izbūvi, nokļūšanai visos ēku stāvos.
Projekta kopējās izmaksas plānotas 752 745 lati, t.sk. 590 352 lati veido projekta kopējās attiecināmās izmaksas, no kurām Eiropas Reģionālās attīstības fonda finansējums ir 501 798 lati (85%) un Rīgas domes līdzfinansējums 88 554 lati (15%).
Projektu plānots realizēt no 2009. gada jūnijā līdz 2010. gada novembrim – kopējais projekta īstenošanas ilgums ir 18 mēneši.
 
",590352,501798,0,18
8,"Smiltenes novada dome","Dārza iela 3, Smiltene, Valkas rajons, LV-4729",,"Smiltenes Centra vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Vidzeme, ",01/04/2009,"Projekta vispārīgais mērķis ir vispārējās vidējās izglītības iestādes pieejamības nodrošināšana izglītojamiem ar funkcionāliem traucējumiem Valkas rajonā. 
Projekta specifiskais mērķis ir Valkas rajona Smiltenes Centra vidusskolas infrastruktūras pielāgošana izglītojamiem ar funkcionāliem traucējumiem.
Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros plānots īstenot aktivitāti – Smiltenes Centra vidusskolas infrastruktūras uzlabošana personām ar funkcionāliem traucējumiem. 
Aktivitātes ietvaros tiks veikti izglītības iestādes mācību kabinetu, sanitārtehnisko mezglu, ēdnīcas, lifta un lifta platformas un citu telpu izbūves un rekonstrukcijas darbi.
Projekta īstenošanas vieta – Valkas rajona Smiltenes Centra vidusskola, Dārza iela 17, LV – 4729.
Plānotais kopējais projekta īstenošanas ilgums: 12 mēneši.
Projekta plānotās attiecināmās izmaksas ir 98 392 lati.
",98392,83633,0,12
9,"Gulbenes novada Gulbenes pilsētas pārvalde","Ābeļu iela 2, Gulbene, Gulbenes novads, LV-4401",,"Gulbenes 2.vidusskolas infrastruktūras uzlabošana izglītojamiem ar kustību traucējumiem","Vidzeme, ",01/04/2009,"     Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros projektā ietvertajā izglītības iestādē plānots veikt attiecīgos būvdarbus.
      Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Gulbenes rajonā. 
      Mērķis ir nodrošināt vispārējās izglītības iestāžu pieejamības izglītojamiem un citām personām ar funkcionāliem traucējumiem Gulbenes 2.vidusskolā.
      Projekta ietvaros tiks īstenota šāda aktivitāte - Vispārējās izglītības iestādes pielāgošana personām ar kustību traucējumiem.
      Projekta īstenošanas vieta – Gulbenes 2.vidusskola, LV- 4401.
      Plānotais kopējais projekta īstenošanas ilgums: 24 mēneši.
      Projekta plānotās attiecināmās izmaksas Ls 98 392.
",98392,83633,0,18
10,"Talsu novada pašvaldība","Kareivju iela 7, Talsi, Talsu novads, LV-3201",,"Talsu 2.vidusskolas infrastruktūras pielāgošana izglītojamajiem ar funkcionāliem traucējumiem","Kurzeme, ",22/05/2009,"Lai nodrošinātu Talsu 2. vidusskolas pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros Talsu 2.vidusskolā plānots veikt attiecīgos būvdarbus – rekonstruēt celiņu pie skolas, skolas ieejas mezglu un tualetes, kā arī paplašināt skolas klašu durvis un ailas.
Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamajiem un citām personām ar funkcionāliem traucējumiem Talsos un Talsu rajonā.
Projekta specifiskais mērķis ir Talsu 2.vidusskolas pieejamības nodrošināšana izglītojamajiem un citām personām ar funkcionāliem traucējumiem.
Projekta ietvaros tiks īstenotas šādas aktivitātes – tehniskā projekta izstrāde un  infrastruktūras pielāgošana personām ar funkcionāliem traucējumiem.
Projekta īstenošanas vieta – Talsu 2.vidusskola, Talsos, K.Mīlenbaha ielā 32, LV 3201
Plānotais projekta īstenošanas ilgums – 18 mēneši
Projekta plānotās attiecināmās izmaksas – 98392,00
",98392,83633,0,18
