"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ESF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
1,"Jaunjelgavas novada dome","Lāčplēša iela 11, Jaunjelgava, Jaunjelgavas novads, LV-5134",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Jaunjelgavas vidusskolā","Zemgale, ",10/01/2009,"Lai uzlabotu Jaunjelgavas vidusskolas materiāltehnisko bāzi, tādejādi veicinot izglītojamo un pedagogu interesi izglītības programmas apguvē, radot nepieciešamos priekšnosacījumus sekmīgai praktisko un teorētisko zināšanu iegūšanai, projektā iesaistītajai skolai dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas klasēs (turpmāk- prioritārie priekšmeti) paredzēts veikt šādas aktivitātes:
 
 1.	Telpu renovācija,
 2.	Informācijas tehnoloģiju, programmatūras un aprīkojuma iegāde un uzstādīšana,
 3.	Mēbeļu iegāde un uzstādīšana,
 4.	Mācību materiālu, bibliotēku un mācību video fondu pilnveide.",98392,83633,0,28
2,"Saldus novada pašvaldība","Striķu iela 3, Saldus, Saldus novads, LV-3801",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālas bāzes nodrošināšana Saldus pilsētas ģimnāzijā, Saldus pilsētas 2.vidusskolā un Saldus pilsētas vakara vidusskolā","Kurzeme, ",10/01/2009,"ES valstīs atbilstoši Lisabonas stratēģijas pamatnostādnēm īpaša uzmanība tiek pievērsta studējošo skaita palielināšanai nozarēs, kuras ir ļoti nepieciešamas inovācijām un zinātņu ietilpīgai ekonomikai. “Ja Eiropa grib saglabāt, vēl jo vairāk, uzlabot savu pozīciju pasaulē, sasniedzot Lisabonas mērķus, būtiski ir jāstimulē bērnu un jauniešu interese par zinātni un tehnoloģiju jau skolā” (avots – EK progresa ziņojums par Eiropas kopējiem uzdevumiem izglītībā un tālākizglītībā, 21.01.2004).Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk- prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes:
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	izglītības programmas ķīmijā īstenošanai;
 2.2.	izglītības programmas fizikā īstenošanai;
 2.3.	izglītības programmas bioloģijā īstenošanai;
 2.4.	izglītības programmas matemātikā īstenošanai;
 2.5.	izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 Renovējot mācību kabinetus, skolēniem un skolotājiem tiks radīta pievilcīga mācību vide. Mūsdienu izglītības standartu realizēšanai atbilstošas materiāltehniskās bāzes nodrošināšana paaugstinās vispārējās vidējās izglītības kvalitāti un motivēs skolēnus nākotnē izvēlēties ar dabaszinātnēm un inženierzinātnēm saistītas studiju programmas. 
 ",295176,250899,0,18
3,"Ādažu novada dome","Gaujas iela 16, Ādažu novads, Rīgas rajons, LV-2164",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Ādažu vidusskolā","Rīgas reģions, ",10/01/2009,"Projekta mērķis ir, izmantojot Darbības programmas „Infrastruktūra un pakalpojumi” 3.1.3.1. aktivitātes „Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana” sniegtas iespējas, realizēt šādas aktivitātes: 
 1.Aktivitāte. Vispārējās vidējās izglītības dabaszinību virziena un matemātikas programmu īstenošanai nepieciešamo materiāltehnisko līdzekļu un aprīkojuma iegāde uz uzstādīšana.
 Šīs aktivitātes ietvaros paredzētas sekojošas darbības:
 	Mācību kabinetu un laboratorijas telpu aprīkošana ar mēbelēm; 
 	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 -	izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 -	izglītības programmas ķīmijā īstenošanai;
 -	izglītības programmas fizikā īstenošanai;
 -	izglītības programmas bioloģijā īstenošanai;
 -	izglītības programmas matemātikā īstenošanai.
 	Mācību literatūras un izziņu literatūras iegāde.
 
  2. Aktivitāte. Vispārējās vidējās izglītības dabaszinību virziena un matemātikas kabinetu renovācijas darbi.
 Šīs aktivitātes ietvaros paredzētas sekojošas darbības:
 	Mācību literatūras un izziņu literatūras iegāde;
 	Ugunsdzēsības signalizācijas ierīkošana mācību kabinetos un laboratorijās;
 	Žalūziju ierīkošana mācību kabinetos un laboratorijās;
 	Grīdas segumu maiņa (bioloģijas un matemātikas kabineti).
 
 Augstākminēto aktivitāšu izpilde ļaus nodrošināt Ādažu vidusskolā kvalitatīvas dabaszinību (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radīt priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs.
 ",98392,83633,0,18
4,"Engures pagasta pārvalde","Jūras iela 85, Engure, Engures pagasts, Engures novads, LV-3113",,"Materiāli tehnikās bāzes pilnveide vispārējās vidējās izglītības programmu īstenošanai Tukuma rajona Engures vidusskolā","Rīgas reģions, ",21/01/2009,"      Lai nodrošinātu kvalitatīvas dabaszinātņu ķīmijas, bioloģijas, fizikas un matemātikas apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs Engures pagasta padome ir sagatavojusi projektu „ Materiāli tehniskās bāzes pilnveide vispārējās vidējās izglītības programmu īstenošanai Tukuma rajona Engures vidusskolā”.
      Projekta vispārīgais un specifiskais mērķis atbilst Valsts stratēģiskā ietvartdokumenta 320.paragrāfā norādītajam  3.darbības programmas „Infrastrutūra un pakalpojumi” 3.1.prioritātes „Infrastruktūra cilvēku kapitāla nodrošināšanai”3.1.3. pasākuma „Infrastruktūra vispārējo prasmju nodrošināšanai papildinājuma 3.1.3.1. aktivitātes „Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana”ietvaros.
 Projekta galvenais mērķis ir nodrošināt vienlīdzīgu un kvalitatīvu vispārējās vidējās izglītības tehnisko bāzi, kas ir pamats valsts ekonomiskās un sociālās dzīves līmeņa attīstībai.
    Viens no iemesliem, kas kavē skolēnu zināšanu, prasmju un iemaņu apguvi ir nepietiekams un neatbilstošs dabaszinātņu mācību kabinetu un laboratoriju aprīkojums.      Aprīkojuma trūkums nedod iespēju īstenot mūsdienu prasībām atbilstošas vispārējās izglītības programmas dabaszinātnēs un nerada skolēnos vēlmi apgūt šos mācību priekšmetus. Pēc pēdējiem statistikas datiem, tuvākajos gados valstī trūks kvalificētu darbinieku, tieši dabaszinātņu nozarēs.
     Pašlaik mūsu skolas dabaszinātņu skolotāju rīcībā esošie mācību materiāli, kabinetu aprīkojums un programmu īstenošanai nepieciešamās tehnoloģijas ierīces ir stipri nolietojušās un pēdējos desmit gados nav papildinātas. Dabaszinātņu apguvē īpaša nozīme ir speciāli aprīkotiem mācību kabinetiem, jo šo mācību satura izpratnei ir nepieciešama praktiska darbošanās un demonstrējumi.     Kabinetos nav nepieciešamais skaits datoru, videoprojektoru un citas izglītības programmu īstenošanai nepieciešamās tehnikas. Nepietiekami tiek atjaunoti laboratorijas piederumu, trauku, reaģentu un bioloģisko preparātu krājumi. Skolā ir novecojuši vizuālās uzskates materiāli un ir strauji samazinājusies skolēnu interese par eksaktajām zinātnēm.
     Realizējot Administratīvi teritoriālās reformas likumā noteikto kārtību, 2009.gadā tiks realizēta vietējo pašvaldību teritoriālā reforma, kuras mērķis ir izveidot ekonomiski attīstītas teritorijas kas nodrošinātu kvalitatīvu pakalpojumu sniegšanu iedzīvotājiem. Viens no uzdevumiem ir nodrošināt novada iedzīvotājus ar konkurētspējīgu izglītību. Apvienojoties Smārdes, Lapmežciema un Engures pagastiem tiks izveidots novads, kurā vispārējā vidējā izglītība ir iegūstama tikai Engures pagastā.
 
     Projekta realizācijas laikā ir paredzētas šādas aktivitātes:
 1.	Telpu renovācija Engures vidusskolas 4 kabinetos (pielik.Nr.1.):
 1.1.Bioloģijas kabinets,
 1.2.Fizikas kabinets,
 1.3.Ķimijas kabinets,
 1.4.Matemātikas kabinets.
       2.Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana( pielik.Nr.2):
       2.1.izveidotas 24 darbavietas darbam ar datoru prioritārajos priekšmetos;
       2.2.izglītības programmas ķīmijā īstenošanai,
       2.3.izglītības programmas fizikā īstenošanai,
       2.4. izglītības programmas bioloģijā īstenošanai,
       2.5.izglītības programmas matemātikā īstenošanai.
 Projekta realizēšanā un administratīvo jautājumu risināšanā tiek iesaistīti šādi darbinieki:
  1.Projekta vadītājs– persona ar kuru ir noslēgts uzņēmuma līgums, kura nodrošina projekta aktivitāšu īstenošanas koordinēšanu, sadarbībā ar projekta grāmatvedi veic visas ar projektu saistītās dokumentācijas sagatavošanu, iesniegšanu un sadarbību ar atbildīgo iestādi projekta realizācijā.
 2.Projekta asistents–  atbildīgs par aprīkojuma iegādi un uzstādīšanu ķīmijas, fizikas, bioloģijas un matemātikas kabinetos, mācību materiālu un mācību programmatūras iegādi, bibliotēkas mācību video fondu pilnveidi un informācijas sniegšanu projekta vadības vienībai.
 3. Iepirkuma speciālists– sagatavo iepirkuma procesam nepieciešamos dokumentus, organizē iepirkuma komisijas izveidošanu un seko to darbam, veic iepirkuma vadību un uzraudzību.
 4.Grāmatvedis– atbildīgais par projekta finansēm, veic grāmatvedības uzskaiti un sadarbībā ar projekta vadītāju sagatavo atskaites.
        Projekta īstenošanu un uzraudzību nodrošina projekta uzraudzības padome    Engures pagasta padomes priekšsēdētāja vadībā. 
 Padomē ietilpst Engures pagasta padomes priekšsēdētājs,
  Engures vidusskolas bioloģijas skolotāja, Engures mazpulku vadītāja, Tukuma rajona interešu izglītības metodiķe,
 Engures vidusskolas fizikas un matemātikas skolotājs,
 Engures pagasta padomes būvvaldes vadītāja vietnieks,
 Engures vidusskolas direktora vietnieks saimnieciskajā jomā.
 ",98392,83633,0,24
5,"Tukuma novada Dome","Pils iela 18, Tukums, Tukuma novads, LV-3101",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Zemgales vidusskolā","Rīgas reģions, ",10/01/2009,"Lai uzlabotu Zemgales vidusskolas materiāltehnisko bāzi, tādejādi veicinot izglītojamo un pedagogu interesi izglītības programmas apguvē, radot nepieciešamos priekšnosacījumus sekmīgai praktisko un teorētisko zināšanu iegūšanai, projektā iesaistītajai skolai dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas klasēs (turpmāk- prioritārie priekšmeti) paredzēts veikt šādas aktivitātes:
 1.	telpu renovācija (tikai matemātikas kabinetā),
 2.	informācijas tehnoloģiju, programmatūru un aprīkojuma iegāde un uzstādīšana,
 3.	mēbeļu iegāde un uzstādīšana,
 4.	mācību materiālu, bibliotēku un mācību video fondu pilnveide.
 ",98392,83633,0,30
6,"Baldones novada dome","""Pārupes"", Baldone, Baldones novads, LV-2125",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Baldones vidusskolā","Rīgas reģions, ",15/01/2009,"Lai uzlabotu vispārējās izglītības kvalitāti dabaszinātņu un matemātikas mācību priekšmetos Baldones pilsētā un tās lauku teritorijā, radot priekšnosacījumus zinātņu un tehnoloģiju nozaru attīstībai reģionā un Latvijā kopumā, kā arī, lai paaugstinātu vispārējās vidējās izglītības kvalitāti dabaszinātņu un matemātikas izglītības programmu īstenošanā Baldones vidusskolā, modernizējot un pilnveidojot prioritāro mācību priekšmetu kabinetus un materiāltehnisko bāzi, Baldones pilsētas dome ar lauku teritoriju no 2009. gadam līdz 2010. gadam plāno īstenot projektu  „Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Baldones vidusskolā”. 
 
 Lai sasniegtu izvirzītos mērķus, projekta ietvaros tiks īstenotas šādas aktivitātes:
 -	Projekta administrēšana;
 -	Dabaszinību kabinetu piemērošana tehnoloģiju un mācību aprīkojuma uzstādīšanai un ekspluatācijai;
 -	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 -	Informācijas un publicitātes pasākumi
 
 Mūsdienās dabaszinātņu izglītību vairs nevar balstīt uz sistemātisku, zinātniski pareizu zināšanu sniegšanu skolēniem. Tās mērķis ir dabaszinātniskās izpratnes veidošana, izkopjot augstākā līmeņa izziņas prasmes (problēmrisināšanu, kritisko domāšanu) zinātnes, tehnoloģiju, sabiedrības un vides vajadzību kontekstā. Dabaszinātniskās izziņas prasmes nav iespējams apgūt tikai vērojot vai klausoties. Priekšnosacījums ir skolēna aktīva iesaistīšanās mācību procesā. Īstenojot projektu un sasniedzot izvirzītos mērķus, Baldones vidusskola kļūtu par spēcīgu izglītības iestādi ar modernu pieejai eksakto zināšanu apguvē, kas ir būtisks fakts Latvijas tautsaimniecības attīstībā, jo tieši šīs zinātnes ekonomiskajā attīstībā sniedz vislielāko pievienoto vērtību.
 ",98392,83633,0,22
7,"Skrundas  novada pašvaldība","Raiņa iela 11,Skrunda, Skrundas novads, LV-3326",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Skrundas 1.vidusskolā","Kurzeme, ",10/01/2009,"Lai uzlabotu Skrundas 1.vidusskolas materiāltehnisko bāzi, tādejādi veicinot izglītojamo un pedagogu interesi izglītības programmas apguvē, radot nepieciešamos priekšnosacījumus sekmīgai praktisko un teorētisko zināšanu iegūšanai, projektā iesaistītajai skolai dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas klasēs (turpmāk- prioritārie priekšmeti) paredzēts veikt šādas aktivitātes:
 
 1.	Telpu renovācija,
 2.	Informācijas tehnoloģiju, programmatūras un aprīkojuma iegāde un uzstādīšana,
 3.	Mēbeļu iegāde un uzstādīšana,
 4.	Mācību materiālu, bibliotēku un mācību video fondu pilnveide.
 ",98392,83633,0,28
8,"Maltas pagasta pārvalde","Skolas iela 24, Malta, Maltas pagasts, Rēzeknes novads, LV-4630",,"Kvalitatīvas dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Maltas 2.vidusskolā","Latgale, ",10/01/2009," Projekta „Kvalitatīvas dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Maltas 2.vidusskolā”  pieteicējs Rēzeknes rajona Maltas pagasta padome.
 Projektu paredzēts realizēt Maltas pagasta pašvaldības vispārizglītojošajā iestādē- Maltas 2. vidusskolā. Skolā ir sešas akreditētas izglītības programmas, kuras realizē augsti kvalificēts pedagoģiskais personāls.
 Izglītības kvalitātes uzlabošanai skolā ir ļoti aktuāla mācību materiāli tehniskās bāzes uzlabošana un nodrošināšana atbilstoši mūsdienu prasībām. 
 Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros projektā iesaistītajai Maltas 2. vidusskolai plānots veikt šādas aktivitātes:
 
 1.	Četru telpu (bioloģijas, fizikas, ķīmijas, matemātikas kabinetu) renovācija (skat. Pielikumu Nr.3.)
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai:
 2.1.Materiāli tehniskās bāzes izveide (centralizētais iepirkums):
 2.1.1.	izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 2.1.2.	izglītības programmas ķīmijā īstenošanai;
 2.1.3.	izglītības programmas fizikā īstenošanai;
 2.1.4.	izglītības programmas bioloģijā īstenošanai;
 2.1.5.	izglītības programmas matemātikā īstenošanai;
 2.2. Nepieciešamo mēbeļu iegāde un četru prioritāro priekšmetu kabinetu aprīkošana (skat. Pielikumu Nr.2).
 ",98392,83633,0,18
9,"Vecumnieku novada dome","Rīgas iela 29, , Vecumnieku pagasts, Vecumnieku novads, LV-3933",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana
 Skaistkalnes vidusskolā
 
 ","Zemgale, ",15/01/2009,"Projekta apraksts – norādot sadalījumu pa projekta aktivitātēm un gaidāmo rezultātu : būvdarbi (renovācija - telpu piemērošanas būvdarbi tehnoloģiju un mācību aprīkojuma uzstādīšanai), materiāltehniskās bāzes nodrošināšana (iekārtu iegādes). (Informācijas apjoms – 0,5 lpp., līdz 1000 rakstu zīmēm).
 
 Projekta sagatavošanas fāzē tika veikta skolu tehniskā apsekošana. Pamatojoties uz apsekošanas datiem noskaidrots, ka skolas esošais fizikas, ķīmijas un bioloģijas kabinetu aprīkojums ir neatbilstošs kvalitatīvai dabas izglītības programmu īstenošanai Lai celtu izglītojamo kompetences līmeni, radītu interesi par dabaszinātnēm, nodrošinot kvalitatīvu izglītības programmu dabaszinātnēs īstenošanu, projekta ietvaros tiks modernizēta dabaszinātņu kabinetu materiāli tehniskā bāze (strāvas avoti, mērinstrumenti, titratori, vakuumsūkni, mikroskopi, reaģenti, mulāžas, vizuālie uzskates līdzekļi, datori, projektori un citas iekārtas, aprīkojums un tehnoloģijas). Detalizētāks nepieciešamo piederumu uzskaitījums dots 3pielikumā.
 Projekta ietvaros tiks aprīkoti un modernizēti dabaszinātņu kabineti  ar Skaistkalnes pagasta līdzfinansējumu 15 procentu apmērā .
 Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes: 
 
 1. Fizikas ,ķīmijas, bioloģijas ,matemātikas kabinetu renovācija
 1.1- telpu piemērošanas būvdarbi ;
 1.2. logu nomaiņa
 2. Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1. izveidotas 25 darba vietas darbam ar datoru prioritārajos priekšmetos
 2.2. izglītības programmas ķīmijā īstenošanai;
 2.3. izglītības programmas fizikā īstenošanai;
 2.4. izglītības programmas bioloģijā īstenošanai; 
 2.5. izglītības programmas matemātikā īstenošanai.
 3. Mācību materiālu un mācību programmatūras iegāde, kā arī bibliotēku un mācību video fondu pilnveide.
 ",98392,83633,0,20
10,"Nīgrandes pagasta pārvalde","Ventas iela 2, Nīgrandes pagasts, Saldus novads, LV-3898",,"Kvalitatīvai dabas zinātņu un matemātikas apguvei atbilstošas materiāli tehniskās bāzes nodrošināšana Kalnu vidusskolā","Kurzeme, ",15/01/2009,"  Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas Nīgrandes pagasta kalnu vidusskolā un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes:
 1.	Projekta vadība un uzraudzība;
 2.	Ķīmijas kabineta renovācija Kalnu vidusskolā.
 2.1.	Iepirkuma procedūras sagatavošana un realizēšana - apakšaktivitātes ietvaros uz līguma pamata tiks piesaistīts jurists iepirkuma procedūras veikšanai, līdz līguma ar izvēlēto pretendentu, noslēgšanai. Tiks slēgts līgums ar izvēlēto pretendentu par Kalnu vidusskolas ķīmijas klases renovāciju.
 2.2.	Ķīmijas kabineta renovācija – apakšaktivitātes ietvaros uz līguma pamata piesaistītais pretendents veiks Kalnu vidusskolas ķīmijas mācību telpas renovāciju pēc plāna (detalizētu informāciju skat. pielikumā)
 3. Dabaszinātņu un matemātikas programmām nepieciešamo iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 3.1. Vispārējās vidējās izglītības programmas ķīmijā īstenošanai;
 3.2.Vispārējās vidējās izglītības programmas bioloģijā īstenošanai;
 3.3.Vispārējās vidējās izglītības programmas fizikā īstenošanai;
 3.4.Vispārējās vidējās izglītības programmas matemātikā īstenošanai;
 3.5.Iepirkuma procedūras sagatavošana un realizēšana - apakšaktivitātes ietvaros uz līguma pamata tiks piesaistīts jurists iepirkuma procedūras veikšanai mēbeļu iegādei, līdz līguma ar izvēlēto pretendentu, noslēgšanai.
 3.6.Mēbeļu iegāde vispārējās izglītības programmu ķīmijā, bioloģijā, fizikā un matemātikā mācību darba nodrošināšanai
 
 Aktivitātes ietvaros notiks iekārtu piederumu, aprīkojuma, tehnoloģiju, mēbeļu iegāde un uzstādīšana dabaszinātņu un matemātikas apguves kvalitātes paaugstināšanai.
 4.Publicitātes pasākumi.
 Projekta laikā sabiedrība tiks informēta par projekta realizācijas gaitu un sasniegtajiem rezultātiem ar masu mediju un interneta mājas lapu starpniecību, kā arī tiks izvietotas informatīvas plāksnes Kalnu vidusskolā atbilstoši LR MK noteikumiem Nr.441, 26.07.2007.
 ",98392,83633,0,21
