"Nr.p.k.","Finansējuma saņēmējs",,"Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Bauskas novada dome",,"Uzvaras iela 1, Bauska, Bauskas novads, LV-3901","Bauskas vēsturiskā centra atjaunošana jaunu tūrisma produktu attīstībai","Bauska",18/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Projekta mērķis ir veicināt nacionālas nozīmes kultūras tūrisma produktu attīstību, nodrošināt Bauskas kā Latvijas dienvidu vārtu starptautiski atzītu kultūrvēsturisko vērtību tūrisma infrastruktūras uzlabošanu un nodrošināt Bauskas Rātsnama atjaunošanu sagaidot tā četrsimt gadi.
Projekta specifiskais mērķis ir pievērst Bauskas pilsētas vēsturisko centru no klusas vietas par aktīvu tūristu apkalpošanas centru un neaizmirstamu piedzīvojumu apmeklētājiem, iemiesojot vēsturiskās ēkas funkcijas 21.gadsimta vidē.","470,600.00","399,821.76",0,21,"-"
2,"Dobeles novada pašvaldība",,"Brīvības iela 17, Dobele, Dobeles novads, LV-3701","Vēsturiskā Tirgus laukuma rekonstrukcija Dobelē","Dobele",18/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Projekta mērķis ir rekonstruēt Dobeles pilsētas vēsturisko tirgus laukumu, kas ir neatņemama pilsētas vēsturiskā centra sastāvdaļa, un izveidot jaunu tūrisma produktu - pievilcīgu, daudzfunkcionālu Tirgus laukumu, piemērotu Latvijas un ārzemju tūristu atpūtai, komfortam, citu vēsturiskā centra apskates objektu brīvai aplūkošanai.","644,117.87","399,997.20",0,18,"-"
3,"Grobiņas novada dome",,"Lielā iela 76, Grobiņa, Grobiņas novads, LV-3430","Grobiņas pilsētas vēsturiskā centra tūrisma objektu rekonstrukcija","Grobiņa",18/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Veikt Grobiņas pilsētas vēsturiskā centra daļas Valsts nozīmes pilsētbūvniecības pieminekļu – ēkas Lielā iela 84, Pils un Dzirnavu ielas rekonstrukciju, izveidojot jaunu tūrisma produktu Grobiņas pilsētas tūristiem un nodrošinot Grobiņas pilsētas kultūras mantojuma saglabāšanu un popularizēšanu.","340,565.43","289,446.55",0,15,"-"
4,"Kandavas novada dome",,"Dārza iela 6, Kandava, Kandavas novads, LV-3120","Kandavas vecpilsētas centra daļas atjaunošana un tūrisma infrastruktūras attīstība","Kandava",21/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Projekta ""Kandavas vecpilsētas centra daļas atjaunošana un tūrisma infrastruktūras attīstība""mērķis ir veicināt Kandavas pilsētas kā tūrisma galamērķa pievilcību gan vietējā, gan starptautiskā mērogā un nodrošināt kultūrvēsturiskā mantojuma saglabāšanu, iekļaujot Kandavas vecpilsētas centra daļu kopējā pilsētas tūrisma objektu struktūrā un izceļot valsts nozīmes pilsētbūvniecības pieminekļa arhitektoniski mākslinieciskās un ainaviskās kvalitātes. Projekts paredz:
1.attīstot projekta teritoriju, kas ietver Kandavas pilsētas vēsturiskā centra vecpilsētas centra daļu, piešķirt jaunu kvalitāti pilsētbūvniecības pieminekļa Kandavas pilsētas vēsturiskais centrs nozīmīgākajiem objektiem un to savstarpējai saskaņotai telpiskai un funkcionālai izmantošanai;
2. izstrādāt jaunus tūrisma maršrutus un pielāgot tūrisma infrastruktūru |(stāvlaukums, skatu lakums, informatīvie stendi, interaktīvas norises u.c.);
Radīt jaunu pēc formas un satura jaunajam tūrisma produktam atbilstošu informatīvo piedāvājumu, pilnveidot to un saskaņot ar esošajām kultūras un sabiedriskajām aktivitātēm atbilstoši jaunizveidotā produkta mārketinga programmai;
4.izstrādāt jaunā tūrisma produkta mārketinga programmu un īstenot mārketinga pasākumus. 
Projekta kopējās attiecināmās izmaksas ir 400 00LVL, no kurām ERAF līdzfinansējuma daļa veido 65% jeb 260 000LVL .
Projekta īstenošanas rezultātā tiks radīts jauns daudzfunkcionāls tūrisma maršruts jeb taka.
","346,236.70","225,053.85",0,15,"-"
5,"Durbes novada dome",,"Parka iela 2, Lieģi, Durbes novads, LV-3447","Durbes pilsētas vēsturiskā centra ēku atjaunošana","Durbe",18/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Durbes pilsētas vēsturiskā centrā pilsētbūvniecības pieminekļa teritorijā esošo ēku saglabāšana un pielāgošana tūrisma vajadzībām, izveidojot jaunu tūrisma produktu - Durbes novada vēsturisko materiālu ekspozīciju, lai nodrošinātu Durbes novada kultūras mantojuma, īpaši baltvācu mācītāju atstātā, apzināšanu, saglabāšanu un popularizēšanu.","223,883.13","189,852.89",0,20,"-"
6,"Alūksnes novada dome",,"Dārza iela 11, Alūksne, Alūksnes novads, LV-4301","Alūksnes Jaunās pils kompleksa ēku un muižas parka objektu rekonstrukcija","Alūksne",18/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Uzlabot uz kultūrvēsturiskā mantojuma bāzes balstītu publisko tūrisma infrastruktūru, veicinot valsts nozīmes pilsētbūvniecības pieminekļa saglabāšanu, aizsardzību, ilgtspējīgu attīstību un pieejamību, veicināt kultūras tūrisma attīstību Alūksnes novadā.
Atjaunot valsts nozīmes pilsētbūvniecības pieminekļa daļu – Alūksnes Jaunās pils kompleksa ēkas un muižas parka infrastruktūru, nodrošinot objekta autentiskuma saglabāšanu tūrisma attīstībai, jauna tūrisma objektu – Apaļā torņa un Ledus pagraba ar amatniecības centru – izveidi vēsturiskajā vidē, ērtu publisko pieejamību.

","430,493.60","365,489.06",0,24,"-"
7,"Līgatnes novada dome",,"Spriņģu iela 4, Līgatne, Līgatnes novads, LV-4110","Līgatnes papīrfabrikas ciemata kultūrvēsturiskās tūrisma takas izveide","Līgatne",17/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Projekta vispārējais mērķis ir veicināt Latvijas kā tūristu galamērķa nostiprināšanos un konkurētspējas palielināšanos, radot starptautiski konkurētspējīgu un atpazīstamu tūrisma produktu piedāvājumu.
Projekta tiešais mērķis ir Līgatnes papīrfabrikas ciemata kultūrvēsturiskā centra kā nacionālās nozīmes unikāla kultūrvēsturiska objekta un kultūrvēsturiskā mantojuma, kā arī XIX –XX gadsimta industriālās vēstures pieminekļa saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai.
","616,938.72","390,090.35",0,12,"-"
8,"Limbažu novada pašvaldība",,"Rīgas iela 16, Limbaži, Limbažu novads, LV-4001","Limbažu vēsturiskā centra renovācija tūrisma attīstībai","Limbaži",18/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Projekts „Limbažu vēsturiskā centra renovācija tūrisma attīstībai” paredz rekonstruēt valsts pilsētbūvniecības pieminekļa daļu – Veco rātsnamu Burtnieku ielā 4, Limbažu pilsmuižu un pilsdrupas Burtnieku ielā7, radot kvalitatīva tūrisma produkta piedāvājumu un nodrošinot Limbažu pilsētas kultūras mantojuma saglabāšanu un popularizēšanu. Realizējot projektu tiks piedāvāti jauni tūrisma produkti: 18gs. sienu gleznojumu apskate vecajā rātsnamā, 19.gs. saimniecības ēkas un Limbažu pilsdrupu pils zemes stāva jeb 1.stāvatelpas rekonstrukcija. Projektā paredzētās aktivitātes tiks realizētas 12 mēnešu laikā un projektu plānots pabeigt 2011.gadā Kopējās projekta izmaksas 468 945 LVL , 15.01% no kopējām attiecināmajām izmaksām līdzfinansē Limbažu novada dome.","468,945.00","398,556.00",0,12,"-"
9,"Kuldīgas novada pašvaldība",,"Baznīcas iela 1, Kuldīga, Kuldīgas novads, LV-3300","Kuldīgas pilsētas dārza kā pievilcīgas tūrisma teritorijas attīstība","Kuldīga",21/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Projekta mērķis ir Kuldīgas pilsētas dārza (pils parka) kā pilsētbūvnieciskā pieminekļa „Kuldīgas pilsētas vēsturiskais centrs” daļas infrastruktūras atjaunošana, attīstība un popularizēšana, radot jaunu tūrisma produktu un sekmējot „dzīvā muzeja” kompleksa izveidi un nodrošinot:
- tā kļūšanu par vienu no galvenajiem tūrisma objektiem reģionā;
- aktīvu iekļaušanu tūrisma maršrutos;
- kvalitatīvu tūrisma produktu veidošanu uz radītās infrastruktūras bāzes;
- kultūras mantojuma atjaunošanu, saglabāšanu un popularizēšanu;
- iekļaušanos UNESCO mantojuma sarakstā.
","614,647.61","399,520.94",0,18,"-"
10,"Talsu novada pašvaldība",,"Kareivju iela 7, Talsi, Talsu novads, LV-3201","Talsu pilsētbūvniecības pieminekļa piemērošana tūrisma produkta attīstībai","Talsi",18/12/2009,"Valsts nozīmes pilsētbūvniecības pieminekļu saglabāšana, atjaunošana un infrastruktūras pielāgošana tūrisma produkta attīstībai","Vispārīgais mērķis: Vides kvalitātes un ilgtspējas palielināšana saglabājot kultūrvēsturisko mantojumu. Specifiskais mērķis: Talsu pilsētas pilsētbūvniecības pieminekļa daļas infrastruktūras rekonstrukcija (Baznīckalna atbalsta sienas Lielajā ielā, Ūdens ielas, ezera promenādes rekonstrukcija un gājēju un velo celiņu izveide), radot droša un kvalitatīva tūrisma produkta piedāvājumu un nodrošinot Talsu pilsētas kultūras mantojuma saglabāšanu un popularizēšanu.","505,734.23","399,530.04",0,24,"-"
