"Nr.p.k.","Finansējuma saņēmējs",,"Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
97,"DG Auto","SIA","Kūrmājas prospekts 30-15, Liepāja, LV-3401","SIA ""DG Auto"" darbinieku kvalifikācijas celšana","Liepāja ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Iepriekšējo gadu rezultāti ir rosinājuši īpašniekus izvērtēt iespēju par tālāku attīstību. Pašlaik uzņēmuma vadībai trūkst pietiekamu zināšanu uzņēmuma darbības un finanšu rādītāju detalizētā izpētē, lai pieņemtu tik stratēģiski svarīgu lēmumu.
Projekta ietvaros tiks realizēta apmācību programma „Uzņēmējdarbības izvērtēšana un finanšu analīze” un apmācīti – valdes priekšsēdētājs, valdes loceklis un grāmatvede, kuri arī piedalīsies lēmuma par uzņēmuma tālāko darbības virzienu pieņemšanā.
Apmācību veikšanai tika izvēlēts SIA „MLG Business Consultancy”.","7,978.00","5,903.72",0,4,
98,"Kompānija VITRUM","SIA","G. Astras 3a, Rīga, LV-1084","Apmācības SIA ""Kompānija Vitrum"" darbiniekiem konkurētspējas paaugstināšanai","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Kompānija Vitrum” piedāvātie produkti ir gastrotehnika, bāru mēbeles, veikalu iekārtas, aukstuma iekārtas, PVC logi un metāla durvis. Līdz ar firmas pakāpenisku, bet neatlaidīgu paplašināšanos un jaunu ražotņu atvēršanu, ir nepieciešamība pēc kvalitatīvas darbinieku apmācības. 
Projekta ietvaros paredzēts apmācīt 46 darbiniekus šādās programmās:
1.Personāla testēšana;
2.Laiks un prioritāte;
3.Projektu vadība;
4.Stresa situāciju vadība;
5.Izcila servisa skola;
6.Ražošanas vadība mazā un vidējā biznesā;
7.Personāla motivācija;
8.Gazifikācijas sistēmu montāžas laša profila montētāju apmācība;
9.Metinātāju apmācības.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
","40,359.80","32,287.84",0,11,"www.gastronoma.lv"
99,"Staļi","SIA","""Ķingas"", Priekuļu pagasts, Cēsu rajons, LV-4126","SIA ""Staļi"" darbinieku kvalifikācijas celšana","Priekuļu pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu tehnoloģiju ienākšana tirgū, esošā konkurence uzņēmumu vidū SIA „Staļi” rada nepieciešamību uzlobot esošo darbinieku zināšanas.
Projekta mērķis: darbinieku kvalifikācijas celšana.
 Projekta ietvaros tiks apmācīti 32 darbinieki šādās programmās: 
1.Darba drošība;
2.Darbs ar informācijas un komunikāciju tehnoloģijām.
","49,900.00","27,440.01",0,3,"www.stali.lv"
100,"FIRMA JATA","SIA","Aglonas iela 61, Preiļi, Preiļu novads, Preiļu rajons, LV-5301","SIA FIRMA JATA darbinieku kvalifikācijas celšana un pārkvalifikācija","Maltas pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis darbinieku kvalifikācijas celšana, darbinieku pārkvalifikācija un jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros plānots apmācīt 24 darbiniekus šādās programmās:
1.Nodarbināto apmācību vajadzību noteikšana;
2.Šūšanas pamati;
3.Materiālmācība;
4.Apģērbu izgatavošanas tehnoloģija;
5.Polimerizācijas darba iekārtas;
6.Darba un saimnieciskās tiesības;
7.Noslēguma zināšanu testēšana.
","19,440.00","15,552.00",0,5,
101,"Cepējs","SIA","Susējas iela 9b, Salas pagasts, Jēkabpils rajons, LV-5230","SIA ""Cepējs"" darbinieku kvalifikācijas celšana","Salas pagasts",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu tehnoloģiju ienākšana tirgū, esošā konkurence uzņēmumu vidū SIA „Cepējs” rada nepieciešamību uzlabot esošo darbinieku zināšanas gan par darbu ar IT tehnoloģijām, gan par darba drošību ražošanas dažādos etapos, gan administrācijas darbiniekiem par pārdošanas mākslu tiešā nozīmē, gan finanšu vadību.
Projekta ietvaros plānots apmācīt 14 darbiniekus šādās apmācībās: „Darbs ar informācijas un komunikāciju tehnoloģijām”, „Darba drošība”, „Darba drošības sistēmas organizēšana, kārtošana un uzlabošana (vadošajiem darbiniekiem)”, „Pārdošanas māksla”, „Finanšu vadība uzņēmuma vadošajiem darbiniekiem”, „Nodokļu optimizācija un metodes”. Projekta mērķis ir darbinieku kvalifikācijas celšana.
","34,800.00","26,096.52",0,5,"www.cepejs.lv"
102,"ALBA-LTD","SIA","Skrindu iela 17, Rēzekne, LV-4601","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai","Rēzekne ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Lai noturētu pašreizējas tirgus pozīcijas un turpinātu uzņēmuma peļņu nesošu darbību, ir nepieciešama plaša profila visu līmeņu darbinieku kvalifikācijas celšana tiešo pienākumu veikšanai. Projekta ietvaros paredzēts apmācīt 5 darbiniekus: 9 darbiniekus programmā „Vadītāja zelta kurss” (96 akadēmiskās stundas), 9 darbiniekus programmā „Telesales” (16 akadēmiskās stundas), 9 darbiniekus programmā „Pārdotprasme” (16 akadēmiskās stundas), 9 darbiniekus programmā „Izcila klientu apkalpošana” (16 akadēmiskās stundas), 46 darbiniekus programmās „Pārdošana mazumtirdzniecībā” (16 akadēmiskās stundas), „Konfliktu risināšana un stresa vadība” (16 akadēmiskās stundas), „Pārdošanas pamati” (16 akadēmiskās stundas), „Komandas piedzīvojumu nometne” (21 akadēmiskā stunda).","64,776.00","47,934.24",0,10,
103,"KMM Metāls","SIA","Baltā iela 3/9, Rīga, LV-1055","SIA ""KMM Metāls"" darbinieku apmācības kvalifikācijas celšanā un jaunu zināšanu apguvē","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „KMM Metāls” darbinieku apmācību mērķis ir darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve, tādejādi veicinot uzņēmuma konkurētspēju un sekmējot darbaspēka ražīguma pieaugumu, lai ar šīm īpašībām varētu nodrošināt efektīvu jauno iekārtu stabilu darbību.
Projekta ietvaros tiks apmācīti 32 darbinieki šādās programmās: 
1.Lēmuma pieņemšanas metodes;
2.Darbinieku darba efektīva organizēšana;
3.Vadītāja pamatfunkcijas;
4.sapulču organizēšana un vadība;
5.Uzņēmuma stratēģiskā attīstība;
6.Iekšējā komunikācijas jautājumi uzņēmumā;
7.Laika menedžments;
8.Psiholoģiskais klimats kolektīvā;
9.Vispārīgas Macintosh programmatūras un sistēmas lietošanas apmācības.
","28,881.25","23,105.00",0,6,"www.kmmetals.com"
104,"PHARMIDEA","SIA","Rūpnīcu iela 4, Olaine, Rīgas rajons, LV-2114","SIA ""PHARMIDEA"" darbinieku profesionālās kvalifikācijas celšana","Olaine ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Lai dotu savu ieguldījumu valsts stratēģijas īstenošanā, kā arī veicinātu savas zinātniskās darbības konkurētspēju starptautiskā līmenī, SIA „Pharmidea” tika izstrādāta tās darbinieku profesionālās kvalifikācijas celšanas apmācību programma, kuras ietvaros ir paredzētas 2 apmācību programmas:
1)biznesa un profesionālās angļu valodas komunikatīvais kurss,
2)industriālā farmācija un farmaceitiskā biznesa attīstība un licencēšana.
Projekta ietvaros plānots apmācīt 10 darbiniekus.
","17,001.84","10,890.65",0,22,"www.pharmidea.lv"
105,"LANIO Nekustamie Īpašumi","SIA","Aspazijas bulvāris 3, Rīga, LV-1050","Laivu ražošanas apmācības","Liepāja ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķi ir darbinieku pārkvalifikācija un jaunu zināšanu, prasmju, iemaņu apguve. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 5. Projektā paredzētās aktivitātes ir: RTM laminēšana; 3D frēzēšana; Laivu mārketings; Gala atskaites sagatavošana un iesniegšana LIAA.  ","32,358.15","25,886.52",0,5,"www.cafeopera.lv"
106,"Serviss","SIA","Lapu iela 11-41, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""Serviss"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu materiālu un tehnoloģiju ienākšana tirgū, kā arī noturīgi pieaugošais pieprasījums metāla izstrādājumu ražošanas nozarē, kā arī būvniecības tirgū kopumā, rosinājusi uzņēmu celt darbinieku kvalifikāciju, lai nodrošinātu uzņēmuma un tā darbinieku konkurētspēju.
Projekta ietvaros paredzēts apmācīt 10 darbiniekus šādās programmās:
1.Saules paneļa sienas ražošanas kurss.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
","35,658.00","28,526.40",0,6,
107,"BGF","SIA","Dzelzavas iela 51/a, Rīga, LV-1084","SIA MOTOSPORTS personāla vispārējas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „MOTOSPORTS” nodarbojas ar sporta preču mazumtirdzniecību specializētajos veikalos, saviem klientiem piedāvājot plašu sporta preču klāstu. Uzņēmuma mērķis ir attīstīt savu ražošanas nozari, piedāvājot klientiem velosipēda detaļas un piederumus.
Projekta īstenošanas ilgums – 5 mēneši. Tiks apmācīti 5 uzņēmuma darbinieki, deviņos apmācību kursos un vienā valodu apmācību kursā. Apmācību programmas: 
1.Pārdod sevi citiem: jauna pārdošanas psiholoģija;
2.Pārliecināšanas māksla;
3.Komunikācija un prezentācija;
4.10 pārdošanas likumi;
5.Profesionāla kumunikācija;
6.Līdera īpašību attīstība;
7.Komandas veidošana;
8.Krīzes situāciju vadība;
9.Finanses vadītājiem;
10.Angļu valoda.
","15,397.00","11,393.78",0,5,"www.motosports.lv"
108,"Amateks","SIA","Ganību dambis 24a, korpuss 3., Rīga, LV-1005","SIA ""Amateks"" darbinieku apmācība darba efektivitātes celšanā un kvalitātes vadībā","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
SIA „Amateks” piegādā produkciju augti attīstītiem eksporta nozares uzņēmumiem. Galvenie pasūtītāji savu darbību ir sakārtojuši saskaņā ar labākajiem kvalitātes vadības un menedžmenta standartiem. Tādēļ projekta ietvaros tiks apmācīti 10 darbinieki šādās programmās: 
1.Ražošanas efektivitātes paaugstināšanas metode „5S”;
2.Kvalitātes vadības sistēmas vadītāja kurss;
3.Iekšējā auditora praktiskās apmācības;
4.Stratēģijas izstrāde;
5.Kvalitātes vadība.
","9,961.82","7,969.46",0,4,"www.amateks.lv"
109,"BPI","SIA","Meliorācijas iela 1, Ozolnieku pagasts, Ozolnieku novads, Jelgavas rajons, LV-3018","SIA ""BPI"" darbinieku kvalifikācijas celšana","Ozolnieku pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Pieaugošā konkurence uzņēmumu vidū rada nepieciešamību SIA „PREMIER GRUPA” uzlabot esošo darbinieku zināšanas gan par darba drošību saņemot norādījumus un instruktāžu darba aizsardzībā, kas attiecas uz katra darbinieka darba vietu un darba veikšanu, gan par IT sistēmu pielietošanu ikdienas darbā, gan par autovadītājiem un apkalpes locekļiem par darba un atpūtas organizāciju.
Projekta ietvaros plānots apmācīt 27 darbiniekus šādās programmās: „Darbs ar informācijas un komunikāciju tehnoloģijām”, „Darba drošība”, „Autotransporta līdzekļu vadītāju un apkalpes locekļu darba un atpūtas organizācija”. Projekta mērķis ir darbinieku kvalifikācijas celšana.
","39,450.00","29,189.06",0,3,
110,"AUTOFAVORĪTS","SIA","Valgales iela 2a, Rīga, LV-1029","SIA ""Autofavorīts"" darbinieku kvalifikācijas līmeņa celšana, ieviešot inovatīvus sistēmtehnoloģiskos risinājumus uzņēmumā","Rīga",16/12/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Autofavorīts” ir viena no lielākajām firmām Latvijā, kas savos servisa centros nodrošina plašu pakalpojumu klāstu.
Projekta mērķis ir paaugstināt esošo darbinieku kvalifikāciju, apgūstot jaunas prasmes un iemaņas darbam ar jaunām tehnoloģijām.
Projekta uzdevums ir apmācīt 42 darbiniekus programmā „Automašīnu tehnoloģisko moduļu sistemātiskie risinājumi pielietojot sistēmtehnoloģiskās un datordiagnostikas metodes”, iegūstot jaunas prasmes un iemaņas, un nodrošinot iespēju turpināt darbu uzņēmumā.
Apmācību sniedzēja izvēlei tiek veikts iepirkums, lai izvēlētos visatbilstošāko piedāvājumu un apmācību sniedzēju ar atbilstošu pieredzi un zināšanām.
","83,445.70","60,915.36",0,8,"www.af.lv"
111,"Izglītības un kultūras mantojuma zelta vārti","SIA","Helēnas iela 28-32, Alūksne, Alūksnes rajons, LV-4301","SIA ""Izglītības un kultūras mantojuma zelta vārti"" darbinieku apmācība","Alūksne ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Darbinieku apmācība ir nepieciešama, lai celtu uzņēmuma darbības un sadarbības kapacitāti ar citu valstu izglītības iestādēm un mācību centriem ārpus Latvijas robežām. Projekta mērķis ir darbinieku kvalifikācijas celšana un  jaunu zināšanu, iemaņu un prasmju apguve.
Projekta ietvaros plānots apmācīt 4 uzņēmuma darbiniekus šādās apmācībās: „Angļu valoda”, „Vācu valoda”, „Franču valoda”, „MS Access”, „Arhīva lietu veidošana”, „Lietišķā etiķete”.
","3,164.00","1,835.12",0,22,
112,"Latime","SIA","Kalna iela 1a, Gulbene, Gulbenes rajons, LV-4401","SIA ""Latime"" apmācības","Gulbene ",16/12/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros plānots apmācīt 8 uzņēmuma darbiniekus trīs veidu apmācībās: „Guļbūvju ražošana un būvniecība”, „Guļbūvju arhitektūra”, „Kokapstrādes iekārtu ražošana”.
","24,570.00","19,656.00",0,16,
