Beneficiary,Project name,Project description,Allocated funding (EU and national co-financing),Status
"Amt der Burgenländischen 
Landesregierung, Abteilung 6","PflegehelferInnen-Ausbildung 
in Neusiedl am See","Die Maßnahme umfasst die Ausbildung von PflegehelferInnen gema_ß Pflegehelferverordnung BGBl. Nr. 372/1999. Ziel ist die Erlangung der staatlichen Anerkennung der Berufsbezeichnung ""PflegehelferIn"". Pflegehelfer sollen unter der Fu_hrung von diplomiertem Krankenpflegepersonal sowohl im stationa_ren Akutbereich von Krankenanstalten, als auch in stationa_ren Langzeitbereichen (z.B. Pflegeheimen) einsetzbar sein. In der Maßnahme sind max. 18 TeilnehmerInnenpla_tze vorgesehen. Die Zuweisung erfolgt ausschließlich durch das AMS. Das Projekt wird vom BFI Burgenland durchgefu_hrt.","80.659,82",A
"Amt der Burgenländischen 
Landesregierung, Abteilung 6","PflegehelferInnen-Ausbildung 
in Oberpullendorf","Die Maßnahme umfasst die Ausbildung von PflegehelferInnen gema_ß Pflegehelferverordnung BGBl. Nr. 372/1999. Ziel ist die Erlangung der staatlichen Anerkennung der Berufsbezeichnung ""PflegehelferIn"". Pflegehelfer sollen unter der Fu_hrung von diplomiertem Krankenpflegepersonal sowohl im stationa_ren Akutbereich von Krankenanstalten, als auch in stationa_ren Langzeitbereichen (z.B. Pflegeheimen) einsetzbar sein. In der Maßnahme sind max. 18 TeilnehmerInnenpla_tze vorgesehen. Die Zuweisung erfolgt ausschließlich durch das AMS. Das Projekt wird vom Berufsfo_rderungsinstitut Burgenland durchgefu_hrt.","104.923,51",G
"Amt der Burgenländischen 
Landesregierung, Abteilung 6","Mehrwert Mehrsprachig in 
Oberpullendorf","Ziel dieses Projektes ist die modulare Qualifizierung in den Sprachen Englisch, Ungarisch, Italienisch, Spanisch und Kroatisch mit ELL-Abschluss. Zielgruppe sind arbeitssuchende Frauen und Ma_nner jeder Altersgruppe. Durch die geringe TeilnehmerInnenzahl soll das individuelle Lernen gefo_rdert werden. Die Module sind: Englisch, Kroatisch, Ungarisch, Italienisch, Spanisch-Grundlagen, Business Englisch. Die Verweildauer pro TeilnehmerIn in der Maßnahme soll 9 Wochen betragen. Die Zuweisung zur Maßnahme soll ausschließlich durch das AMS erfolgen. Das Projekt wird vom BFI Burgenland durchgefu_hrt.","101.551,89",A
"Amt der Burgenländischen 
Landesregierung, Abteilung 6",Lehrwerkstätte Mitte/Nord,"Durchfu_hrung einer modularisierten Lehrausbildung in den Bereichen Metall/Elektro sowie Kommunikationstehcnik. Mit beiden Ausbildungsschwerpunkten sollen Ma_dchen und Burchen angesprochen werden. Zielgruppe: ab dem volendeten 15. Lebensjahr, abgeschlossene Schulpflicht. Es sollen 16 Ausbildungspla_tze pro Durchgang in insgesamt 4 Durchga_ngen (insges. 64 TN) im Bereich Metall/Elektro und mindestens 8 Ausbildungspla_tze pro Durchgang in insgesamt 4 Durchga_ngen (inges. 32 TN) im Bereich Kommunikationstechnik z. Verfu_gung gestellt werden. Ziel: Erwerb der Lehrabschlusspru_fung in den beiden Bereichen.","3.868.026,00",G
"Amt der Burgenländischen 
Landesregierung, Abteilung 6",Gemeinsam sind wir stark,"Das Projekt richtet sich an langzeitarbeitslose Frauen, an Wiedereinsteigerinnen, an Frauen, die aufgrund ihres Alters (50 plus) nur mehr beschra_nkt Zugang zum Arbeitsmarkt haben. Fu_r die Zielgruppe bedarf es besonderer Unterstu_tzung auf den Weg in den Arbeitsmarkt. Durch Unterstu_tzung hinsichtlich Perso_nlichkeitsentwicklung, Bewerbungstraining (Erstellung Europapass), Kommunikation, Telefontraining etc. werde jene Fa_higkeit wiedererlangt, die die Einstiegsvoraussetzungen in den regula_ren Arbeitsmarkt bilden. Das Projekt wird von der Frauenberatungsstelle Oberpullendorf durchgefu_hrt.","16.343,08",A
"Therme Bad Sauerbrunn, 
Lutzmannsburg, Bad 
Tatzmannsdorf, Stegersbach","Qualifizierungsverbund 
Gesundheitstourismus 2008 - 
2013","Aufgabe des sektoralen Qualifizierungsverbundes ist lt. Verbundstatuten die Durchfu_hrung gemeinsamer Schulungen fu_r die MitarbeiterInnen der teiln. Unternehmen. Dazu geho_ren: Erarbeitung gemeinsamer Schulungsinhalte, Abstimmung der Inhalte, Termine und Methoden auf die jeweiligen Bedu_rfnisse der MitarbeiterInnen, Verbesserung der Qualifikation der MitarbeiterInnen und die Anhebung der Angebotsqualita_t der Unternehmen. Weiters spielen folgende Aspekte eine wichtige Rolle: Kostenoptimierung durch die Anzahl der KursteilnehmerInnen, Erfahrungs- und Meinungsaustausch durch beteiligte Unternehmen.","341.700,00",G
"Private Pädagogische 
Hochschule Burgenland",Neue Lernkultur und LMS,"Die Pa_dagogische Hochschule Bgld widmet sich in ihrem Aus-, Fort- und Weiterbildungsangebot dem Schwerpunkt ""Neue Lernkultur"" - kennenlernen, entwickeln, einsetzen und nachhaltige Implementierung von method. Werkzeugen fu_r eine neue Lernkultur. Wesentliche Initiative ist der Einsatz eines Lernmanagementsystems LMS. Die LMS-Plattform stellt eine schultypu_bergreifende, innovative Lernplattform dar. Diese Lernplattform gilt es nun durch didaktisch- methodische Konzepte sinnvoll im Unterricht zu implementieren und Nachhaltigkeit zu erzielen. Es sind z.Z. ca. 20.000 Benutzer von LMS registriert.","250.000,00",G
"Amt der Burgenländischen 
Landesregierung, Abteilung 6","Flexibles EDV-Trainingscenter 
Oberwart","Ziel der Maßnahme ist das Erlernen der Fa_higkeiten und Fertigkeiten auf dem EDV Sektor, sowie das Ablegen von ECDL Modulpru_fungen um einen ausbildungsada_quaten Arbeitsplatz zu erlangen. Die Maßnahme umfasst 6 Durchga_nge zu je 12 Personen jeder Altersstufe. Inhaltliche Schwerpunkte sind Grundlagen der Informationstechnologie, Textverarbeitung, Tabellenkalkulation, Datenbanken, Pra_sentations- und Zeichenprogramme, Internet und Outlook und Bewerbungstraining. Die Zuweisung zur Maßnahme soll ausschließlich durch das AMS erfolgen. Das Projekt wird vom WIFI Burgenland durchgefu_hrt.","102.724,80",G
"WIBAG - Wirtschaftsservice 
Burgenland AG","Jugendliche mit 
Vermittlungshemmnissen im 
Bez. Oberpullendorf - 
Bedürfnisse, Hindernisse, 
notwendige Hilfen","Benachteiligte Jugendliche und junge Erwachsene mit Vermittlungshemmnissen 
können mit den herkömmlichen arbeitsmarktpolitschen Maßnahmen und Kursen 
schwer oder kaum erreicht werden. Im Rahmen einer Erhebung (insgesamt 40 
Jugendliche sollen befragt werden) sollen die Bedürfnisse und Hemmnisse am 
Arbeitsmarkt sowie die erwarteten Hilfen erhoben werden. Als Ergebnis der 
Erhebung soll ein Leitfaden zur bedarfsgerechten und zielgruppengerechten 
Betreuung dieser Jugendlichen am Arbeitsmarkt vorliegen.","16.460,00",G
vamos - Verein zur Integration,"Malworkshop mit 
benachteiligten Jugendlichen 
und Erwachsenen","Jugendliche und Erwachsene mit besonderen Bedu_rfnissen sollen unterstu_tzt werden bei der beruflichen Integration. Dabei ist es wichtig neben der fachlichen Qualifizierung auch die Sta_rkung und Entwicklung der Perso_nlichkeit zu forcieren, um sie in den Arbeitsmarkt vermitteln zu ko_nnen. Eine Gruppe von 6 schwer vermittelbaren Personen soll in 10 Einheiten malen und zeichnen und dadurch mit der Malerin sowie durch therapeutische Begleitung dieser, Vermittlungshemmnisse in der Perso_nlichkeitsstruktur aufarbeiten. Langfristiges Ziel ist die Vermittlung in den Arbeitsmarkt.","5.938,80",A
