"Year","Sub Program","Primary Client","County Name","Paid"
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Meenacloghspar Ltd","Donegal",35153.65
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Annagh Lodge Hydro","Sligo",6378.77
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Dundalk Institute of Technology","Louth",9609.8
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Hillgrove Hotel","Monaghan",7069
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Westport Woods Hotel","Mayo",22728
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Killalla community Wind Farm Limited","Mayo",9518.5
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Ocean Energy Ltd","Galway",98828.52
2008,"Renewable Energy Research Development and Demonstration Programme 2008","EcoOla","Galway",2346.09
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Jacksons Hotel","Donegal",42894
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Biorefinery Ireland Ltd","Mayo",14625.24
2008,"Renewable Energy Research Development and Demonstration Programme 2008","AirEn Services Ltd","Louth",3325
2008,"Renewable Energy Research Development and Demonstration Programme 2008","OpenHydro Group Ltd","N/A",34062.5
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Wavebob Ltd","N/A",6053.87
2008,"Renewable Energy Research Development and Demonstration Programme 2008","IWEA Ltd","N/A",15100
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Wavebob Ltd","N/A",22827.85
2008,"Renewable Energy Research Development and Demonstration Programme 2008","Sustainable Energy Association","Fermanagh",2257.81
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Wavebob Ltd","Galway",15440
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Dundalk Institute of Technology","Louth",19681.28
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Hillgrove Hotel","Monaghan",35345
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Health Service Executive West","Galway",12234
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Killalla community Wind Farm Limited","Mayo",18186.47
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Atlantic Industries","Louth",116940
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Westport Woods Hotel","Mayo",17852
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Eda Cox Construction Ltd","Roscommon",1192
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Ocean Energy Ltd","Galway",128439.89
2007,"Renewable Energy Research Development and Demonstration Programme 2007","EcoOla","Galway",5045
2007,"Renewable Energy Research Development and Demonstration Programme 2007","AirEn Services Ltd","Louth",2587.5
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Wavebob Ltd","N/A",5223.5
2007,"Renewable Energy Research Development and Demonstration Programme 2007","Wavebob Ltd","N/A",33872.63
2008,"CHP and Bioheat (Reheat) Programme 2008 ","Bosco House Ltd","Cavan",9000
2008,"CHP and Bioheat (Reheat) Programme 2008 ","Imperative Energy Ltd","Leitrim",21423
2008,"CHP and Bioheat (Reheat) Programme 2008 ","Matt Lohan & Sons Ltd","Galway",58800
2008,"CHP and Bioheat (Reheat) Programme 2008 ","C.J. Sheeran Ltd","Laois",1419.93
2008,"CHP and Bioheat (Reheat) Programme 2008 ","Villa Rose Hotel","Donegal",2416.82
2008,"CHP and Bioheat (Reheat) Programme 2008 ","P Mulrine & Sons","Donegal",3100
2008,"CHP and Bioheat (Reheat) Programme 2008 ","Kiernan Farms (Ballymanus)","Westmeath",4800
