"Sub Program","Year","Programme Code","Primary Client","Title","County Name","Code","Paid"
"Theme 2 - Renewable Energy",2007,"Reheat","Byrne Woodcraft Lt","Wood Fired Hot W","Kildare","SE",57250
"Theme 2 - Renewable Energy",2007,"Reheat","Redmond Constru","Amber Springs Hot","Wexford","SE",49348.54
"Theme 2 - Renewable Energy",2007,"Reheat","Shinagh Estates F","Shinagh House Wo","Cork","SE",11872
"Theme 2 - Renewable Energy",2007,"Reheat","Hosfords Geraniu","Extension to Hosfo","Cork","SE",10444
"Theme 2 - Renewable Energy",2007,"Reheat","Ennistymon VEC","Ennistymon VEC - ","Clare","SE",10744
"Theme 2 - Renewable Energy",2007,"Reheat","National University ","UCC Information T","Cork","SE",3780
"Theme 2 - Renewable Energy",2007,"Reheat","William Neville & S","Biomass Boiler Sy","Dublin","SE",51774.32
"Theme 2 - Renewable Energy",2007,"Reheat","Olympus Life and ","Olympus Life and ","Clare","SE",30000
"Theme 2 - Renewable Energy",2007,"Reheat","Karl Matuschka","Karl  Matuschka - 8","Kildare","SE",12580
"Theme 2 - Renewable Energy",2007,"Reheat","O'Donnell Furniture","O'Donnell Furniture","Cork","SE",39255
"Theme 2 - Renewable Energy",2007,"Reheat","MJ Curran & Sons ","MJ Curran Biomas","Waterford","SE",31735.56
"Theme 2 - Renewable Energy",2007,"Reheat","Ned Rice Nursing ","Ned Rice Biomass ","Cork","SE",12580
"Theme 2 - Renewable Energy",2007,"Reheat","Health Service Exe","St Columba's Biom","Kilkenny","SE",46392.86
"Theme 2 - Renewable Energy",2007,"Reheat","Port of Cork Comp","Evaluation of Biom","Cork","SE",1200
"Theme 2 - Renewable Energy",2007,"Reheat","Cu Chulainn Hurley","Woodfuel Heating ","Kilkenny","SE",21423
"Theme 2 - Renewable Energy",2007,"Reheat","Congregation of Do","Boilerhouse Upgra","Wicklow","SE",21375
"Theme 2 - Renewable Energy",2007,"Reheat","D & J Cullinane Co","East End Hotel - 10","Cork","SE",13020
"Theme 2 - Renewable Energy",2007,"Reheat","Therese Foster & ","Agri Tourism Self ","Meath","SE",6980.68
"Theme 2 - Renewable Energy",2007,"Reheat","Eamon Kelly","District Heating Sy","Wicklow","SE",12878.21
"Theme 2 - Renewable Energy",2007,"Reheat","Wexford Farmers ","Gorey Retail Park -","Wexford","SE",39000
"Theme 2 - Renewable Energy",2007,"Reheat","Bermingham Music","Berminghan Music ","Tipperary","SE",9912
"Theme 2 - Renewable Energy",2007,"Reheat","Kings Hospital","The Kings Hospital ","Dublin 20","SE",37419
"Theme 2 - Renewable Energy",2007,"Reheat","Casey's of Baltimo","Casey's of Baltimo","Cork","SE",5188
"Theme 2 - Renewable Energy",2007,"Reheat","Roto Spiral Limited","Roto Spiral Ltd- Pel","Kilkenny","SE",100000
"Theme 2 - Renewable Energy",2007,"Reheat","Padre Pio Rest Ho","Padre Pio Rest Ho","Waterford","SE",450
"Theme 2 - Renewable Energy",2007,"Reheat","Oakfield Nursing H","Oakfield Nursing H","Wexford","SE",750
"Theme 2 - Renewable Energy",2007,"Reheat","Western Developm","Wood Energy Strat","N/A","All Irl. (50%)",8169
"Theme 2 - Renewable Energy",2007,"CHP","Leopardstown Park","Leopardstown Park","Dublin 18","SE",12938.2
